precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"CĂMIN CULTURAL CIREŞU",284,CĂTEASCA,15233,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:33:46",591,570,1,13,7,391,371,0,13,7,383,8,645,254,244,72,44,2,1,11,9
3,ARGEŞ,"CĂMIN CULTURAL CORBI",311,CORBI,15830,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:18:38",1668,1623,1,19,25,1131,1087,0,19,25,1065,66,1740,609,670,87,245,2,2,29,30
3,ARGEŞ,"CĂMIN CULTURAL CORBŞORI",312,CORBI,15830,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:56:25",746,698,0,39,9,507,459,0,39,9,487,20,850,343,136,66,243,2,5,26,9
3,ARGEŞ,"CĂMIN CULTURAL COŞEŞTI",314,COŞEŞTI,15901,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:15",828,820,1,5,2,503,496,0,5,2,487,16,900,397,281,122,56,0,3,12,13
3,ARGEŞ,"CĂMIN CULTURAL COTMEANA",319,COTMEANA,15983,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:59",753,750,0,3,0,474,471,0,3,0,446,28,800,326,277,62,36,1,13,40,17
3,ARGEŞ,"CĂMIN CULTURAL DOBREŞTI",337,DOBREŞTI,16427,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:54:46",742,699,0,29,14,564,521,0,29,14,500,34,823,259,213,35,77,100,25,35,15
3,ARGEŞ,"CĂMIN CULTURAL DRĂGANU",344,DRĂGANU,16506,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:08:27",748,732,1,14,1,472,457,0,14,1,455,17,800,328,316,86,16,0,3,15,19
3,ARGEŞ,"CĂMIN CULTURAL DRĂGHICI",388,MIHĂEŞTI,17254,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:52",839,834,1,3,1,523,518,1,3,1,505,18,920,397,348,72,51,1,5,14,14
3,ARGEŞ,"CĂMIN CULTURAL DRAGOSLAVELE",342,DRAGOSLAVELE,16472,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:39:12",880,860,0,17,3,613,593,0,17,3,561,32,960,347,228,53,200,1,4,52,23
3,ARGEŞ,"CĂMIN CULTURAL GOVORA",500,UDA,19392,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:23:41",383,368,0,7,8,249,234,0,7,8,231,18,400,151,140,42,27,2,2,11,7
3,ARGEŞ,"CĂMIN CULTURAL HÎRTIEŞTI",351,HÂRTIEŞTI,16659,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:17",740,709,0,9,22,586,555,0,9,22,573,13,800,214,395,47,93,0,7,16,15
3,ARGEŞ,"CĂMIN CULTURAL JUPÎNEŞTI",315,COŞEŞTI,15901,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:30:36",926,922,0,4,0,535,531,0,4,0,507,28,1000,465,373,73,33,3,5,8,12
3,ARGEŞ,"CĂMIN CULTURAL LĂZĂREŞTI",465,"SCHITU GOLEŞTI",18670,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:05:55",1775,1765,0,8,2,977,967,0,8,2,898,79,1917,940,274,146,322,1,14,116,25
3,ARGEŞ,"CĂMIN CULTURAL LEICEŞTI",317,COŞEŞTI,15901,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:26:54",1515,1508,0,6,1,860,853,0,6,1,814,46,1600,740,398,207,150,2,9,30,18
3,ARGEŞ,"CĂMIN CULTURAL LEREȘTI",363,LEREŞTI,16908,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:48:29",1067,1048,0,7,12,650,631,0,7,12,626,24,1165,515,469,58,53,1,8,23,14
3,ARGEŞ,"CĂMIN CULTURAL LIVEZENI",471,STÂLPENI,18778,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:37:59",1202,1192,0,4,6,740,730,0,4,6,701,39,1183,443,342,88,181,5,10,53,22
3,ARGEŞ,"CĂMIN CULTURAL MĂŢĂU",392,MIOARELE,17334,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:45:20",950,943,0,1,6,693,686,0,1,6,667,26,1014,321,252,52,233,3,7,108,12
3,ARGEŞ,"CĂMIN CULTURAL MIROŞI",394,MIROŞI,17398,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:02:59",1126,1111,0,2,13,679,664,0,2,13,645,34,1139,460,423,76,23,1,19,89,14
3,ARGEŞ,"CĂMIN CULTURAL MOŞOAIA",398,MOŞOAIA,17496,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:14:44",1469,1464,1,4,0,857,853,0,4,0,823,34,1600,743,253,109,198,7,14,212,30
3,ARGEŞ,"CĂMIN CULTURAL NĂMĂEŞTI",514,"VALEA MARE-PRAVĂŢ",13524,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:37:33",454,448,1,5,0,330,324,1,5,0,317,13,495,165,165,46,53,0,2,33,18
3,ARGEŞ,"CĂMIN CULTURAL NEGREŞTI",230,BELEŢI-NEGREŞTI,14352,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 21:59:44",928,920,1,4,3,693,686,0,4,3,670,22,1000,307,400,52,74,3,4,110,27
3,ARGEŞ,"CĂMIN CULTURAL PIATRA",475,STOENEŞTI,18858,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:55",399,394,0,2,3,236,231,0,2,3,230,6,470,234,139,29,20,0,1,33,8
3,ARGEŞ,"CĂMIN CULTURAL POIENARI",431,"POIENARII DE ARGEŞ",17913,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:29",596,564,0,22,10,453,421,0,22,10,440,12,616,164,155,21,231,1,5,23,4
3,ARGEŞ,"CĂMIN CULTURAL POIENIŢA",222,BĂLILEŞTI,14272,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:19:37",948,941,3,4,0,560,556,0,4,0,549,11,1044,484,317,52,121,3,12,27,17
3,ARGEŞ,"CĂMIN CULTURAL POPEŞTI",463,SĂPATA,18581,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:27:54",657,630,0,19,8,494,467,0,19,8,483,11,700,206,307,96,57,1,4,13,5
3,ARGEŞ,"CĂMIN CULTURAL RETEVOIEŞTI",421,PIETROŞANI,17851,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:44:42",1301,1299,0,2,0,697,695,0,2,0,686,11,1469,772,349,123,122,4,12,47,29
3,ARGEŞ,"CĂMIN CULTURAL SBOGHIŢEŞTI",414,NUCŞOARA,17771,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:59:46",310,297,0,2,11,237,224,0,2,11,228,9,342,105,120,40,54,0,0,5,9
3,ARGEŞ,"CĂMIN CULTURAL SLATINA",415,NUCŞOARA,17771,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:11:12",431,417,0,5,9,293,279,0,5,9,286,7,469,176,228,27,13,0,2,2,14
3,ARGEŞ,"CĂMIN CULTURAL STĂNEŞTI",313,CORBI,15830,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:28",888,869,1,13,5,595,577,0,13,5,568,27,960,365,197,79,236,1,10,34,11
3,ARGEŞ,"CĂMIN CULTURAL STOENEŞTI",473,STOENEŞTI,18858,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:54",1021,1007,2,5,7,641,629,1,5,6,623,18,1100,459,286,79,75,2,5,161,15
3,ARGEŞ,"CĂMIN CULTURAL ŞUICI",485,ŞUICI,19141,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:41:09",941,931,0,0,10,640,630,0,0,10,601,28,1038,398,412,60,103,3,3,20,0
3,ARGEŞ,"CĂMIN CULTURAL TEIU",489,TEIU,19212,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:27:01",955,876,3,65,11,658,579,3,65,11,622,36,960,300,296,87,210,1,5,12,11
3,ARGEŞ,"CĂMIN CULTURAL URLUIEȘTI",290,CEPARI,15313,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:10",205,195,0,4,6,131,121,0,4,6,121,10,256,125,31,21,56,1,1,9,2
3,ARGEŞ,"CĂMIN CULTURAL VĂCAREA",391,MIHĂEŞTI,17254,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:39",433,423,0,7,3,321,311,0,7,3,312,9,463,142,162,30,81,2,9,11,17
3,ARGEŞ,"CĂMIN CULTURAL VALEA MARE PRAVĂŢ",511,"VALEA MARE-PRAVĂŢ",13524,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:53:00",1181,1164,2,7,8,790,775,0,7,8,770,17,1280,493,412,113,127,3,6,99,10
3,ARGEŞ,"CĂMIN CULTURAL VALEA-POPII",390,MIHĂEŞTI,17254,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:29:56",762,752,2,8,0,532,523,1,8,0,524,8,835,303,316,58,93,2,8,27,20
3,ARGEŞ,"CĂMIN CULTURAL VALEA SILIŞTII",201,ANINOASA,13999,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:34:17",501,492,1,3,5,344,336,0,3,5,328,16,561,217,151,27,114,0,4,21,11
3,ARGEŞ,"CĂMINUL CULTURAL",218,BĂICULEŞTI,14165,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:13:29",665,660,0,5,0,424,419,0,5,0,411,13,700,276,188,42,134,1,3,30,13
3,ARGEŞ,"CĂMINUL CULTURAL",219,BĂICULEŞTI,14165,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:25",810,803,0,7,0,479,472,0,7,0,458,21,893,414,237,49,109,3,3,34,23
3,ARGEŞ,"CĂMINUL CULTURAL AREFU",203,AREFU,14049,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:34:19",983,974,1,5,3,626,618,0,5,3,583,43,1025,399,335,94,46,1,6,81,20
3,ARGEŞ,"CĂMINUL CULTURAL BILCEŞTI",512,"VALEA MARE-PRAVĂŢ",13524,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:09",658,654,0,2,2,430,426,0,2,2,418,12,720,290,221,48,59,4,3,64,19
3,ARGEŞ,"CĂMINUL CULTURAL BOȚEȘTI",242,BOŢEŞTI,14726,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:07:32",651,639,0,6,6,508,496,0,6,6,479,29,700,192,238,89,85,6,4,45,12
3,ARGEŞ,"CĂMINUL CULTURAL BRADU",244,BRADU,13276,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:40:41",1192,1183,1,7,1,737,729,0,7,1,707,30,1288,551,406,82,78,5,8,88,40
3,ARGEŞ,"CĂMINUL CULTURAL CĂTANELE",283,CĂTEASCA,15233,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:16:19",865,843,1,18,3,578,557,0,18,3,551,27,910,332,273,145,67,4,5,31,26
3,ARGEŞ,"CĂMINUL CULTURAL CĂTEASCA",282,CĂTEASCA,15233,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:20",700,673,4,18,5,480,457,0,18,5,466,14,750,270,250,71,85,3,8,33,16
3,ARGEŞ,"CĂMINUL CULTURAL CEPARI",287,CEPARI,15313,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:36",661,636,4,11,10,406,384,1,11,10,376,30,700,294,143,72,114,0,2,36,9
3,ARGEŞ,"CAMINUL CULTURAL DEDULESTI",397,MORĂREŞTI,17423,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:33",579,560,0,17,2,419,400,0,17,2,389,30,643,224,219,46,99,1,4,8,12
3,ARGEŞ,"CĂMINUL CULTURAL FĂGETU",166,"ORAŞ MIOVENI",13301,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:15:43",210,205,0,5,0,141,136,0,5,0,135,1,338,197,57,15,51,0,7,3,2
3,ARGEŞ,"CĂMINUL CULTURAL FÎLFANI",478,STOLNICI,18938,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:56:07",971,957,0,14,0,534,520,0,14,0,511,23,1091,557,223,172,69,1,3,31,12
3,ARGEŞ,"CAMINUL CULTURAL FURNICOSI",389,MIHĂEŞTI,17254,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:58:04",745,743,0,2,0,468,466,0,2,0,439,29,819,351,256,72,60,1,3,28,19
3,ARGEŞ,"CĂMINUL CULTURAL GALEŞU",252,BRĂDULEŢ,14753,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:27:08",662,647,0,8,7,480,465,0,8,7,466,14,720,240,220,63,135,4,3,30,11
3,ARGEŞ,"CĂMINUL CULTURAL GRUIU",285,CĂTEASCA,15233,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:50",539,521,0,10,8,370,352,0,10,8,355,15,590,220,174,83,61,0,4,21,12
3,ARGEŞ,"CĂMINUL CULTURAL HÂRSEŞTI",349,HÂRSEȘTI,16613,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:53:09",1199,1157,0,42,0,647,605,0,42,0,618,29,1306,659,484,77,24,0,2,8,23
3,ARGEŞ,"CĂMINUL CULTURAL LACURILE",297,CIOFRÂNGENI,15493,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:13:25",501,486,0,4,11,323,308,0,4,11,308,15,547,224,216,26,43,0,2,10,11
3,ARGEŞ,"CĂMINUL CULTURAL LĂPUŞANI",316,COŞEŞTI,15901,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:54:05",312,308,0,4,0,198,194,0,4,0,189,9,389,191,79,44,43,3,5,6,9
3,ARGEŞ,"CĂMINUL CULTURAL MERIŞANI",379,MERIŞANI,17101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:22",674,655,0,8,11,452,433,0,8,11,435,17,715,263,127,42,229,1,6,18,12
3,ARGEŞ,"CĂMINUL CULTURAL MIHĂEȘTI",387,MIHĂEŞTI,17254,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:56:14",2052,2040,0,12,0,1185,1173,0,12,0,1081,104,2257,1072,521,163,294,1,8,43,51
3,ARGEŞ,"CAMINUL CULTURAL NEGRENI",334,DÂRMĂNEŞTI,16365,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:12",535,526,0,9,0,347,338,0,9,0,338,9,576,229,205,54,38,3,8,13,17
3,ARGEŞ,"CAMINUL CULTURAL NUCSOARA",413,NUCŞOARA,17771,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:05:16",340,316,0,8,16,262,238,0,8,16,255,7,366,104,187,18,33,0,3,8,6
3,ARGEŞ,"CAMINUL CULTURAL ”PETRE IONESCU MUSCEL”",339,DOMNEŞTI,16454,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:07:04",1272,1214,0,24,34,924,866,0,24,34,889,35,1321,365,310,115,430,1,6,26,1
3,ARGEŞ,"CAMINUL CULTURAL ”PETRE IONESCU MUSCEL” -",340,DOMNEŞTI,16454,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:13:21",1353,1312,0,30,11,1002,961,0,30,11,946,40,1452,450,321,104,469,0,0,32,20
3,ARGEŞ,"CĂMINUL CULTURAL PODU DÎMBOVIŢEI",332,DÂMBOVICIOARA,16329,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 08:58:32",512,467,0,33,12,430,385,0,33,12,405,24,491,61,192,69,47,7,16,45,29
3,ARGEŞ,"CAMINUL CULTURAL RÂCA",446,RÂCA,20048,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:14",841,793,0,48,0,649,601,0,48,0,634,15,862,213,449,41,119,0,6,17,2
3,ARGEŞ,"CAMINUL CULTURAL RĂDEŞTI",472,STÂLPENI,18778,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 18:02:15",1339,1327,0,0,12,892,880,0,0,12,835,45,1600,708,414,68,275,1,11,49,17
3,ARGEŞ,"CĂMINUL CULTURAL SĂLĂTRUCU CENTRU",458,SĂLĂTRUCU,18554,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:50",1176,1158,1,3,14,677,660,0,3,14,618,59,1257,580,389,55,111,3,6,33,21
3,ARGEŞ,"CĂMINUL CULTURAL SILIŞTEA",286,CĂTEASCA,15233,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:37:31",403,388,0,10,5,280,265,0,10,5,273,6,443,163,150,51,45,4,2,12,9
3,ARGEŞ,"CĂMINUL CULTURAL TIGVENI",445,RĂTEŞTI,18331,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:47",664,660,0,4,0,402,398,0,4,0,387,15,723,321,236,40,58,0,4,40,9
3,ARGEŞ,"CĂMINUL CULTURAL VALEA DANULUI",505,"VALEA DANULUI",19631,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:42:51",1630,1605,0,5,20,1093,1068,0,5,20,1051,42,1816,723,395,206,350,4,6,52,38
3,ARGEŞ,"CĂMINUL CULTURAL VERNEŞTI",506,"VALEA DANULUI",19631,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:38:58",870,855,1,4,10,600,585,1,4,10,588,12,900,300,219,142,184,1,2,23,17
3,ARGEŞ,"CĂMINUL CULTURAL VÎLCELELE",383,MERIŞANI,17101,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:53:17",763,732,2,21,8,519,490,0,21,8,502,17,815,296,333,52,96,1,2,8,10
3,ARGEŞ,"CĂMINUL CULTURAL VLĂDEȘTI CENTRU",521,VLĂDEŞTI,19999,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:54:32",1653,1645,0,3,5,1189,1181,0,3,5,1146,43,1800,611,383,143,427,3,72,76,42
3,ARGEŞ,"CĂMINUL CULTURAL VLĂDEȘTI DE SUS",522,VLĂDEŞTI,19999,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:52:37",877,871,0,4,2,669,663,0,4,2,600,69,971,302,262,63,178,1,32,18,46
3,ARGEŞ,"CASA DE CULTURĂ ALBEŞTII DE ARGEŞ",189,"ALBEŞTII DE ARGEŞ",13819,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:07",1593,1581,3,8,1,937,927,1,8,1,894,43,1600,663,389,130,276,3,10,41,45
3,ARGEŞ,"CASA DE CULTURĂ A SINDICATELOR DACIA",157,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:15",1211,1203,1,7,0,662,655,0,7,0,642,20,1400,738,271,115,133,4,19,80,20
3,ARGEŞ,"CASA DE CULTURĂ COSTEŞTI",137,"ORAŞ COSTEŞTI",13668,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:41:14",1538,1533,0,0,5,922,917,0,0,5,890,32,1724,802,416,90,250,4,31,75,24
3,ARGEŞ,"CASA DE CULTURĂ ŞTEFĂNEŞTI",169,"ORAŞ ŞTEFĂNEŞTI",13392,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:34:06",1087,1075,1,10,1,547,536,0,10,1,534,13,1544,997,288,62,74,3,12,77,18
3,ARGEŞ,"CENTRUL AFTER SCHOOL MOZĂCENII VALE",227,BÂRLA,14450,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:45:02",873,836,0,30,7,567,530,0,30,7,544,23,930,363,135,26,363,0,0,12,8
3,ARGEŞ,"CENTRUL CULTURAL MULTIFUNCȚIONAL BUDIŞTENI",358,LEORDENI,16757,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:26:43",970,959,0,6,5,546,535,0,6,5,527,19,1060,514,276,83,120,3,4,15,26
3,ARGEŞ,"CENTRUL DE CULTURĂ ȘI ARTE ” GEORGE TOPÎRCEANU” ( I )",125,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:27",1371,1354,7,8,2,613,603,0,8,2,589,24,1500,887,235,75,125,17,11,105,21
3,ARGEŞ,"CENTRUL DE CULTURĂ ȘI ARTE ”GEORGE TOPÎRCEANU” (II)",133,"MUNICIPIUL CURTEA DE ARGEŞ",13622,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:51:58",1375,1354,18,3,0,584,581,0,3,0,563,21,1500,916,197,57,150,4,14,107,34
3,ARGEŞ,"CENTRUL DE ZI LESPEZI",353,HÂRTIEŞTI,16659,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:50",442,435,0,6,1,371,364,0,6,1,346,25,483,112,282,12,47,0,0,0,5
3,ARGEŞ,"CENTRUL INGRIJIRE COPII",321,COTMEANA,15983,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:58",420,417,0,2,1,263,260,0,2,1,257,6,470,207,104,33,12,0,8,82,18
3,ARGEŞ,"CLĂDIRE ADMINISTRATIVĂ C18",249,BRADU,13276,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:02:16",611,598,3,9,1,396,386,0,9,1,379,17,720,324,200,42,48,1,6,60,22
3,ARGEŞ,"CLĂDIREA MULTIFUNCȚIONALĂ COLIBAȘI",164,"ORAŞ MIOVENI",13301,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:50:28",649,643,0,6,0,392,386,0,6,0,377,15,800,408,128,50,54,2,80,45,18
