precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MICU LUCIAN-OVIDIU-PARTIDUL SOCIAL DEMOCRAT-voturi","ANCUŢA GABRIEL-COSMIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","LEOREANU LAURENŢIU-DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOLDOVANU NADIA-LENUŢA-PARTIDUL S.O.S. ROMÂNIA-voturi"
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP A",91,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:16:03",1229,1217,1,9,2,474,462,1,9,2,451,11,1300,838,160,54,209,28
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP A",92,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:13:09",1268,1259,0,8,1,554,545,0,8,1,534,20,1400,846,239,42,221,32
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP B",93,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:19:46",1294,1285,2,7,0,523,516,0,7,0,492,31,1400,877,169,62,221,40
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA” CORP B(GRĂDINIŢA DE COPII NR. 12 CU PROGRAM NORMAL)",117,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:14",1113,1105,1,7,0,476,469,0,7,0,450,26,1200,724,160,33,230,27
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA” CORP C(GRĂDINIŢA DE COPII NR. 3 CU PROGRAM PRELUNGIT)",116,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:28",1215,1212,0,3,0,523,520,0,3,0,508,15,1300,768,183,50,250,25
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”(ŞCOALA NR. 5)",115,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:53",1227,1214,3,9,1,513,503,0,9,1,491,22,1300,787,189,57,209,36
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”(ŞCOALA NR. 5)",114,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:49",1485,1475,1,9,0,1484,1475,0,9,0,610,20,1600,970,261,64,252,33
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CALISTRAT HOGAŞ”",80,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:33",1685,1676,1,6,2,402,394,0,6,2,384,18,1800,1398,128,39,183,34
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CALISTRAT HOGAŞ”",81,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:14",1370,1358,1,9,2,440,428,1,9,2,422,18,1500,1060,140,26,220,36
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CALISTRAT HOGAŞ”",79,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:47:11",1553,1543,0,8,2,522,512,0,8,2,494,28,1700,1178,181,55,211,47
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”CALISTRAT HOGAȘ”",82,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:19",1249,1229,3,7,10,462,445,0,7,10,437,25,1400,938,179,22,206,30
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CAROL I”",90,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:22",1399,1394,0,3,2,650,645,0,3,2,622,28,1500,850,289,38,268,27
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CAROL I”",89,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:14:55",1525,1520,0,4,1,665,660,0,4,1,635,30,1700,1035,296,30,273,36
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”COSTACHE NEGRI” - LOCAL NOU",110,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:50",915,906,2,7,0,354,347,0,7,0,340,14,996,639,137,41,141,21
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”COSTACHE NEGRI” - LOCAL NOU",111,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:11",1385,1375,0,9,1,595,585,0,9,1,561,34,1500,903,256,35,223,47
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",88,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:16:21",1334,1323,6,5,0,554,549,0,5,0,522,32,1400,846,203,59,225,35
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",87,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:54",1188,1173,0,13,2,391,378,0,11,2,349,42,1300,909,129,10,180,30
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ROMAN MUŞAT”",106,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:37",1276,1268,0,8,0,538,530,0,8,0,516,22,1400,862,198,37,257,24
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ROMAN MUŞAT”",107,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:06",1202,1197,0,5,0,472,467,0,5,0,455,17,1300,828,172,64,193,26
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ROMAN MUŞAT”",108,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:12",1300,1294,0,6,0,499,493,0,6,0,483,16,1400,901,176,51,237,19
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”VASILE ALECSANDRI” - LOCAL NOU",102,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:05:25",1323,1316,2,3,2,518,513,0,3,2,504,14,1500,982,195,53,217,39
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”VASILE ALECSANDRI” - LOCAL NOU",101,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:09",1183,1174,3,6,0,533,527,0,6,0,509,24,1300,767,212,41,221,35
