precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARASCHIV IONEL-CLAUDIU-voturi","STREINU FLORENTIN-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GEORGE ENESCU”",318,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:28:39",1959,1947,1,10,1,951,940,0,10,1,917,23,2145,1205,287,154,81,80,11,39,6,126,86,18,9,20
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GEORGE ENESCU”",315,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:26:02",1551,1547,0,3,1,720,716,0,3,1,712,7,1709,990,188,135,79,58,16,30,3,98,76,11,9,9
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GEORGE ENESCU”",314,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:51:03",1407,1400,0,7,0,595,588,0,7,0,575,18,1544,949,185,90,59,47,5,33,3,81,40,21,8,3
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GEORGE ENESCU”",317,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:20:45",982,969,5,8,0,429,420,1,8,0,415,14,1070,641,118,62,37,35,5,32,3,65,38,8,3,9
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GEORGE ENESCU”",316,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:44:17",1913,1903,4,6,0,941,935,0,6,0,905,36,2081,1140,262,143,83,82,13,52,4,136,71,31,9,19
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GRIGORE MOISIL”",319,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:22:54",1812,1805,2,4,1,832,827,0,4,1,795,37,1994,1162,247,146,56,76,14,54,3,116,40,12,21,10
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GRIGORE MOISIL”",321,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:22",1287,1277,0,6,4,552,542,0,6,4,532,20,1409,857,148,72,53,47,9,31,3,102,43,8,3,13
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „GRIGORE MOISIL”",320,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:52:33",1532,1523,0,8,1,672,663,0,8,1,638,22,1690,1030,205,91,43,51,12,45,1,99,54,16,9,12
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ „GRIGORE MOISIL”",322,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:12:14",961,953,0,7,1,431,423,0,7,1,397,20,1051,614,133,52,19,35,6,23,0,96,17,11,4,1
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „TUDOR ARGHEZI”",325,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 14:30:02",1137,1127,1,7,2,539,530,0,7,2,516,20,1245,709,153,61,63,52,4,20,2,85,52,9,3,12
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ „TUDOR ARGHEZI”",326,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:40",785,773,0,12,0,299,287,0,12,0,283,11,853,559,96,38,13,32,2,21,2,53,11,7,2,6
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR.1 PENINSULA NĂVODARI",334,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:34",597,589,0,8,0,242,234,0,8,0,224,17,647,406,39,23,14,22,5,13,1,89,7,5,3,3
