precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GOVOR MIRCEA-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","COZMA ADRIAN-FELICIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PATAKI CSABA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POP LIVIU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","DEAC VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi","CSORDAŞ ŞTEFAN-FORȚA DREPTEI-voturi"
32,"SATU MARE","CĂMINUL CULTURAL BABA NOVAC",93,"ORAŞ ARDUD",136848,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:51:40",477,466,1,10,0,224,214,0,10,0,220,4,567,343,57,102,14,18,7,22
32,"SATU MARE","CĂMINUL CULTURAL BOCICĂU",303,"TARNA MARE",139009,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:20:47",496,474,0,8,14,231,209,0,8,14,209,22,500,269,132,56,3,1,5,12
32,"SATU MARE","CĂMINUL CULTURAL BOLDA",138,BELTIUG,136964,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:43:15",56,35,0,21,0,39,18,0,21,0,36,3,50,11,12,20,3,1,0,0
32,"SATU MARE","CAMINUL CULTURAL CUTA",291,SOCOND,138869,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 11:12:41",260,235,0,17,8,182,157,0,17,8,174,8,283,101,30,133,3,2,5,1
32,"SATU MARE","CAMINUL CULTURAL DIN DECEBAL",333,VETIŞ,139358,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:31:54",1215,1166,4,31,14,702,655,2,31,14,682,20,1300,598,392,168,55,21,29,17
32,"SATU MARE","CĂMINUL CULTURAL GERĂUŞA",94,"ORAŞ ARDUD",136848,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:14:37",422,417,0,5,0,199,194,0,5,0,186,13,517,318,49,82,15,6,6,28
32,"SATU MARE","CĂMINUL CULTURAL GIUNGI",140,BELTIUG,136964,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:08:28",126,120,0,6,0,72,66,0,6,0,68,4,150,78,18,41,6,1,1,1
32,"SATU MARE","CAMINUL CULTURAL HODISA",292,SOCOND,138869,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 11:26:30",179,148,0,21,10,137,106,0,21,10,127,10,190,53,28,93,2,2,1,1
32,"SATU MARE","CĂMINUL CULTURAL OAR",334,VETIŞ,139358,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:02:47",1402,1387,4,10,1,853,841,1,10,1,820,33,1519,666,89,16,704,1,6,4
32,"SATU MARE","CĂMINUL CULTURAL ODOREU",242,ODOREU,138280,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:21:05",1558,1539,0,8,11,798,779,0,8,11,773,25,1650,852,114,404,174,35,23,23
32,"SATU MARE","CĂMINUL CULTURAL SOMEȘENII",131,APA,136802,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:56:10",228,217,0,5,6,168,157,0,5,6,157,11,248,80,28,85,10,12,6,16
32,"SATU MARE","CAMINUL CULTURAL VALEA VINULUI",325,"VALEA VINULUI",139287,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:34:42",626,595,1,5,25,407,377,0,5,25,387,20,649,242,156,124,16,66,5,20
32,"SATU MARE","CĂMINUL CULTURAL VEZENDIU",313,TIREAM,139107,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:42",364,352,0,11,1,184,172,0,11,1,165,19,400,216,43,55,50,3,8,6
32,"SATU MARE","CASA DE CULTURĂ",115,"ORAŞ TĂŞNAD",136642,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:39:37",1719,1689,0,12,18,952,922,0,12,18,881,71,1850,898,286,214,344,14,14,9
32,"SATU MARE","CASĂ DE LOCUIT",171,CĂUAŞ,137292,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:27:08",95,86,0,9,0,47,38,0,9,0,45,2,100,53,9,25,4,2,5,0
32,"SATU MARE","CASĂ DE LOCUIT MICULA NOUA",236,MICULA,138164,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:18:12",621,600,0,2,19,305,284,0,2,19,284,21,795,490,110,105,26,10,16,17
32,"SATU MARE","CASA DE TIP FAMILIAL” IRIS”",245,ODOREU,138280,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:29:11",130,124,0,6,0,76,70,0,6,0,73,3,142,66,9,37,20,3,3,1
32,"SATU MARE","CENTRU CULTURAL ”EMIL MATEI” APA",129,APA,136802,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:50:00",1029,1001,0,6,22,645,617,0,6,22,585,60,1125,480,110,273,113,22,16,51
32,"SATU MARE","CENTRU CULTURAL TURISTIC",234,MICULA,138164,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:56:59",1192,1165,3,0,24,683,659,0,0,24,653,30,1210,527,56,57,505,12,13,10
32,"SATU MARE","CENTRU DE ZI INGRIJIRE BATRANI",309,TEREBEŞTI,139054,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:19:30",450,423,2,12,13,319,293,1,12,13,304,15,497,178,97,117,17,16,19,38
32,"SATU MARE","CENTRUL JUDEȚEAN DE EXCELENȚĂ SATU MARE",48,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:44:51",1646,1616,7,8,15,860,837,0,8,15,848,12,1800,940,70,102,638,18,11,9
32,"SATU MARE","CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",73,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:16:31",1056,1049,2,5,0,421,416,0,5,0,417,4,1200,779,61,80,212,37,16,11
32,"SATU MARE","CENTRU SOCIAL NADISU HODODULUI",213,HODOD,137844,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:48:14",666,635,1,8,22,376,346,0,8,22,364,12,700,324,16,2,345,0,1,0
32,"SATU MARE","CLĂDIRE ADMINISTRATIVĂ",285,SĂCĂŞENI,138770,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:19:10",129,112,0,13,4,81,64,0,13,4,77,4,130,49,30,34,9,1,1,2
32,"SATU MARE","CLĂDIREA SCOLII",252,"ORAŞU NOU",138351,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:17:09",115,105,0,9,1,50,40,0,9,1,48,2,155,105,6,17,17,1,2,5
32,"SATU MARE","CLADIRE DISPENSAR TUR",111,"ORAŞ NEGREŞTI-OAŞ",136599,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:43:00",1592,1585,0,6,1,475,468,0,6,1,456,19,1600,1125,314,83,15,26,10,8
32,"SATU MARE","CLĂDIRE MULTIFUNCȚIONALĂ",261,PETREŞTI,138501,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:37:35",313,306,0,2,5,113,106,0,2,5,104,9,389,276,12,10,72,0,8,2
32,"SATU MARE","CLADIRE PRIMARIE",174,CEHAL,137363,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:15:39",175,161,0,8,6,113,99,0,8,6,109,4,271,158,48,40,3,1,3,14
32,"SATU MARE","COLEGIUL ECONOMIC ” GHEORGHE DRAGOŞ ” (GRUP ŞC. ECONOMIC” GHEORGHE DRAGOŞ ”)",70,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:49:28",1602,1584,5,10,3,796,783,0,10,3,771,25,1800,1004,114,169,356,66,25,41
32,"SATU MARE","COLEGIUL NAŢIONAL ” DOAMNA STANCA ”",65,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:07:31",843,823,4,8,8,377,361,0,8,8,370,7,986,609,31,74,217,30,4,14
32,"SATU MARE","COLEGIUL NAŢIONAL” MIHAI EMINESCU ”",69,"MUNICIPIUL SATU MARE",136483,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:34:37",986,975,5,6,0,436,430,0,6,0,412,24,1100,664,63,84,220,19,16,10
32,"SATU MARE","COLEGIUL TEHNIC DE TRANSP. ŞI TELECOMUNICAŢII ” I.C. BRĂTIANU ”",61,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:07:18",1234,1220,2,7,5,595,583,0,7,5,576,19,1400,805,89,136,266,51,18,16
32,"SATU MARE","COLEGIUL TEHNIC ” ELISA ZAMFIRESCU ” (COL.TEHNIC ELISA ZAMFIRESCU(GRUP ŞC. DE INDUSTRIE UŞOARĂ ))",22,"MUNICIPIUL SATU MARE",136483,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:50:56",1369,1353,1,2,13,658,643,0,2,13,647,11,1500,842,79,141,346,45,18,18
32,"SATU MARE","COLEGIUL TEHNIC ”IULIU MANIU”",76,"MUNICIPIUL CAREI",136526,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:42:48",1267,1260,2,4,1,601,596,0,4,1,577,24,1400,799,60,119,347,20,11,20
32,"SATU MARE","CONSILIUL LOCAL FOIENI",202,FOIENI,137728,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:07:12",1596,1590,2,4,0,972,968,0,4,0,950,22,1751,779,8,25,908,6,0,3
32,"SATU MARE","CREŞA ” CASTELUL PITICILOR”",102,"ORAŞ NEGREŞTI-OAŞ",136599,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 22:38:57",1190,1179,2,6,3,379,370,0,6,3,366,13,1204,825,225,65,12,38,13,13
32,"SATU MARE","CREŞA ”CASTELUL PITICILOR”",101,"ORAŞ NEGREŞTI-OAŞ",136599,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 23:36:08",1198,1187,7,3,1,387,383,0,3,1,373,14,1200,813,192,103,17,37,9,15
32,"SATU MARE",GRADINITA,228,"MEDIEŞU AURIT",138084,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 14:39:15",509,497,1,7,4,311,300,0,7,4,302,9,550,239,104,162,6,4,6,20
32,"SATU MARE",GRADINITA,322,TURULUNG,139214,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:18",156,146,1,5,4,99,90,0,5,4,87,12,180,81,7,5,74,1,0,0
32,"SATU MARE","GRADINIŢA APATEU",188,CULCIU,137540,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 01:20:38",273,264,1,5,3,149,141,0,5,3,139,10,291,142,15,37,84,2,0,1
32,"SATU MARE","GRĂDINIŢA BĂBEŞTI",207,HALMEU,137764,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:59:57",357,350,0,7,0,205,198,0,7,0,196,9,380,175,11,13,166,2,3,1
32,"SATU MARE","GRĂDINIŢA CU PROG. PRELUNGIT ” DUMBRAVA MINUNATĂ ” (GRĂDINIŢA ”DUMBRAVA MINUNATĂ” )",64,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:09:05",1274,1230,27,11,6,654,636,1,11,6,622,32,1294,640,76,85,408,27,12,14
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL",312,TIREAM,139107,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:40:47",162,155,0,6,1,86,79,0,6,1,83,3,196,110,13,32,31,3,3,1
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",249,"ORAŞU NOU",138351,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:10:04",339,319,1,7,12,184,165,0,7,12,170,14,371,187,27,19,58,49,7,10
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",299,SUPUR,138921,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:19:23",152,146,0,5,1,90,84,0,5,1,87,3,204,114,25,56,5,0,1,0
32,"SATU MARE","GRĂDINIȚĂ CU PROGRAM NORMAL",250,"ORAŞU NOU",138351,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:46:18",484,478,1,3,2,221,216,0,3,2,211,10,528,307,19,94,34,34,24,6
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL BLAJA",116,"ORAŞ TĂŞNAD",136642,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:29:10",182,171,0,10,1,119,108,0,10,1,117,2,190,71,37,65,8,4,1,2
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL CIG",117,"ORAŞ TĂŞNAD",136642,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:58:17",347,308,0,14,25,219,180,0,14,25,199,20,350,131,99,76,10,6,5,3
32,"SATU MARE","GRĂDINIȚA CU PROGRAM NORMAL HRIP",257,PĂULEŞTI,138431,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:36:00",612,590,0,8,14,348,326,0,8,14,318,30,700,352,21,221,71,2,1,2
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL IANCULEŞTI",88,"MUNICIPIUL CAREI",136526,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 18:05:16",285,276,0,9,0,147,138,0,9,0,138,9,489,342,49,69,6,7,3,4
32,"SATU MARE","GRADINITA CU PROGRAM NORMAL LIVADA",96,"ORAŞ LIVADA",138039,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:37",1419,1405,3,2,9,673,662,0,2,9,645,28,1600,927,41,101,462,17,15,9
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL MOIŞENI",178,CERTEZE,137407,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:58:54",1186,1178,0,8,0,444,436,0,8,0,390,54,1295,851,77,196,4,44,59,10
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.10",81,"MUNICIPIUL CAREI",136526,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:43:08",1785,1770,2,13,0,711,698,0,13,0,691,20,1900,1189,99,162,391,14,15,10
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.21",16,"MUNICIPIUL SATU MARE",136483,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:40:43",1273,1258,6,9,0,512,503,0,9,0,497,15,1403,891,78,128,232,37,13,9
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.21",17,"MUNICIPIUL SATU MARE",136483,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 15:51:47",1797,1789,0,5,3,783,775,0,5,3,752,31,2000,1217,105,234,303,64,26,20
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.5",84,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:55:04",1929,1905,4,17,3,832,812,0,17,3,796,36,2100,1268,117,121,517,14,8,19
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.8",85,"MUNICIPIUL CAREI",136526,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:53:54",1367,1356,5,6,0,673,667,0,6,0,646,27,1498,825,92,117,395,17,9,16
32,"SATU MARE","GRĂDINIŢA CU PROGRAM NORMAL NR.9",80,"MUNICIPIUL CAREI",136526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:52:25",1093,1085,1,7,0,477,470,0,7,0,467,10,1200,723,57,72,308,11,6,13
