precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIAC FRANCISK-IULIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMION MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDREI IONUŢ-VALENTIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","IONIŢĂ ANTONETA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GAVRILĂ GELA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RĂUREANU ADRIAN-CORNELIU-PARTIDUL S.O.S. ROMÂNIA-voturi","FĂTU NECULAI-PARTIDUL SOCIALIST ROMÂN-voturi"
9,BRĂILA,"GRĂDINIŢA NR. 36 „FURNICUŢA”",92,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:27:11",1219,1211,1,7,0,504,497,0,7,0,490,14,1350,846,57,283,52,4,39,13,28,14
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",95,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:11",1109,1059,0,7,43,450,400,0,7,43,428,22,1150,700,48,253,32,9,50,8,23,5
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",97,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:17:45",1124,1112,0,12,0,486,474,0,12,0,462,16,1250,772,49,277,46,11,53,8,12,6
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",96,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:37",1551,1542,1,8,0,601,593,0,8,0,574,27,1700,1099,55,287,72,13,78,14,42,13
9,BRĂILA,"GRĂDINIŢA NR. 38 „IZVORAȘUL”",29,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:36:22",1292,1265,20,7,0,553,546,0,7,0,528,25,1400,847,46,312,67,17,52,8,20,6
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",21,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:47:45",1034,1026,1,7,0,406,399,0,7,0,389,17,1100,694,40,196,59,19,35,13,20,7
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",23,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:58:43",997,988,1,8,0,359,351,0,8,0,342,17,1100,741,30,191,43,8,39,5,22,4
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",20,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:10",1150,1142,2,6,0,450,444,0,6,0,432,10,1250,808,54,234,42,7,47,4,40,4
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",22,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:57:09",1013,1003,2,8,0,385,377,0,8,0,374,11,1095,710,45,205,52,5,25,8,27,7
9,BRĂILA,"GRĂDINIŢA NR. 61 „BOBOCEL”",6,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:14",1117,1112,1,4,0,466,462,0,4,0,445,21,1201,730,43,265,62,10,27,8,27,3
9,BRĂILA,"GRĂDINIŢA NR. 61 „BOBOCEL”",5,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:17:14",1053,1045,0,8,0,452,444,0,8,0,442,10,1159,707,49,254,55,12,28,14,28,2
9,BRĂILA,"GRĂDINIŢA NR. 8 „SCUFIȚA ROȘIE”",120,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:19:48",1090,1084,0,6,0,452,446,0,6,0,445,7,1200,748,50,263,57,8,33,8,24,2
9,BRĂILA,"GRĂDINIŢA NR. 8 „SCUFIȚA ROȘIE”",121,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:28:29",1115,1109,0,6,0,448,442,0,6,0,422,26,1200,752,36,255,51,10,34,6,22,8
9,BRĂILA,"GRĂDINIȚA SILISTRARU",255,TRAIAN,44202,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:17:42",628,615,1,9,3,368,356,0,9,3,354,14,700,330,73,238,21,1,6,1,14,0
9,BRĂILA,"GRĂDINIȚA URLEASCA",256,TRAIAN,44202,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:56:42",977,968,0,4,5,617,608,0,4,5,601,16,1104,487,355,198,32,0,2,4,9,1
9,BRĂILA,"LICEUL DE ARTĂ „HARICLEA DARCLEE”",64,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:12:13",1316,1310,0,6,0,483,477,0,6,0,459,24,1450,967,49,216,74,3,57,7,45,8
9,BRĂILA,"LICEUL DE ARTĂ „HARICLEA DARCLEE”",65,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:46",1275,1260,3,6,6,519,507,0,6,6,500,19,1400,881,59,252,59,5,68,12,41,4
9,BRĂILA,"LICEUL PEDAGOGIC „D.P. PERPESSICIUS”",98,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:15:16",974,969,1,4,0,421,417,0,4,0,396,21,1100,679,47,234,45,7,42,4,14,3
9,BRĂILA,"LICEUL PEDAGOGIC „D.P. PERPESSICIUS”",99,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:12",1344,1334,2,8,0,580,572,0,8,0,568,12,1450,870,58,344,45,4,77,10,26,4
9,BRĂILA,"LICEUL PEDAGOGIC „D.P. PERPESSICIUS”",100,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:54:49",1292,1287,0,5,0,553,548,0,5,0,539,14,1400,847,70,291,62,12,57,13,27,7
9,BRĂILA,"LICEUL TEHNOLOGIC „ANGHEL SALIGNY”",81,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:23",1128,1109,14,5,0,460,455,0,5,0,446,14,1250,790,47,244,59,10,51,6,24,5
9,BRĂILA,"LICEUL TEHNOLOGIC „ANGHEL SALIGNY”",83,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:30:34",1153,1139,2,12,0,502,490,0,12,0,473,18,1247,756,64,233,48,9,72,6,28,13
9,BRĂILA,"LICEUL TEHNOLOGIC „ANGHEL SALIGNY”",82,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:52:53",956,953,0,3,0,387,384,0,3,0,373,14,1050,663,51,170,61,7,38,10,34,2
9,BRĂILA,"LICEUL TEHNOLOGIC „CONSTANTIN BRÂNCOVEANU”",135,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:48:34",1293,1283,2,8,0,519,511,0,8,0,500,19,1400,881,51,253,67,14,53,17,36,9
9,BRĂILA,"LICEUL TEHNOLOGIC „CONSTANTIN BRÂNCOVEANU”",133,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:31:24",979,972,2,5,0,348,343,0,5,0,335,13,1100,752,31,198,38,8,27,6,20,7
9,BRĂILA,"LICEUL TEHNOLOGIC „CONSTANTIN BRÂNCOVEANU”",137,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:09:09",1066,1055,1,10,0,345,335,0,10,0,334,11,1200,855,31,190,48,6,28,6,23,2
9,BRĂILA,"LICEUL TEHNOLOGIC „CONSTANTIN BRÂNCOVEANU”",136,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:00:38",1095,1090,0,5,0,443,438,0,5,0,421,14,1200,765,29,268,44,5,45,1,21,8
9,BRĂILA,"LICEUL TEHNOLOGIC „CONSTANTIN BRÂNCOVEANU”",134,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:48",1501,1491,0,10,0,468,458,0,10,0,446,18,1600,1136,41,213,71,11,51,7,43,9
9,BRĂILA,"LICEUL TEHNOLOGIC „GRIGORE MOISIL”",66,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:12:04",1422,1406,0,6,10,543,527,0,6,10,524,19,1500,957,55,237,100,13,51,14,45,9
9,BRĂILA,"LICEUL TEHNOLOGIC ” NICOLAE TITULESCU ” ÎNSURĂȚEI - ȘCOALA ANEXĂ",157,"ORAŞ ÎNSURĂŢEI",43411,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:51:04",866,861,0,3,2,428,423,0,3,2,403,25,1000,572,42,215,37,0,82,2,23,2
9,BRĂILA,"LICEUL TEHNOLOGIC ” NICOLAE TITULESCU ” ÎNSURĂȚEI - ȘCOALA ANEXĂ",156,"ORAŞ ÎNSURĂŢEI",43411,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:53:01",981,974,0,5,2,476,469,0,5,2,453,23,1100,624,106,187,73,3,65,1,17,1
9,BRĂILA,"LICEUL TEORETIC ”CONSTANTIN ANGELESCU”",147,"ORAŞ IANCA",43331,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:46:08",1049,1035,0,6,8,604,590,0,6,8,579,25,1170,566,227,276,37,0,15,1,21,2
9,BRĂILA,"LICEUL TEORETIC ”CONSTANTIN ANGELESCU”",148,"ORAŞ IANCA",43331,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:37:43",1062,1031,5,3,23,583,557,0,3,23,541,42,1160,577,186,284,41,2,8,2,18,0
9,BRĂILA,"LICEUL TEORETIC „NICOLAE IORGA”",61,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:53:20",761,745,0,9,7,287,271,0,9,7,278,9,850,563,26,128,41,5,39,7,29,3
9,BRĂILA,"LICEUL TEORETIC „PANAIT CERNA”",53,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:41:22",1264,1256,3,4,1,504,499,0,4,1,481,18,1400,901,70,269,49,6,48,10,25,4
9,BRĂILA,"LICEUL TEORETIC „PANAIT CERNA”",54,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:20",1194,1185,1,8,0,463,455,0,8,0,449,14,1300,837,56,261,46,12,31,4,36,3
9,BRĂILA,"LICEUL TEORETIC „PANAIT CERNA”",52,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:15:38",1442,1435,1,6,0,567,561,0,6,0,556,11,1588,1021,70,288,74,8,69,8,34,5
9,BRĂILA,"LICEUL TEORETIC „PANAIT CERNA”",55,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:35:57",908,903,1,4,0,381,377,0,4,0,366,15,1000,522,52,211,32,9,42,5,12,3
9,BRĂILA,"SALĂ FESTIVITĂȚI",236,SILIŞTEA,43992,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:57:55",132,126,0,5,1,88,82,0,5,1,88,0,166,78,13,58,14,0,1,0,2,0
9,BRĂILA,"SALĂ FESTIVITĂȚI CORBENI ( FOST CAMIN CULTURAL SAT CORBENI)",218,RACOVIŢA,43698,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:35:17",106,96,0,8,2,77,67,0,8,2,73,4,200,123,32,7,25,1,5,0,3,0
9,BRĂILA,"ȘCOALA CU CLASELE I-IV FĂUREI - SAT",244,SURDILA-GRECI,42771,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:00:07",293,282,0,11,0,188,177,0,11,0,174,13,319,132,130,23,13,2,0,0,5,1
