precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRĂGUŞIN VICTOR-PARTIDUL SOCIAL DEMOCRAT-voturi","DONCEA BOGDAN-ALIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","EPURE HARALAMBIE-PARTIDUL NAȚIONAL LIBERAL-voturi","DUMITRAŞCU CĂTĂLIN-ALEXANDRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DOBRE DAN-GEORGE-voturi"
36,TELEORMAN,"ȘCOALA AJUTĂTOARE ALEXANDRIA",1,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 16:58:53",1459,1442,4,8,5,675,662,0,8,5,664,11,1600,925,342,29,207,47,39
36,TELEORMAN,"ȘCOALA DE ȘOFERI AMATORI",33,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:09:00",1418,1403,0,11,4,568,553,0,11,4,530,38,1550,982,354,44,99,13,20
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",27,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:29",1228,1224,0,4,0,520,516,0,4,0,509,11,1390,870,242,30,155,37,45
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",30,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:56",1319,1311,2,6,0,590,582,2,6,0,579,11,1450,860,284,37,170,53,35
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",28,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:03",1274,1268,0,5,1,472,466,0,5,1,459,13,1460,988,270,105,31,25,28
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ALEXANDRU COLFESCU”",29,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:13:28",1251,1238,2,6,5,558,547,0,6,5,546,12,1430,872,297,28,153,38,30
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",21,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:29",994,987,0,5,2,446,439,0,5,2,427,19,1130,684,216,17,127,39,28
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL”",20,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:49",1286,1266,4,13,3,539,523,0,13,3,527,12,1400,861,262,26,156,34,49
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.5",13,"MUNICIPIUL ALEXANDRIA",151790,4,PART,PRCNCT,P,P_SV,"2024-06-10 10:34:13",913,901,3,7,2,429,419,1,7,2,422,7,1000,571,210,14,149,28,21
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.6",22,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:56",913,903,1,7,2,331,322,0,7,2,320,11,1010,679,179,24,77,17,23
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.6",23,"MUNICIPIUL ALEXANDRIA",151790,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:10:21",903,891,0,12,0,338,326,0,12,0,332,6,1040,702,172,23,79,32,26
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.7",3,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:16",1161,1155,0,5,1,551,545,0,5,1,544,7,1340,789,333,36,122,26,27
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.7",2,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:09:23",1118,1108,2,8,0,523,515,0,8,0,513,10,1270,747,250,22,159,43,39
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.7",5,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:27",1103,1087,2,13,1,499,485,0,13,1,489,10,1260,761,269,15,142,32,31
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ NR.7",4,"MUNICIPIUL ALEXANDRIA",151790,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:04:23",1293,1285,3,3,2,553,548,0,3,2,537,16,1420,867,262,35,202,23,15
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ȘTEFAN CEL MARE”",18,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:58",772,758,2,11,1,347,335,0,11,1,337,10,880,533,198,15,80,23,21
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”ȘTEFAN CEL MARE”",19,"MUNICIPIUL ALEXANDRIA",151790,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:17",924,912,0,11,1,425,413,0,11,1,415,10,1010,585,190,15,148,37,25
