precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAYER MARIAN-PARTIDUL ROMÂNIA MARE-voturi","SIMUŢ GLAD-PARTIDUL S.O.S. ROMÂNIA-voturi","SZIME OVIDIU-DANIEL-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","NICA ALIN-ADRIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","IACOB ADRIAN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SIMONIS ALFRED-ROBERT-ALIANȚA ELECTORALĂ PSD PNL-voturi","BALAŞ NELU-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL CRALOVĂŢ",588,"TOPOLOVĂŢU MARE",158966,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 14:10:01",98,88,0,10,0,49,39,0,10,0,48,1,98,49,2,3,3,14,8,18,0
37,TIMIŞ,"CĂMINUL CULTURAL CRICIOVA",367,CRICIOVA,156534,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:31",644,591,3,35,15,505,455,0,35,15,492,13,900,395,4,4,4,72,94,312,2
37,TIMIŞ,"CĂMINUL CULTURAL CRIVOBARA",565,SECAŞ,158608,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:29:36",109,75,0,31,3,86,52,0,31,3,81,5,200,114,0,0,0,44,9,28,0
37,TIMIŞ,"CĂMINUL CULTURAL CURTEA",370,CURTEA,156589,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:06:16",555,544,3,3,5,429,418,3,3,5,409,20,700,271,4,14,0,132,39,217,3
37,TIMIŞ,"CĂMINUL CULTURAL DINIAȘ",508,"PECIU NOU",158065,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 19:34:02",971,955,2,2,12,541,527,0,2,12,535,6,1000,459,6,23,13,154,71,256,12
37,TIMIŞ,"CĂMINUL CULTURAL DRAGOMIREŞTI",573,ŞTIUCA,158804,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:16:11",333,329,0,2,2,171,167,0,2,2,163,8,400,229,2,9,0,18,57,75,2
37,TIMIŞ,"CĂMINUL CULTURAL DRĂGSINEŞTI",398,FÂRDEA,156927,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:05:40",419,385,1,19,14,331,298,0,19,14,312,19,500,169,3,8,0,30,44,223,4
37,TIMIŞ,"CĂMINUL CULTURAL DRINOVA",312,BÂRNA,155957,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:45:50",144,142,0,0,2,108,106,0,0,2,95,13,200,92,2,1,1,12,8,70,1
37,TIMIŞ,"CĂMINUL CULTURAL DUBEŞTI",494,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:17:09",194,183,0,4,7,151,140,0,4,7,134,17,200,49,1,4,0,59,19,51,0
37,TIMIŞ,"CĂMINUL CULTURAL FÂRDEA",397,FÂRDEA,156927,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:22",592,534,9,27,22,430,379,2,27,22,406,24,700,270,7,18,2,64,44,268,3
37,TIMIŞ,"CĂMINUL CULTURAL FIBIŞ",400,FIBIŞ,159393,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:16:47",1468,1409,6,11,42,1019,966,0,11,42,945,73,1500,482,13,51,8,270,105,489,9
37,TIMIŞ,"CĂMINUL CULTURAL GAD",408,GHILAD,159400,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:08",127,120,0,6,1,71,64,0,6,1,67,4,200,129,0,4,0,10,8,45,0
37,TIMIŞ,"CĂMINUL CULTURAL GĂVOJDIA",403,GAVOJDIA,157031,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:22:16",1115,1083,1,10,21,554,522,1,10,21,544,10,1200,646,7,28,0,59,56,374,20
37,TIMIŞ,"CĂMINUL CULTURAL GHERMAN",447,"JAMU MARE",157362,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 18:31:01",197,190,1,5,1,120,114,0,5,1,117,3,200,80,1,4,1,41,15,55,0
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 19:43:38",1718,1694,18,5,1,937,931,0,5,1,867,70,1800,863,9,27,14,326,72,409,10
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:21:17",2030,2002,12,14,2,1136,1118,2,14,2,1103,33,2100,964,13,38,22,486,115,410,19
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",424,GIROC,155314,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:55:28",1741,1693,24,21,3,817,792,1,21,3,807,10,1800,983,11,25,30,270,109,348,14
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",423,GIROC,155314,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:21:14",1681,1668,0,11,2,878,865,0,11,2,847,31,2000,1122,15,36,26,306,98,349,17
37,TIMIŞ,"CĂMINUL CULTURAL GLADNA ROMÂNĂ",399,FÂRDEA,156927,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:27:28",449,425,0,7,17,343,319,0,7,17,338,5,600,257,3,11,0,38,21,264,1
37,TIMIŞ,"CĂMINUL CULTURAL GRABAŢ",453,LENAUHEIM,157451,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:21:51",1726,1700,0,11,15,776,750,0,11,15,717,59,1800,1024,10,41,6,182,85,382,11
37,TIMIŞ,"CĂMINUL CULTURAL GROŞI",465,MARGINA,157585,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:55:11",74,64,0,10,0,44,34,0,10,0,41,3,100,56,0,0,0,5,8,28,0
37,TIMIŞ,"CĂMINUL CULTURAL HERENDEŞTI",610,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:35:24",386,370,3,12,1,223,210,0,12,1,210,13,400,177,4,8,0,35,32,130,1
37,TIMIŞ,"CĂMINUL CULTURAL HONORICI",611,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:07:26",270,261,0,3,6,186,177,0,3,6,179,7,300,114,5,6,2,87,11,66,2
37,TIMIŞ,"CĂMINUL CULTURAL ICLODA",533,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:36:42",268,234,0,24,10,183,149,0,24,10,175,8,300,117,3,8,1,57,32,72,2
37,TIMIŞ,"CĂMINUL CULTURAL IECEA MICĂ",348,CĂRPINIŞ,156213,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:00:45",1019,1006,2,11,0,360,349,0,11,0,342,18,1100,740,3,12,1,46,37,219,24
37,TIMIŞ,"CĂMINUL CULTURAL IERŞNIC",495,"OHABA LUNGĂ",157969,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:27:40",132,105,1,17,9,115,89,0,17,9,111,4,200,85,0,3,0,13,8,84,3
37,TIMIŞ,"CĂMINUL CULTURAL JDIOARA",369,CRICIOVA,156534,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:48:59",458,423,1,26,8,363,328,1,26,8,341,22,600,237,2,7,0,28,85,216,3
37,TIMIŞ,"CĂMINUL CULTURAL JENA",404,GAVOJDIA,157031,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:46:02",418,393,1,7,17,247,222,1,7,17,239,8,600,353,2,7,2,22,15,160,31
37,TIMIŞ,"CĂMINUL CULTURAL JUREŞTI",313,BÂRNA,155957,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 13:32:50",181,176,0,5,0,131,126,0,5,0,115,14,200,71,1,11,0,22,10,71,0
37,TIMIŞ,"CĂMINUL CULTURAL LĂPUŞNIC",308,BARA,155662,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:28",105,54,0,51,0,94,43,0,51,0,92,2,100,6,2,19,0,44,5,22,0
37,TIMIŞ,"CĂMINUL CULTURAL LENAUHEIM",451,LENAUHEIM,157451,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:02:35",1595,1554,5,5,31,769,733,0,5,31,709,60,1800,1031,13,29,19,295,98,243,12
37,TIMIŞ,"CĂMINUL CULTURAL LIEBLING",454,LIEBLING,157497,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:41:57",1514,1501,2,4,7,742,730,1,4,7,699,43,1676,934,11,29,17,136,233,267,6
37,TIMIŞ,"CĂMINUL CULTURAL LUNCANII DE JOS",583,TOMEŞTI,158895,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:24:56",268,258,0,6,4,210,200,0,6,4,199,11,300,90,0,8,1,21,26,143,0
37,TIMIŞ,"CĂMINUL CULTURAL MĂGURI",238,"MUNICIPIUL LUGOJ",155350,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:18:09",784,776,1,6,1,208,201,0,6,1,189,19,1100,892,6,7,3,40,38,75,20
37,TIMIŞ,"CĂMINUL CULTURAL MÂNĂSTIRE",333,BIRDA,159366,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:04:24",170,160,0,2,8,101,91,0,2,8,97,4,200,99,0,2,0,4,6,85,0
37,TIMIŞ,"CĂMINUL CULTURAL MARGINA",462,MARGINA,157585,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:56:25",928,923,1,3,1,534,530,0,3,1,510,24,1200,666,5,23,5,77,77,314,9
37,TIMIŞ,"CĂMINUL CULTURAL NEVRINCEA",328,BETHAUSEN,155840,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:15:02",202,192,0,9,1,122,112,0,9,1,110,12,304,182,3,7,1,41,17,31,10
37,TIMIŞ,"CĂMINUL CULTURAL NIȚCHIDORF",490,NIŢCHIDORF,157923,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:38:29",1143,1102,2,19,20,627,588,0,19,20,597,30,1200,573,6,7,1,132,48,402,1
37,TIMIŞ,"CAMINUL CULTURAL NR. 673, SARAVALE",539,SARAVALE,159455,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 21:17:05",861,833,0,3,25,565,537,0,3,25,505,53,1000,435,9,24,9,185,51,222,5
37,TIMIŞ,"CĂMINUL CULTURAL OHABA LUNGĂ",493,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:58",338,307,0,19,12,250,219,0,19,12,231,19,400,150,5,6,0,88,10,122,0
37,TIMIŞ,"CĂMINUL CULTURAL OHABA ROMÂNĂ",496,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:49:03",149,124,0,10,15,149,124,0,10,15,141,8,200,51,2,18,0,56,1,63,1
37,TIMIŞ,"CĂMINUL CULTURAL OLOŞAG",574,ŞTIUCA,158804,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:38:37",314,305,3,2,4,186,180,0,2,4,179,7,400,214,1,7,1,32,54,83,1
37,TIMIŞ,"CĂMINUL CULTURAL OPATIŢA",255,"ORAŞ DETA",155458,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:16:48",591,573,2,5,11,309,293,0,5,11,285,24,700,391,4,8,5,33,51,180,4
37,TIMIŞ,"CĂMINUL CULTURAL PĂDURENI",612,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:31:36",140,128,2,8,2,80,69,1,8,2,76,4,200,120,2,5,0,14,9,41,5
37,TIMIŞ,"CĂMINUL CULTURAL PANIOVA",414,GHIZELA,157193,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:31",265,181,0,66,18,218,134,0,66,18,197,21,300,82,2,7,2,54,6,125,1
37,TIMIŞ,"CĂMINUL CULTURAL PARŢA",504,PARŢA,159437,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:53:30",2105,2013,9,52,31,1461,1373,5,52,31,1401,60,2200,739,22,38,20,332,120,854,15
37,TIMIŞ,"CĂMINUL CULTURAL PĂRU",364,COŞTEIU,156473,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:20",214,203,3,8,0,132,124,0,8,0,126,6,300,168,1,7,0,25,16,77,0
37,TIMIŞ,"CĂMINUL CULTURAL PECIU NOU",507,"PECIU NOU",158065,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:16",1598,1590,1,7,0,814,806,1,7,0,783,31,1600,786,5,35,5,209,109,408,12
37,TIMIŞ,"CĂMINUL CULTURAL PERCOSOVA",272,"ORAŞ GĂTAIA",157086,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:46:01",239,222,0,9,8,138,121,0,9,8,124,14,300,162,1,6,0,27,14,76,0
37,TIMIŞ,"CĂMINUL CULTURAL POGĂNEŞTI",314,BÂRNA,155957,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:37",279,270,2,7,0,190,182,1,7,0,171,19,302,112,3,17,1,15,33,100,2
37,TIMIŞ,"CĂMINUL CULTURAL POVÂRGINA",266,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:44:01",130,121,0,9,0,78,69,0,9,0,73,5,200,122,2,4,0,15,10,42,0
37,TIMIŞ,"CĂMINUL CULTURAL PUSTINIŞ",601,UIVAR,159142,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:48",628,620,0,5,3,359,351,0,5,3,329,30,700,341,3,10,0,33,109,169,5
37,TIMIŞ,"CĂMINUL CULTURAL RĂDMĂNEŞTI",309,BARA,155662,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:01:32",82,45,0,37,0,66,29,0,37,0,63,3,100,34,0,2,0,32,4,25,0
37,TIMIŞ,"CĂMINUL CULTURAL RĂUŢI",602,UIVAR,159142,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:03",491,488,0,1,2,240,237,0,1,2,226,14,500,260,3,9,3,35,72,101,3
37,TIMIŞ,"CĂMINUL CULTURAL REMETEA MICĂ",469,MAŞLOC,157683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:37:28",438,435,1,0,2,248,246,0,0,2,235,13,500,252,4,6,1,47,78,98,1
37,TIMIŞ,"CĂMINUL CULTURAL ROMÂNEŞTI",584,TOMEŞTI,158895,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:52:00",403,398,0,2,3,270,265,0,2,3,253,17,500,230,1,8,0,27,78,137,2
37,TIMIŞ,"CĂMINUL CULTURAL ROVINIŢA MARE",378,DENTA,156669,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-14 19:58:00",332,316,0,8,8,247,231,0,8,8,236,11,502,255,2,8,1,18,32,173,2
37,TIMIŞ,"CĂMINUL CULTURAL SĂCĂLAZ",547,SĂCĂLAZ,158564,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:34:26",1732,1607,5,117,3,936,814,2,117,3,902,34,1700,764,9,25,7,276,217,345,23
37,TIMIŞ,"CĂMINUL CULTURAL SĂCENI",596,"TRAIAN VUIA",159071,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:04",128,117,2,8,1,128,117,2,8,1,126,2,300,172,0,3,0,16,72,33,2
37,TIMIŞ,"CĂMINUL CULTURAL ȘAG",566,ŞAG,158779,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-15 18:24:19",1406,1345,10,39,12,802,768,10,12,12,768,34,1500,698,10,20,31,218,46,434,9
37,TIMIŞ,"CĂMINUL CULTURAL ȘAG",567,ŞAG,158779,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:16:04",1578,1475,11,22,70,1027,932,3,22,70,983,44,1600,573,14,29,20,206,76,621,17
