precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SCRECIU MARIUS-VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","KOLER EDUARD-VIRGIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU VIRGIL-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PREDEŢEANU IONELA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MĂNEANU FLORIN-ION-PARTIDUL NOUA DREAPTĂ-voturi","GHERGHE CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GHEORGHE LIVIA-TATIANA-PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",61,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:13",1026,1006,4,13,3,467,447,4,13,3,447,20,1116,649,250,45,103,3,11,31,4
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.20",26,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:27",1702,1686,2,8,6,684,670,0,8,6,661,23,1763,1079,327,105,139,6,15,47,22
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 21",44,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:10:28",1194,1186,0,8,0,418,410,0,8,0,399,19,1348,930,174,76,85,8,5,44,7
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 21",43,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:19",941,933,1,6,1,322,315,0,6,1,309,13,1066,744,137,44,76,3,6,38,5
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 22",17,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:34",1056,1052,0,4,0,339,335,0,4,0,330,9,1193,854,140,56,78,6,7,26,17
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 3",33,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:37:42",1217,1212,0,4,1,488,483,0,4,1,472,16,1361,873,248,58,96,6,7,47,10
27,MEHEDINŢI,"LICEUL TEHNOLOGIC SPECIAL ”DROBETA” (ȘCOALA ENERGETICĂ)",7,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:06",969,961,0,7,1,374,366,0,7,1,361,13,1101,727,162,52,87,6,5,38,11
27,MEHEDINŢI,"LICEUL TEHNOLOGIC SPECIAL ”DROBETA” (ȘCOALA ENERGETICĂ)",6,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:00",1268,1248,3,11,6,499,482,0,11,6,489,10,1404,905,242,63,97,2,13,60,12
27,MEHEDINŢI,"MINISTERUL SĂNĂTĂȚII - SERVICIUL JUDEȚEAN DE AMBULANȚĂ - SPAȚIU ADMINISTRATIV",23,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:21:42",1410,1404,0,6,0,550,544,0,6,0,531,19,1471,921,278,72,96,4,12,56,13
27,MEHEDINŢI,"PRIMARIA MUNICIPIULUI DROBETA-TURNU SEVERIN CENTRUL EXPOZIȚIONAL (PĂDUREA CRIHALA) DPITC",13,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:08",1414,1404,1,7,2,510,501,0,7,2,494,16,1584,1074,227,61,118,6,10,60,12
27,MEHEDINŢI,"PRIMARIA MUNICIPIULUI DROBETA-TURNU SEVERIN CENTRUL EXPOZIȚIONAL (PĂDUREA CRIHALA) DPITC",12,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:36",1431,1419,0,10,2,535,523,0,10,2,519,16,1664,1129,234,81,110,4,21,53,16
27,MEHEDINŢI,"PRIMĂRIA MUNICIPIULUI DROBETA-TURNU SEVERIN (SALA POLIVALENTĂ)",46,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:31:58",1950,1930,5,11,4,823,808,0,11,4,791,32,2162,1339,409,101,162,6,29,72,12
27,MEHEDINŢI,"PRIMĂRIA MUNICIPIULUI DROBETA-TURNU SEVERIN (SALA POLIVALENTĂ)",45,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:29:44",1887,1874,2,11,0,820,807,2,11,0,783,37,2088,1268,404,123,158,4,15,60,19
27,MEHEDINŢI,"PRIMĂRIA MUNICIPIULUI DROBETA-TURNU SEVERIN (STADIONUL MUNICIPAL)",31,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:18",1323,1311,2,8,2,513,503,0,8,2,500,13,1485,972,246,74,95,8,9,49,19
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”ALICE VOINESCU” (ȘCOALA GENERALĂ NR.2)",50,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:29:10",1331,1311,3,13,4,608,591,0,13,4,581,27,1331,723,278,88,102,9,8,86,10
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN NEGREANU” (ȘCOALA GENERALĂ NR.9)",9,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:06",1379,1365,1,10,3,531,518,0,10,3,513,18,1464,933,245,89,87,7,24,51,10
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN NEGREANU” (ȘCOALA GENERALĂ NR.9)",11,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:31:29",1584,1577,0,3,4,533,526,0,3,4,519,14,1713,1180,199,79,158,2,14,49,18
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN NEGREANU” (ȘCOALA GENERALĂ NR.9)",10,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:17",1278,1266,2,7,3,478,468,0,7,3,465,13,1387,909,217,68,116,3,8,45,8
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE GRECESCU” (ȘCOALA GENERALĂ NR.1)",47,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:04:51",1463,1431,9,11,12,661,638,0,11,12,618,20,1604,939,303,79,143,5,20,56,12
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE GRECESCU” (ȘCOALA GENERALĂ NR.15 GURA VĂII)",65,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:38:29",1425,1406,0,8,11,728,709,0,8,11,680,48,1641,913,389,64,190,6,5,15,11
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU I.TOTIR” (ȘCOALA GENERALĂ NR.10)",3,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:00",1369,1355,2,9,3,601,589,0,9,3,572,29,1507,906,232,77,152,6,12,81,12
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU I.TOTIR”(ȘCOALA GENERALĂ NR.10)",4,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:34",1210,1204,0,6,0,460,454,0,6,0,435,19,1342,882,212,50,100,4,11,49,9
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 11",21,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:27:40",1476,1464,0,10,2,606,594,0,10,2,586,20,1548,942,316,76,116,2,7,56,13
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 11",22,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,3,PART,PRCNCT,P,P_SV,"2024-06-10 12:52:41",1216,1197,0,16,3,510,491,0,16,3,493,17,1310,800,255,67,101,5,4,55,6
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 14",18,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:26",977,966,0,11,0,334,323,0,11,0,319,15,1013,679,173,42,51,1,9,32,11
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 14",19,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:35",1290,1278,0,10,2,446,434,0,10,2,430,16,1465,1019,180,78,85,6,14,57,10
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR.15",57,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:17:40",1272,1259,0,10,3,433,420,0,10,3,409,24,1400,967,213,68,73,3,10,31,11
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR.15",60,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:27",1507,1495,1,8,3,600,589,0,8,3,578,22,1825,1224,296,86,109,5,10,58,14
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR.15",58,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:19:01",951,944,0,4,3,377,370,0,4,3,360,17,1076,699,192,69,48,7,7,30,7
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR.15",59,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:36:05",1291,1282,1,8,0,464,456,0,8,0,448,16,1370,906,254,70,66,5,15,30,8
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR.15 (FOSTA ȘCOALĂ GENERALĂ NR.8)",52,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:09",1790,1764,3,12,11,791,768,0,12,11,768,23,1983,1192,402,87,148,11,21,89,10
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR.15 (FOSTA ȘCOALĂ GENERALĂ NR.8)",51,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:11",964,950,1,6,7,382,369,0,6,7,369,13,1070,688,165,74,76,2,2,42,8
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR.3",49,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:31",1370,1338,6,24,2,604,578,0,24,2,568,20,1481,893,279,87,121,4,19,50,8
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR.5",64,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:23:59",1640,1627,1,6,6,762,750,0,6,6,721,41,1784,1022,483,78,118,2,3,20,17
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 6",36,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:10:37",1171,1163,0,7,1,435,427,0,7,1,413,22,1322,887,190,62,77,6,10,63,5
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 6",37,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:00",1128,1115,1,11,1,415,403,0,11,1,403,12,1261,846,182,67,81,3,17,45,8
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 6",35,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:35:56",1455,1440,4,7,4,549,538,0,7,4,533,16,1641,1092,239,83,102,7,22,69,11
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ NR. 6",34,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:32",1164,1156,0,8,0,470,462,0,8,0,455,15,1311,841,230,61,83,7,16,47,11
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”PETRE SERGESCU” (ȘCOALA GENERALĂ NR.4)",42,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:04",1211,1189,8,8,6,556,541,1,8,6,537,19,1436,879,286,74,112,9,8,34,14
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”PETRE SERGESCU” (ȘCOALA GENERALĂ NR.4)",38,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:58:38",1249,1234,0,10,5,410,395,0,10,5,394,16,1337,927,172,63,95,4,14,40,6
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”PETRE SERGESCU” (ȘCOALA GENERALĂ NR.4)",39,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:40",1098,1086,4,7,1,350,342,0,7,1,338,12,1227,877,159,56,69,5,7,33,9
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”PETRE SERGESCU” (ȘCOALA GENERALĂ NR.4)",41,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:10:49",1171,1161,1,6,3,477,468,0,6,3,469,8,1264,787,236,60,133,3,6,25,6
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”PETRE SERGESCU” (ȘCOALA GENERALĂ NR.4)",40,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:45",1045,1031,1,6,7,442,429,0,6,7,422,20,1284,842,207,52,105,1,15,32,10
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”TEODOR COSTESCU” ( ȘCOALA GENERALĂ NR.7)",55,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:22",1726,1711,1,10,4,578,564,0,10,4,567,11,1800,1211,293,96,103,1,9,54,11
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”TEODOR COSTESCU” ( ȘCOALA GENERALĂ NR.7)",54,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,3,PART,PRCNCT,P,P_SV,"2024-06-10 15:16:32",1612,1600,0,5,7,598,586,0,5,7,576,6,1790,1208,299,88,86,4,10,67,22
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”TEODOR COSTESCU” ( ȘCOALA GENERALĂ NR.7)",53,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:34",1743,1734,2,5,2,614,607,0,5,2,585,29,1919,1305,282,100,111,7,9,62,14
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ ”TEODOR COSTESCU” (ȘCOALA GENERALĂ NR.7)",56,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:31",1524,1513,1,8,2,587,577,0,8,2,575,12,1697,1110,308,75,101,15,11,53,12
27,MEHEDINŢI,"S.C. TRANSPORT PUBLIC URBAN ”DROBETA” S.A. (AUTOGARĂ)",8,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:28:50",1324,1310,2,7,5,464,452,1,7,4,447,10,1473,1016,209,73,66,10,9,63,17
