precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”GRIGORE SILAŞI”",63,"ORAŞ BECLEAN",32483,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:13:14",1532,1518,2,6,6,804,791,1,6,6,784,20,1650,846,60,284,12,33,376,19
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ JOSENII BÎRGĂULUI",149,"JOSENII BÂRGĂULUI",33382,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:27:07",865,863,0,0,2,535,533,0,0,2,511,24,955,420,38,121,2,208,133,9
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ LIVEZILE",163,LIVEZILE,33541,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:30:28",1263,1247,1,10,5,687,672,0,10,5,669,18,1400,713,77,120,0,19,450,3
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” CHIUZA",118,CHIUZA,33122,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:14:17",732,705,1,20,6,517,491,0,20,6,496,21,800,283,23,190,2,19,260,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",15,"MUNICIPIUL BISTRIŢA",32394,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:50:11",1625,1611,6,8,0,782,774,0,8,0,766,16,1750,968,68,246,8,35,389,20
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",13,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:05:08",1585,1581,2,2,0,689,686,1,2,0,679,7,1800,1111,49,215,8,17,373,17
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",14,"MUNICIPIUL BISTRIŢA",32394,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:46:53",1574,1566,0,8,0,690,682,0,8,0,670,10,1690,1000,47,224,9,29,343,18
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ MĂRIŞELU",186,MĂRIŞELU,33765,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:02:44",488,481,0,3,4,256,249,0,3,4,249,7,500,244,13,47,1,24,162,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ MATEI",175,MATEI,33658,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:43:48",564,556,0,2,6,426,418,0,2,6,391,35,600,174,2,116,1,2,261,9
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",71,"ORAŞ NĂSĂUD",32544,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:33:06",1517,1493,6,11,7,759,741,0,11,7,743,16,1650,891,15,402,4,25,289,8
