precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIRÓ ROZÁLIA-IBOLYA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MADAR MARIUS-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","PALAGHIANU DANIEL-CRISTIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","MOZA COSTEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BIRTA FLORIN-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOROŞ ANDREI-CRISTIAN-BOGDAN-PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi","CSOMORTÁNYI ISTVÁN-CSABA-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.22",6,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:20",1330,1310,7,13,0,567,554,0,13,0,557,10,1529,962,34,44,15,12,433,4,15
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.22",5,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:04:36",1273,1264,0,9,0,415,406,0,9,0,412,3,1389,974,47,22,0,19,313,4,7
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 22",8,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:40:38",1126,1119,0,7,0,391,384,0,7,0,385,6,1224,833,42,39,6,14,269,6,9
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.24",22,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:08",1310,1288,5,14,3,564,546,1,14,3,561,3,1411,847,63,44,21,20,403,5,5
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.25",15,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:42",773,757,10,6,0,258,252,0,6,0,255,3,847,589,45,30,12,13,148,1,6
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.25",16,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:57",956,945,1,10,0,327,317,0,10,0,321,6,1061,734,37,20,1,8,243,5,7
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 28",35,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:28",1476,1455,1,20,0,630,610,0,20,0,623,7,1595,965,37,59,15,22,473,1,16
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 28",34,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:22",1283,1272,0,11,0,551,540,0,11,0,548,3,1462,911,43,50,12,16,414,6,7
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 28",36,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:48:39",1296,1284,5,7,0,543,536,0,7,0,535,8,1461,918,56,43,5,14,407,1,9
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 35",96,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:42",935,928,0,7,0,406,399,0,7,0,401,5,1014,608,71,27,3,6,282,1,11
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 35",95,"MUNICIPIUL ORADEA",26564,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:20",1051,1043,4,4,0,406,402,0,4,0,392,14,1179,773,67,36,2,16,252,2,17
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 41",108,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:00:54",1588,1571,8,7,2,651,642,0,7,2,645,6,1729,1078,109,48,15,15,444,3,11
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 41",109,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:28",1571,1560,6,5,0,650,645,0,5,0,642,8,1751,1101,95,50,13,17,453,2,12
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.42",84,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:56",1467,1455,0,11,1,634,622,0,11,1,631,3,1624,990,87,50,12,17,449,4,12
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.42",86,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:25",1439,1416,17,6,0,654,648,0,6,0,643,11,1563,909,84,44,9,9,487,1,9
5,BIHOR,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.42",85,"MUNICIPIUL ORADEA",26564,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:36:10",798,790,1,7,0,330,323,0,7,0,326,4,896,566,65,28,7,16,200,5,5
5,BIHOR,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 44",142,"MUNICIPIUL ORADEA",26564,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:43:01",2030,1919,91,20,0,909,889,0,20,0,894,15,2092,1183,37,78,18,24,721,3,13
