precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"CENTRUL SOCIAL - CARTIER SPERANŢA",36,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:05:09",903,895,0,8,0,416,408,0,8,0,390,25,1000,585,111,92,45,7,6,24,5,58,42
29,NEAMŢ,"CENTRUL SOCIAL PIETRICICA",28,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:31:47",1536,1532,0,4,0,648,644,0,4,0,609,39,1701,1051,222,137,62,9,5,69,22,28,55
29,NEAMŢ,CLĂDIRE,424,SECUIENI,124233,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:19",204,197,0,6,1,120,113,0,6,1,115,5,300,180,54,23,26,1,2,3,0,6,0
29,NEAMŢ,"CLĂDIRE ADMINISTRATIVĂ S.C. CMI URBAN S.A. (ŞTRAND MUNICIPAL)",37,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:35",722,714,0,7,1,284,276,0,7,1,263,21,800,516,62,89,33,1,4,23,9,29,13
29,NEAMŢ,"CLĂDIREA ”SALA DE NUNŢI”",289,GHINDĂOANI,125114,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:48",1512,1491,1,4,16,844,823,1,4,16,798,46,1600,756,530,156,52,2,2,18,5,30,3
29,NEAMŢ,"CLADIRE ŞCOALĂ",234,COSTIŞA,122132,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:02:34",196,190,0,5,1,106,100,0,5,1,101,5,200,94,55,32,10,0,0,0,0,4,0
29,NEAMŢ,"CLUBUL COPIILOR",142,"ORAŞ TÂRGU-NEAMŢ",121055,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:28:36",1754,1743,1,7,3,790,780,0,7,3,764,26,1900,1110,382,190,56,7,8,62,5,41,13
29,NEAMŢ,"COLEGIUL NAȚIONAL ”CALISTRAT HOGAȘ”",7,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:45:22",1275,1270,0,5,0,404,399,0,5,0,385,17,1400,998,133,118,47,4,11,50,7,13,2
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",29,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:58:39",1784,1775,0,9,0,714,705,0,9,0,681,33,1900,1186,202,191,77,5,15,85,16,27,63
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",34,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:30",886,885,0,1,0,360,359,0,1,0,343,17,1000,640,150,73,29,1,3,40,5,20,22
