county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","STROIE CLAUDIU MARIN-voturi","STROIE CLAUDIU MARIN-mandate-faza-1","STROIE CLAUDIU MARIN-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","VASILE MINUŞ-voturi","VASILE MINUŞ-mandate-faza-1","VASILE MINUŞ-mandate-faza-2","NEGREANU ION-voturi","NEGREANU ION-mandate-faza-1","NEGREANU ION-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-mandate-faza-2","ROŞU IULIAN-ALIN-voturi","ROŞU IULIAN-ALIN-mandate-faza-1","ROŞU IULIAN-ALIN-mandate-faza-2","ROTARU FLOREA-voturi","ROTARU FLOREA-mandate-faza-1","ROTARU FLOREA-mandate-faza-2","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-1","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","GEOROCEANU VERGIL-voturi","GEOROCEANU VERGIL-mandate-faza-1","GEOROCEANU VERGIL-mandate-faza-2","DOBRIŢA MARCEL-voturi","DOBRIŢA MARCEL-mandate-faza-1","DOBRIŢA MARCEL-mandate-faza-2","NICU ADRIAN-ALBERT-voturi","NICU ADRIAN-ALBERT-mandate-faza-1","NICU ADRIAN-ALBERT-mandate-faza-2","BĂDICA ILIE-voturi","BĂDICA ILIE-mandate-faza-1","BĂDICA ILIE-mandate-faza-2"
30,OLT,CĂLUI,130295,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:54:14",1168,1139,2,13,14,758,730,1,13,14,697,61,1414,656,34,48,55,77,186,2,0,511,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,CÂRLOGANI,126166,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:27:37",1794,1778,1,15,0,1102,1087,0,15,0,1070,32,2045,943,53,74,85,92,48,0,0,938,10,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,CEZIENI,126102,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:51:58",1383,1270,2,62,49,1102,990,1,62,49,1015,22,1454,417,50,71,81,112,461,4,0,554,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,CILIENI,126148,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:46:07",2540,2502,0,1,37,1429,1392,0,1,36,1384,45,2888,1459,69,96,110,123,182,1,1,896,7,0,276,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,COLONEŞTI,126228,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:19:38",1312,1169,0,105,38,912,769,0,105,38,902,10,1399,487,45,63,72,100,51,0,0,851,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,CORBU,126326,1,FINAL,UAT,CL,CL_CE,"2024-06-10 17:11:21",1742,1572,0,83,87,1308,1138,0,83,87,1268,40,1934,626,63,88,101,114,576,5,0,591,5,0,89,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,COTEANA,126380,1,FINAL,UAT,CL,CL_CE,"2024-06-10 20:36:15",1811,1696,0,57,58,1305,1196,0,57,52,1277,28,1855,550,63,89,102,109,208,1,1,1001,9,0,45,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,CRÂMPOIA,126406,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:43:07",2796,2722,0,17,57,1637,1568,0,17,52,1589,48,3143,1506,79,111,127,122,261,2,0,1063,8,1,265,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,CUNGREA,126503,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:02:06",1569,1430,3,114,22,1154,1016,2,114,22,1133,21,1735,581,56,79,90,103,186,1,1,755,7,0,108,1,0,0,0,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,CURTIŞOARA,126433,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:43:56",3851,3683,3,106,59,2469,2303,1,106,59,2397,72,3993,1524,119,167,191,184,234,1,0,2163,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,DĂNEASA,126585,2,FINAL,UAT,CL,CL_CE,"2024-06-12 16:36:59",2810,2660,4,64,82,1721,1575,0,64,82,1670,51,2929,1208,83,116,133,123,66,0,0,1177,9,1,121,0,1,0,0,0,0,0,0,0,0,0,306,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,DEVESELU,126647,1,FINAL,UAT,CL,CL_CE,"2024-06-12 16:00:05",2657,2411,1,108,137,1863,1618,0,108,137,1739,56,2806,1011,86,121,139,133,625,4,1,898,6,1,216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,DOBREŢU,126674,2,FINAL,UAT,CL,CL_CE,"2024-06-19 14:41:55",1057,911,0,109,37,808,662,0,109,37,789,19,1056,248,39,55,63,87,328,3,1,384,4,0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,DOBROSLOVENI,126718,1,FINAL,UAT,CL,CL_CE,"2024-06-10 06:29:39",2979,2929,2,24,24,1744,1694,2,24,24,1640,104,3255,1511,82,114,131,126,238,1,1,770,6,0,533,4,0,0,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,DOBROTEASA,126772,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:22:03",1337,1210,2,97,28,906,781,0,97,28,869,36,1344,416,43,60,69,96,71,0,1,647,6,1,151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,DOBRUN,126825,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:21:55",1189,1147,0,9,33,774,732,0,9,33,761,13,1259,485,38,53,60,84,58,0,1,646,7,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,DRĂGHICENI,125490,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:12:10",1532,1432,1,28,71,1158,1059,0,28,71,1126,31,1658,501,56,78,90,102,395,3,1,575,5,1,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,FĂGEŢELU,126905,2,FINAL,UAT,CL,CL_CE,"2024-06-14 18:03:31",860,618,0,215,27,678,436,0,215,27,632,46,867,189,31,44,50,70,96,1,0,346,4,1,62,0,1,0,0,0,73,1,0,0,0,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,FĂLCOIU,126978,2,FINAL,UAT,CL,CL_CE,"2024-06-13 14:43:04",3015,2867,0,27,121,1561,1434,0,8,119,1501,60,3281,1720,75,105,120,115,339,2,1,1162,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,FĂRCAŞELE,127019,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:03:25",3711,3657,3,10,41,2210,2160,0,10,40,2105,103,4061,1853,105,147,168,161,601,3,1,1108,6,1,113,0,1,158,0,1,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GĂNEASA,127064,1,FINAL,UAT,CL,CL_CE,"2024-06-10 19:30:59",3001,2850,1,87,63,2072,1921,1,87,63,1971,76,3183,1136,98,137,157,151,299,1,1,1507,9,1,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GÂRCOV,125588,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:45:34",1880,1795,0,13,72,1255,1170,0,13,72,1194,59,1984,731,59,83,95,94,217,2,0,569,6,0,48,0,0,0,0,0,0,0,0,57,0,0,257,2,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GĂVĂNEŞTI,130302,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:56:28",1532,1456,1,22,53,1012,937,0,22,53,990,22,1651,639,49,69,79,86,41,0,0,834,9,1,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GHIMPEŢENI,130311,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:59:13",1143,1064,2,34,43,855,778,0,34,43,819,36,1221,366,40,57,65,91,60,0,1,513,5,0,246,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GIUVĂRĂŞTI,127126,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:55:41",1761,1709,0,4,48,1021,969,0,4,48,971,50,1910,823,48,67,77,88,88,1,0,883,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GOSTAVĂŢU,127144,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:12:11",2332,2241,2,70,19,1602,1513,0,70,19,1466,71,2481,944,73,102,117,133,546,4,0,726,5,0,82,0,1,0,0,0,0,0,0,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GRĂDINARI,127171,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:53:42",2032,1876,0,118,38,1470,1314,0,118,38,1440,30,2083,613,72,100,115,130,480,3,1,362,2,1,595,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GRĂDINILE,130320,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:40:46",1224,1177,0,7,40,813,766,0,7,40,784,29,1286,473,39,54,62,87,67,0,1,717,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,GROJDIBODU,127224,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:42:40",2112,2027,1,13,71,1392,1309,0,13,70,1312,80,2313,921,65,91,104,119,153,1,1,945,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,"GURA PADINII",130339,1,FINAL,UAT,CL,CL_CE,"2024-06-13 13:08:09",1451,1360,0,10,81,939,848,0,10,81,898,41,1491,552,44,62,71,77,190,2,0,662,8,1,16,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,IANCA,127251,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:29:19",3042,2774,0,145,123,2085,1818,0,145,122,2003,82,3212,1127,100,140,160,146,825,5,1,1085,7,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,"IANCU JIANU",127288,1,FINAL,UAT,CL,CL_CE,"2024-06-11 21:55:55",3460,3415,0,22,23,1832,1787,0,22,23,1763,69,3787,1955,88,123,141,135,260,1,1,1198,8,1,0,0,0,0,0,0,196,1,0,0,0,0,109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,ICOANA,127322,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:45:23",1395,1294,1,63,37,1058,957,1,63,37,1022,35,1609,545,51,71,81,92,646,7,0,376,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,IPOTEŞTI,130348,1,FINAL,UAT,CL,CL_CE,"2024-06-10 06:26:59",1226,1210,0,16,0,819,803,0,16,0,757,62,1341,522,37,52,60,63,83,1,0,529,8,1,35,0,0,22,0,0,0,0,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,IZBICENI,127368,1,FINAL,UAT,CL,CL_CE,"2024-06-11 09:49:35",3677,3639,0,10,28,2563,2525,0,10,28,2478,85,4089,1526,123,173,198,183,434,2,1,980,5,0,95,0,0,0,0,0,0,0,0,0,0,0,969,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,IZVOARELE,127386,1,FINAL,UAT,CL,CL_CE,"2024-06-11 12:13:19",2729,2670,2,24,33,1706,1649,0,24,33,1644,62,2954,1248,82,115,131,124,482,3,1,721,5,1,295,2,0,26,0,0,0,0,0,0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,LELEASCA,127411,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:22:02",1109,974,0,120,15,796,661,0,120,15,763,33,1222,426,38,53,61,84,251,2,1,399,4,1,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,MĂRUNŢEI,127493,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:25:50",3325,3141,0,149,35,2247,2063,0,149,35,2090,78,3548,1380,104,146,167,160,633,3,1,1457,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OLT,MIHĂEŞTI,127536,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:45:13",1219,1074,0,73,72,846,701,0,73,72,828,18,1238,392,41,57,66,92,506,5,1,322,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
