precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IOVA ILIE-BEBE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUNCA ROMEO-DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","HURDUZEU FLORIN-SILVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","AXMANN DANIEL-PARTIDUL S.O.S. ROMÂNIA-voturi","PLUJAR ANDREI GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL BELOBREȘCA",295,POJEJENA,53513,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:01:29",513,465,4,8,36,289,241,4,8,36,273,16,513,224,34,29,192,11,7
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL BOGÂLTIN",222,CORNEREVA,52160,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:12:35",304,286,0,9,9,185,167,0,9,9,182,3,320,135,1,55,121,1,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL BORLOVA",346,"TURNU RUIENI",54412,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:06:14",1203,1175,2,24,2,823,797,0,24,2,800,23,1295,472,73,215,464,22,26
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL BUCOVA",165,BĂUŢAR,51332,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:04:46",754,722,0,15,17,504,472,0,15,17,490,14,793,289,26,341,91,26,6
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL CARAȘOVA",193,CARAŞOVA,51804,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:17:02",858,822,7,17,12,505,474,2,17,12,470,34,913,409,16,228,198,7,21
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL CIREȘA",155,"ORAŞ OŢELU ROŞU",51207,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 03:55:52",652,641,0,0,11,323,312,0,0,11,316,7,707,384,27,40,227,11,11
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL CUPTOARE",66,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:50:19",267,258,2,7,0,104,97,0,7,0,102,2,287,183,8,46,37,4,7
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL-DALBOSET",229,DALBOŞEŢ,52570,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 19:07:46",806,737,2,25,42,590,523,0,25,42,572,15,860,273,27,121,390,3,31
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL DOGNECEA",234,DOGNECEA,52696,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:26:35",931,893,0,14,24,519,481,0,14,24,517,2,998,479,6,5,505,1,0
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL EZERIȘ",240,EZERIŞ,52758,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:46:27",542,522,1,5,14,306,286,1,5,14,294,12,590,284,24,75,175,6,14
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL FENEȘ",158,ARMENIŞ,51243,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:29:34",470,449,0,10,11,323,302,0,10,11,315,8,495,172,21,193,92,6,3
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL FIZEȘ",175,BERZOVIA,51500,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:00:09",614,602,0,11,1,313,301,0,11,1,303,10,662,349,64,129,59,6,45
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL GÂRBOVĂȚ",162,BĂNIA,51305,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:04:28",500,448,0,37,15,349,297,0,37,15,342,7,493,144,11,177,139,7,8
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL IABLANIŢA",259,IABLANIŢA,53023,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:10:10",648,603,0,19,26,448,403,0,19,26,434,14,662,214,32,191,186,6,19
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL JUPA",91,"MUNICIPIUL CARANSEBEŞ",51010,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:13",535,526,2,7,0,310,303,0,7,0,297,13,583,273,49,92,117,13,26
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL LĂPUŞNICU MARE",265,"LĂPUŞNICU MARE",53103,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 03:17:49",1061,831,0,185,45,805,575,0,185,45,765,40,1112,307,92,294,345,18,16
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL MĂGURA",359,ZĂVOI,54617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:08:55",469,443,0,12,14,298,272,0,12,14,294,4,490,192,14,237,32,7,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL MAL",156,"ORAŞ OŢELU ROŞU",51207,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:10:35",299,287,2,9,1,203,193,0,9,1,202,1,318,115,9,24,162,4,3
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL MĂRU",360,ZĂVOI,54617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:54:52",887,876,3,7,1,547,539,0,7,1,532,15,966,419,52,276,179,19,6
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL MILCOVENI",168,BERLIŞTE,51387,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:35:14",215,194,0,14,7,138,117,0,14,7,135,3,213,75,16,31,79,2,7
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL MOCERIŞ",266,"LĂPUŞNICU MARE",53103,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:02",506,420,0,64,22,405,319,0,64,22,385,20,556,151,10,94,252,8,21
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL OHABA-MÂTNIC",215,COPĂCELE,52062,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:44:14",265,202,0,55,8,196,133,0,55,8,195,1,272,76,44,27,115,5,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL PADINA MATEI",252,GÂRNIC,52909,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:04:42",764,703,1,38,22,519,458,1,38,22,506,13,777,258,39,231,181,4,51
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL PETNIC",261,IABLANIŢA,53023,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 05:36:12",510,455,0,25,30,480,425,0,25,30,425,54,624,145,72,101,198,20,34
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL RĂCĂȘDIA",306,RĂCĂŞDIA,53675,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:21:48",1357,1292,6,40,19,782,719,4,40,19,750,32,1433,651,50,357,207,16,120
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL RĂCHITOVA",144,"ORAŞ ORAVIŢA",51118,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:55:54",290,279,0,11,0,152,141,0,11,0,149,3,308,156,26,38,73,8,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL-RAVENSCA",330,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:24:35",111,103,1,7,0,46,39,0,7,0,43,3,114,68,0,7,35,0,1
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL SADOVA NOUĂ",323,SLATINA-TIMIŞ,54056,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:05:54",185,174,0,3,8,118,107,0,3,8,113,5,190,72,9,11,87,2,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL SADOVA VECHE",324,SLATINA-TIMIŞ,54056,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:32:17",315,306,2,2,5,126,118,1,2,5,120,6,338,212,24,27,57,6,6
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL SCĂIUȘ",246,FÂRLIUG,52785,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:17",275,234,0,32,9,214,173,0,32,9,212,2,257,43,5,141,60,2,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL SF. ELENA",228,CORONINI,53489,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:53:03",498,478,3,17,0,290,273,0,17,0,254,36,527,237,16,76,155,3,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL SOCENI",241,EZERIŞ,52758,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:01",595,567,0,4,24,370,342,0,4,24,353,17,621,251,14,69,254,6,10
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ȘOPOTU NOU",329,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:21:11",287,255,0,16,16,212,180,0,16,16,210,2,277,65,7,114,67,17,5
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ȘOPOTU VECHI",230,DALBOŞEŢ,52570,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 13:26:14",539,487,0,11,41,352,300,0,11,41,339,13,526,174,22,54,229,28,6
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL SUB MARGINE",160,ARMENIŞ,51243,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:41:40",147,138,0,7,2,125,116,0,7,2,120,5,150,25,4,45,63,2,6
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ȘUȘCA",298,POJEJENA,53513,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:32:26",350,332,2,10,6,190,174,0,10,6,179,11,366,176,27,52,91,5,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL TEREGOVA",336,TEREGOVA,54270,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:20:27",1233,1120,2,38,73,857,745,1,38,73,846,11,1239,382,46,225,559,10,6
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL TOPLEŢ",343,TOPLEŢ,54387,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:26:18",1163,1127,1,30,5,697,662,0,30,5,665,32,1238,541,99,148,320,23,75
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL TURNU RUIENI",345,"TURNU RUIENI",54412,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:48:35",732,702,3,16,11,514,485,2,16,11,502,12,777,263,50,152,248,23,29
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL VALEA MARE",247,FÂRLIUG,52785,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:39:54",116,93,0,20,3,91,68,0,20,3,90,1,122,31,3,53,31,1,2
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL VALEAPAI",305,RAMNA,53639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:29:13",381,308,2,60,11,278,208,1,58,11,260,18,340,62,48,141,57,3,11
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL VĂRĂDIA",351,VĂRĂDIA,54500,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-13 11:23:35",725,619,1,83,22,498,393,0,83,22,468,24,696,204,39,229,187,9,4
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL VOISLOVA",362,ZĂVOI,54617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:35:36",444,437,0,2,5,260,253,0,2,5,253,7,481,221,23,127,86,6,11
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL VRANI",356,VRANI,54573,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:57:03",720,671,2,14,33,463,416,0,14,33,437,26,735,272,20,198,200,6,13
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL-ZAVOI",358,ZĂVOI,54617,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:40:50",1509,1483,5,8,13,803,781,1,8,13,777,26,1628,825,81,292,356,29,19
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ZERVEȘTI",348,"TURNU RUIENI",54412,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:57:44",464,448,1,11,4,296,281,0,11,4,287,9,494,198,51,66,151,10,9
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ZLAGNA",349,"TURNU RUIENI",54412,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:54:36",269,258,0,9,2,214,203,0,9,2,211,3,283,69,3,45,154,1,8
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ZORILE",217,COPĂCELE,52062,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:01:08",338,283,0,44,11,230,175,0,44,11,213,17,359,129,36,42,100,10,25
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL ZORLENCIOR",364,"ZORLENŢU MARE",54699,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:35:11",143,94,0,45,4,143,94,0,45,4,141,2,206,63,8,81,48,4,0
11,CARAŞ-SEVERIN,"CANTINA DE AJUTOR SOCIAL",149,"ORAŞ OŢELU ROŞU",51207,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:09:54",885,831,0,16,38,406,352,0,16,38,387,19,906,499,37,88,202,18,42
11,CARAŞ-SEVERIN,"CASA CULTURALĂ BĂUŢARUL DE SUS",164,BĂUŢAR,51332,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:58:01",685,643,0,12,30,456,414,0,12,30,450,6,707,251,20,264,145,14,7
11,CARAŞ-SEVERIN,"CASA CULTURALĂ ”DUMBRĂVIȚA” MARGA",273,MARGA,53210,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:47",918,882,3,9,24,574,541,0,9,24,558,16,970,396,31,102,384,26,15
11,CARAŞ-SEVERIN,"CASA CULTURALĂ PETR. GLASER",251,GÂRNIC,52909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:01:38",416,383,14,15,4,164,137,9,14,4,148,16,428,264,2,95,34,3,14
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",121,"ORAŞ MOLDOVA NOUĂ",51056,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 04:17:09",875,860,0,4,11,478,463,0,4,11,441,25,949,483,23,131,250,12,25
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",202,CIUCHICI,51984,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:25:10",422,389,0,23,10,270,237,0,23,10,257,13,367,97,14,65,163,8,7
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",145,"ORAŞ OŢELU ROŞU",51207,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:25:59",887,875,0,9,3,341,329,0,9,3,321,20,967,626,41,64,153,19,44
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",146,"ORAŞ OŢELU ROŞU",51207,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:16:04",704,699,0,5,0,291,286,0,5,0,281,10,773,482,31,41,177,14,18
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",203,CIUCHICI,51984,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:44:30",87,56,0,26,5,87,56,0,26,5,81,6,103,16,1,23,54,0,3
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CĂSĂTORII",16,"MUNICIPIUL REŞIŢA",50790,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 00:01:43",1255,1242,6,7,0,492,485,0,7,0,484,8,1448,953,21,285,132,8,38
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CĂSĂTORII",15,"MUNICIPIUL REŞIŢA",50790,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:11:37",1108,1102,0,6,0,482,476,0,6,0,466,13,1220,733,18,274,117,14,43
11,CARAŞ-SEVERIN,"CASA MUNICIPALĂ DE CULTURĂ ”GEORGE SURU”",76,"MUNICIPIUL CARANSEBEŞ",51010,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:35:32",1170,1152,7,10,1,564,553,0,10,1,542,20,1278,716,63,170,250,14,45
11,CARAŞ-SEVERIN,"CASA PAROHIALĂ",341,"TICVANIU MARE",54305,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:34:34",322,289,0,24,9,202,169,0,24,9,171,31,321,119,10,20,89,14,38
11,CARAŞ-SEVERIN,"CASA PARTICULARĂ NR.5",331,"ŞOPOTU NOU",54163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:40:35",99,90,0,7,2,79,70,0,7,2,78,1,98,19,2,58,16,1,1
11,CARAŞ-SEVERIN,"CENTRU DE INFORMARE TURISTICĂ",170,BERZASCA,51449,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:26",1167,1101,1,45,20,633,568,0,45,20,607,26,1209,576,82,106,372,22,25
11,CARAŞ-SEVERIN,"CENTRU DE ZI PENTRU PERSOANE VÂRSTNICE SLATINA-TIMIȘ",321,SLATINA-TIMIŞ,54056,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:09:42",1447,1368,5,10,64,857,783,0,10,64,842,15,1514,657,140,105,566,11,20
11,CARAŞ-SEVERIN,"CENTRUL AGRICOL DEZEŞTI",243,FÂRLIUG,52785,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:25:36",204,145,0,47,12,167,108,0,47,12,164,3,220,53,2,63,93,0,6
11,CARAŞ-SEVERIN,"CENTRUL CULTURAL PENTRU TINERET",120,"ORAŞ MOLDOVA NOUĂ",51056,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 04:10:33",1253,1233,0,8,12,659,639,0,8,12,639,20,1369,708,35,251,290,17,46
11,CARAŞ-SEVERIN,"CENTRUL CULTURAL SÂRBESC ”SFÂNTUL SAVA” BAZIAȘ",326,SOCOL,54109,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:09:12",61,42,1,18,0,47,29,0,18,0,46,1,57,10,2,7,36,0,1
11,CARAŞ-SEVERIN,"CENTRUL DE AFACERI ANINA",93,"ORAŞ ANINA",50889,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:27:12",814,793,1,11,9,364,343,1,11,9,340,24,878,514,29,183,99,17,12
11,CARAŞ-SEVERIN,"CENTRUL DE AFACERI - BIROUL TAXE ȘI IMPOZITE",123,"ORAŞ MOLDOVA NOUĂ",51056,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 04:32:16",1109,1089,1,14,5,489,470,0,14,5,462,27,1221,732,32,136,260,17,17
11,CARAŞ-SEVERIN,"CENTRUL DE ZI ANINA",97,"ORAŞ ANINA",50889,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:49:01",634,618,0,11,5,291,275,0,11,5,262,29,680,389,23,138,85,5,11
11,CARAŞ-SEVERIN,"CENTRUL LOCAL DE INFORMARE ȘI PROMOVARE TURISTICĂ GORUIA",254,GORUIA,52954,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:54:51",364,310,0,43,11,299,245,0,43,11,291,8,373,74,40,98,106,20,27
11,CARAŞ-SEVERIN,"CENTRUL LOCAL DE INFORMARE TURISTICĂ",221,CORNEREVA,52160,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:54:15",387,354,0,13,20,252,219,0,13,20,243,9,421,169,4,86,145,4,4
11,CARAŞ-SEVERIN,"CENTRUL LOCAL DE INFORMARE TURISTICĂ",289,PĂLTINIŞ,53425,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:52:09",704,588,1,96,19,524,409,0,96,19,511,13,738,214,22,310,155,13,11
