precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HOPINCĂ RAREŞ-ALIANȚA ELECTORALĂ PSD PNL-voturi","MIHAIU RADU-NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BUGHIU IOLANDA-LUMINIŢA-PARTIDUL S.O.S. ROMÂNIA-voturi","GOLGOŢIU ANDREI-GABRIEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",306,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:53:22",1512,1484,20,8,0,634,626,0,8,0,622,12,1600,966,261,285,42,34
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",305,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:47:23",1291,1253,19,19,0,537,518,0,19,0,525,12,1400,861,204,245,46,30
45,"Sector 2","COLEGIUL NAŢIONAL ”MIHAI VITEAZUL”",360,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:51:56",1421,1385,25,10,1,619,608,0,10,1,592,27,1600,981,223,284,53,32
45,"Sector 2","COLEGIUL NAŢIONAL ”MIHAI VITEAZUL”",359,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 20:15:41",1593,1557,21,15,0,718,702,1,15,0,697,21,1600,882,225,362,51,59
45,"Sector 2","COLEGIUL NAŢIONAL ”SPIRU HARET”",331,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:06:31",1138,1098,35,3,2,465,460,0,3,2,449,16,1200,735,143,221,30,55
45,"Sector 2","COLEGIUL NAŢIONAL ”SPIRU HARET”",332,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:04:28",1124,1100,19,5,0,503,497,1,5,0,484,13,1200,703,202,219,32,31
45,"Sector 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",232,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:55:05",1681,1655,18,3,5,652,644,0,3,5,647,5,879,227,320,227,61,39
45,"Sector 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",231,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:17:16",1761,1720,30,4,7,688,677,0,4,7,670,18,2000,1312,324,268,50,28
45,"Sector 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",234,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-11 23:56:11",2150,2114,25,11,0,743,732,0,11,0,729,10,2400,1651,328,294,75,32
45,"Sector 2","COLEGIUL NAŢIONAL ”VICTOR BABEŞ”",233,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-11 23:27:34",1997,1977,9,11,0,863,851,1,11,0,843,20,2100,1237,341,390,82,30
45,"Sector 2","COLEGUL TEHNIC ”DIMITRIE LEONIDA”",280,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:28:56",1279,1275,2,2,0,621,619,0,2,0,604,17,1400,779,297,236,37,34
45,"Sector 2","COLEGUL TEHNIC ”DIMITRIE LEONIDA”",279,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:15:00",1018,1004,8,5,1,465,464,0,0,1,449,15,1200,735,183,197,32,37
45,"Sector 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",316,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:41:46",1177,1167,0,9,1,579,569,0,9,1,568,11,1294,715,214,283,25,46
45,"Sector 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",313,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:46:53",1316,1301,9,6,0,597,591,0,6,0,562,32,1400,805,204,290,36,32
45,"Sector 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",315,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:07:43",1236,1213,18,5,0,561,556,0,5,0,553,8,1401,840,234,246,40,33
45,"Sector 2","GRĂDINIȚA CLOPOȚEL (FOSTA GRADINIŢA NR. 201)",314,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:06:14",1481,1456,15,10,0,742,732,0,10,0,703,39,1601,859,290,322,44,47
45,"Sector 2","GRĂDINIŢA LUMINIȚA (FOSTA GRADINITA NR. 16)",321,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:50:55",1156,1135,12,8,1,585,576,0,8,1,567,18,1200,615,239,254,34,40
45,"Sector 2","GRĂDINIŢA LUMINIȚA (FOSTA GRADINITA NR. 16)",320,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:41:44",1173,1151,9,13,0,527,514,0,13,0,513,14,1300,773,219,234,26,34
45,"Sector 2","GRADINIŢA NR. 189",278,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:15:36",947,943,1,3,0,416,413,0,3,0,393,23,1200,784,162,179,37,15
45,"Sector 2","GRADINIŢA NR. 189",277,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:10:35",960,949,2,9,0,421,412,0,9,0,410,11,1200,779,177,167,38,28
45,"Sector 2","GRĂDINIŢA NR. 233",208,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:49:42",1358,1317,32,9,0,574,565,0,9,0,562,12,1600,1026,242,259,38,23
45,"Sector 2","GRĂDINIŢA NR. 233",209,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 20:42:40",1219,1203,15,0,1,571,570,0,0,1,554,14,1300,732,224,266,25,39
45,"Sector 2","GRĂDINIŢA NR. 256",322,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:26:02",1469,1437,25,7,0,742,735,0,7,0,710,32,1600,858,280,334,41,55
45,"Sector 2","GRADINIŢA NR. 280",259,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:36:13",1256,1248,0,8,0,513,505,0,8,0,493,20,1400,887,221,213,27,32
45,"Sector 2","GRADINIŢA NR. 280",260,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:39:51",2082,2071,0,11,0,885,874,0,11,0,859,26,2200,1315,342,397,52,68
45,"Sector 2","LICEUL TEHNOLOGIC CONSTANTIN BRÂNCUŞI",195,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 18:33:20",2359,2065,263,31,0,922,891,0,31,0,765,14,2200,1421,133,542,40,50
45,"Sector 2","LICEUL TEHNOLOGIC ELECTRONICA INDUSTRIALĂ",301,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:00:59",1473,1452,10,11,0,646,634,1,11,0,626,20,1600,954,288,261,38,39
45,"Sector 2","LICEUL TEHNOLOGIC ELECTRONICA INDUSTRIALĂ",302,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:56:06",1458,1421,28,9,0,609,599,1,9,0,597,12,1600,991,269,245,44,39
45,"Sector 2","LICEUL TEHNOLOGIC ELECTRONICA INDUSTRIALĂ",303,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-11 22:00:04",1216,1169,33,13,1,554,540,0,13,1,535,19,1300,746,285,204,25,21
45,"Sector 2","LICEUL TEHNOLOGIC ”I.C. BRĂTIANU” (FOST LICEUL TEHNOLOGIC MECANICĂ FINĂ)",309,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:30:13",1040,1022,0,18,0,457,439,0,18,0,440,17,1200,743,169,209,40,22
45,"Sector 2","LICEUL TEHNOLOGIC ”I.C. BRĂTIANU” (FOST LICEUL TEHNOLOGIC MECANICĂ FINĂ)",308,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:17:32",1139,1082,48,9,0,490,481,0,9,0,479,11,1200,710,205,225,27,22
45,"Sector 2","LICEUL TEHNOLOGIC ”I.C. BRĂTIANU” (FOST LICEUL TEHNOLOGIC MECANICĂ FINĂ)",307,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 19:13:07",1387,1362,9,16,0,681,665,0,16,0,657,24,1600,919,223,359,31,44
45,"Sector 2","LICEUL TEHNOLOGIC ”I.C. BRĂTIANU” (FOST LICEUL TEHNOLOGIC MECANICĂ FINĂ)",310,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 21:00:16",1583,1574,0,9,0,712,703,0,9,0,685,27,1700,988,316,304,26,39
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",253,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 20:41:26",1239,1220,16,3,0,578,575,0,3,0,566,12,1291,713,236,262,29,39
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",254,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:55:09",1232,1227,2,3,0,559,556,0,3,0,539,20,1400,841,232,234,34,39
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",255,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:36:12",1499,1484,8,6,1,631,624,0,6,1,612,19,1598,967,231,270,54,57
45,"Sector 2","LICEUL TEHNOLOGIC ”SF. PANTELIMON”",252,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:11:01",1782,1768,5,8,1,822,813,0,8,1,800,21,2000,1171,338,343,60,59
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",173,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:13:41",973,946,13,14,0,445,430,1,14,0,430,15,1200,755,170,202,32,26
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",174,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-11 20:07:17",1855,1792,55,7,1,802,795,0,7,0,798,4,2000,1198,281,421,47,49
45,"Sector 2","LICEUL TEORETIC ”C.A. ROSETTI ”",175,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:30:08",1500,1474,22,4,0,666,662,0,4,0,643,23,1600,934,252,318,37,36
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",267,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:00:05",1554,1539,9,6,0,596,590,0,6,0,570,26,1698,1102,260,205,81,24
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",270,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:37:28",1743,1737,0,6,0,571,565,0,6,0,550,21,2000,1429,294,170,58,28
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",269,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-11 14:40:06",1684,1672,5,6,1,727,720,0,6,1,692,24,1800,1079,323,234,96,39
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",268,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:02:32",1586,1579,1,6,0,443,437,0,6,0,428,15,1700,1255,231,89,75,33
45,"Sector 2","LICEUL TEORETIC ”LUCIAN BLAGA”",271,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:24:54",1686,1672,5,8,1,626,617,0,8,1,596,30,1800,1174,276,220,63,37
45,"Sector 2","LICEUL TEORETIC ”TRAIAN”",176,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 14:16:42",1826,1793,20,12,1,869,854,2,12,1,824,30,2798,1942,320,416,37,51
45,"Sector 2","LICEUL TEORETIC ”TRAIAN”",178,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:36:02",1792,1769,11,12,0,775,763,0,12,0,746,29,2000,1225,294,342,73,37
45,"Sector 2","LICEUL TEORETIC ”TRAIAN”",177,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:06:11",1769,1746,13,10,0,816,806,0,10,0,801,15,2000,1184,294,389,62,56
45,"Sector 2","LICEUL TEORETIC ”TRAIAN”",179,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:07:23",1837,1790,30,16,1,887,870,0,16,1,845,20,2000,1135,337,418,49,41
45,"Sector 2","LICEUL TEORETIC ”WALDORF” - GRADINIȚA NR. 113",368,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:55:58",1853,1822,28,3,0,752,749,0,3,0,729,23,2174,1422,262,365,49,53
45,"Sector 2","LICEUL TEORETIC ”WALDORF” - GRADINIȚA NR. 113",367,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:02:50",1279,1259,12,8,0,542,534,0,8,0,522,20,1600,1058,205,253,31,33
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",299,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 21:41:46",1829,1797,26,6,0,684,678,0,6,0,668,16,1999,1303,315,258,63,32
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",300,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:47:21",1332,1329,0,3,0,426,423,0,3,0,416,10,1596,1170,213,148,28,27
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",298,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:16:25",1117,1111,1,5,0,480,475,0,5,0,465,15,1292,812,213,198,28,26
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",297,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:15:18",1287,1263,17,7,0,571,564,0,7,0,554,17,1400,829,246,232,46,30
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”FERDINAND I” (FOSTA ȘCOALĂ NR. 64)",296,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:51:30",1427,1403,15,9,0,605,595,1,9,0,593,12,1600,995,276,226,55,36
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",206,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:32:00",1368,1339,20,8,1,544,534,1,8,1,517,27,1600,1056,252,190,47,28
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",201,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:29:55",1681,1653,17,11,0,774,763,0,11,0,763,11,1800,1026,358,322,36,47
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",203,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-13 05:06:21",1812,1801,0,11,0,755,744,0,11,0,733,22,2000,1245,348,300,58,27
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",207,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:48:45",1558,1543,11,4,0,535,531,0,4,0,507,28,1700,1165,263,160,46,38
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",204,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:06:33",1706,1680,16,10,0,688,678,0,10,0,671,17,2000,1312,356,223,54,38
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",205,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:18:59",1599,1551,38,10,0,690,680,0,10,0,674,16,1700,1010,310,284,39,41
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”GRIGORE GHICA VOIEVOD”",202,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:25:43",1482,1448,19,15,0,659,644,0,15,0,636,14,1600,950,297,284,34,21
45,"Sector 2","ȘCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ŞCOALA NR. 26)",341,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:09:10",1117,1105,9,3,0,442,439,0,3,0,432,9,1204,763,191,199,29,13
45,"Sector 2","ȘCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ŞCOALA NR. 26)",342,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:20:19",1252,1241,0,11,0,584,573,0,11,0,569,15,1400,816,247,270,23,29
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",357,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:06:28",1443,1426,8,9,0,694,685,0,9,0,673,21,1600,906,267,329,33,44
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",356,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:05:31",1398,1356,29,13,0,664,651,0,13,0,647,17,1600,936,273,307,30,37
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MAICA DOMNULUI” (FOSTA ȘCOALĂ NR. 50)",358,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:02:45",1691,1649,32,10,0,738,727,1,10,0,712,26,1800,1062,323,284,65,40
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",172,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:49:58",909,886,15,6,2,402,393,1,6,2,392,10,1000,598,137,215,15,25
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",171,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:45:27",892,862,13,17,0,424,407,0,17,0,412,12,1004,580,147,220,19,26
45,"Sector 2","ŞCOALA GIMNAZIALĂ ”MARIA ROSETTI”",170,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:44:51",1733,1681,47,5,0,832,826,1,5,0,823,9,1800,968,318,440,24,41
45,"Sector 2","ŞCOALA GIMNAZIALĂ NR. 145",239,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:48:40",1624,1619,0,5,0,627,622,0,5,0,617,10,1700,1073,292,211,78,36
45,"Sector 2","ŞCOALA GIMNAZIALĂ NR. 145",244,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:24:56",1474,1471,0,3,0,430,427,0,3,0,413,17,1600,1170,221,93,84,15
45,"Sector 2","ŞCOALA GIMNAZIALĂ NR. 145",240,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:59:31",1693,1684,2,7,0,487,480,0,7,0,468,19,2000,1513,254,114,77,23
45,"Sector 2","ŞCOALA GIMNAZIALĂ NR. 145",238,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:00:38",1540,1535,0,5,0,668,663,0,5,0,648,20,1704,1036,274,275,59,40
45,"Sector 2","ŞCOALA GIMNAZIALĂ NR. 145",243,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:15:47",1677,1667,2,8,0,639,629,2,8,0,632,7,1800,1161,289,226,78,39
