precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TELEHUZ DRAGOŞ-COSTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","OANCEA SILVIU-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PAVEL MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","COSTEA ADRIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PEIU GRIGORE-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","GAE IONEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DUBĂLARU EUGEN-IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CARAGAŢĂ FLORIN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL IAZU",206,SCÂNTEIA,94429,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:36:00",793,787,0,6,0,390,384,0,6,0,375,15,868,478,34,38,195,1,6,49,49,3
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL OREZU",124,CIOCHINA,93101,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:41",600,587,0,11,2,408,395,0,11,2,361,28,652,263,182,30,117,0,13,13,6,0
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL PROGRESU",145,FĂCĂENI,93575,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:30:05",501,491,0,8,2,230,220,0,8,2,223,7,567,337,9,93,87,1,10,2,19,2
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL SMIRNA",158,GRIVIŢA,93735,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:49:48",752,717,0,9,26,490,455,0,9,26,436,19,775,314,154,29,214,3,13,3,16,4
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TRAIAN",214,TRAIAN,179702,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:15",1214,1151,0,10,53,835,775,0,10,50,796,39,1300,465,388,23,367,0,10,1,5,2
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT",59,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:25",639,631,0,8,0,327,319,0,8,0,318,9,750,423,66,31,133,2,28,4,50,4
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA”",47,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:13:54",1020,1011,0,8,1,413,404,0,8,1,394,19,1100,687,35,41,261,4,16,14,19,4
23,IALOMIŢA,"GRÃDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",28,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:46:17",1280,1270,0,10,0,633,623,0,10,0,623,10,1445,812,164,33,282,11,22,21,53,37
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ PITICOT”",17,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:57:15",1448,1439,1,8,0,694,686,0,8,0,678,16,1600,906,202,36,306,8,10,26,74,16
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL ”",71,"ORAŞ AMARA",92836,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:17",1042,1041,0,0,1,524,523,0,0,1,500,24,1150,626,105,106,199,7,14,8,51,10
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL”",70,"ORAŞ AMARA",92836,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:17:47",1293,1285,2,5,1,680,674,0,5,1,646,23,1400,729,174,159,230,13,21,6,32,11
23,IALOMIŢA,"GRĂDINIŢA DE COPII",61,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:41:01",944,931,3,8,2,470,460,0,8,2,446,24,1000,530,126,36,146,5,39,12,78,4
23,IALOMIŢA,"GRĂDINIŢA DRIDU – MOARĂ",139,DRIDU,102703,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:54:27",813,802,0,11,0,503,492,0,11,0,483,20,800,297,23,54,364,3,18,0,19,2
23,IALOMIŢA,"GRĂDINIŢA DRIDU – MOVILA",140,DRIDU,102703,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:47:58",517,504,0,13,0,272,259,0,13,0,259,13,600,328,14,25,200,2,7,0,9,2
23,IALOMIŢA,"GRĂDINIŢA DRIDU –SNAGOV",141,DRIDU,102703,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:54:37",308,298,0,10,0,216,206,0,10,0,205,10,396,181,5,11,177,1,9,1,1,0
23,IALOMIŢA,"GRADINITA ION ROATA (LOCALUL VECHI COLINELE)",162,"ION ROATĂ",103862,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:12",755,743,2,8,2,442,432,0,8,2,409,33,820,378,77,74,139,9,34,14,54,8
23,IALOMIŢA,"GRADINIŢA PĂTRIME",136,COŞERENI,102240,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:14:17",1013,1002,0,6,5,727,716,0,6,5,699,28,1118,391,172,36,282,4,46,122,36,1
23,IALOMIŢA,"GRĂDINIŢA SĂVENI",202,SĂVENI,94376,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:45:03",1181,1176,0,1,4,546,541,0,1,4,534,12,1300,754,9,49,406,3,21,12,31,3
23,IALOMIŢA,"GRĂDINIȚA SCÂNTEIA",204,SCÂNTEIA,94429,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:26:03",1138,1121,0,7,10,628,611,0,7,10,611,17,1240,612,19,86,478,1,13,7,5,2
23,IALOMIŢA,"GRĂDINIŢA ȘCOLII GIMNAZIALE ”DIMITRIE CANTEMIR”",51,"MUNICIPIUL FETEŞTI",92701,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:21",1106,1102,0,3,1,547,543,0,3,1,533,14,1250,703,46,52,358,7,19,14,34,3
23,IALOMIŢA,"GRUPUL ŞCOLAR ’’SF. ECATERINA’’",63,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:39:50",1229,1221,0,7,1,620,612,0,7,1,603,17,1400,780,158,40,243,7,62,9,78,6
23,IALOMIŢA,"INTERNATUL COLEGIULUI NATIONAL GRIGORE MOISIL",68,"MUNICIPIUL URZICENI",100683,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:21:05",1054,1052,0,2,0,502,500,0,2,0,485,17,1150,648,124,37,189,10,45,9,64,7
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",27,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:07:12",1372,1362,2,6,2,652,644,0,6,2,643,9,1386,734,214,46,267,8,8,24,53,23
23,IALOMIŢA,"LICEUL DE ARTE ”IONEL PERLEA”",26,"MUNICIPIUL SLOBOZIA",92658,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:30",1130,1121,0,8,1,466,457,0,8,1,455,11,1250,784,126,36,204,37,16,16,8,12
