precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GALIŞ FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIONCA-ARGHIR IUSTIN-MARINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","FIFOR MIHAI-VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","PERO TAMAS-CAROL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DOROŢIU FLORIN-DORIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ANGHEL RAZVAN-PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","KISS DAN-MIHAI-PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",37,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:24:10",1153,1144,2,5,2,494,487,0,5,2,471,23,1340,846,84,117,124,18,11,90,27
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",35,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:03:35",1187,1172,10,5,0,498,493,0,5,0,487,11,1310,812,86,134,89,39,6,111,22
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",40,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:11:46",1206,1183,4,9,10,580,561,0,9,10,563,17,1370,790,79,163,121,35,14,122,29
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",36,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:51:04",1489,1478,2,9,0,613,604,0,9,0,585,28,1610,997,70,183,145,43,14,104,26
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",38,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:32:43",1649,1626,15,7,1,722,714,0,7,1,695,27,1700,978,89,186,166,60,23,129,42
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",39,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:53:42",811,798,5,8,0,302,293,1,8,0,293,9,910,608,39,80,64,34,8,49,19
2,ARAD,"ŞCOALA GIMNAZIALĂ „ARON COTRUŞ”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 13)",41,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:30:05",1380,1374,0,6,0,593,587,0,6,0,583,10,1580,987,79,181,141,44,10,111,17
2,ARAD,"ȘCOALA GIMNAZIALĂ „AUREL SEBEȘAN” FELNAC",264,FELNAC,10827,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:01:35",1020,986,3,4,27,557,525,1,4,27,526,31,1120,563,54,66,355,2,4,22,23
2,ARAD,"ȘCOALA GIMNAZIALĂ „AUREL SEBEȘAN” FELNAC - SALA DE SPORT",265,FELNAC,10827,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:41:12",1291,1262,1,2,26,728,700,0,2,26,693,35,1410,682,51,57,551,4,4,9,17
2,ARAD,"ŞCOALA GIMNAZIALĂ „AUREL VLAICU”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 21)",47,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:41:31",1138,1125,1,11,1,468,455,1,11,1,457,11,1270,802,63,107,112,49,8,96,22
2,ARAD,"ŞCOALA GIMNAZIALĂ „AUREL VLAICU”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 21)",45,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:03:17",1225,1214,1,10,0,515,505,0,10,0,505,10,1350,835,62,128,130,64,18,80,23
2,ARAD,"ŞCOALA GIMNAZIALĂ „AUREL VLAICU”ARAD (FOSTA ŞCOALĂ GENERALĂ NR. 21)",46,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 18:22:31",959,948,0,10,1,424,413,0,10,1,412,12,1083,659,50,84,118,36,5,105,14
2,ARAD,"ȘCOALA GIMNAZIALĂ „AUREL VLAICU” ARAD (ȘCOALA GIMNAZIALĂ „FRAȚII NEUMAN” ARAD - FOSTA ŞCOALĂ GENERALĂ NR. 10)",57,"MUNICIPIUL ARAD",9262,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:18:52",1407,1401,0,6,0,560,554,0,6,0,550,10,1560,1000,76,132,106,106,15,75,40
2,ARAD,"ȘCOALA GIMNAZIALĂ „AUREL VLAICU” ARAD (ȘCOALA GIMNAZIALĂ „FRAȚII NEUMAN” ARAD - FOSTA ȘCOALĂ GENERALĂ NR. 10)",56,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:31:34",1068,1053,3,12,0,447,435,0,12,0,430,17,1170,723,58,123,76,68,7,80,18
2,ARAD,"ȘCOALA GIMNAZIALĂ ”AUREL VLAICU” ARAD (ȘCOALA GIMNAZIALĂ „FRAȚII NEUMANN” ARAD - FOSTA ȘCOALA GENERALĂ NR. 10)",53,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:14:06",1434,1417,6,11,0,432,421,0,11,0,416,16,1600,1168,53,100,92,46,17,82,26
2,ARAD,"ŞCOALA GIMNAZIALĂ „AVRAM IANCU” (FOSTA ŞCOALĂ GENERALĂ NR. 18)",69,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:00:57",1128,1111,2,15,0,424,409,0,15,0,411,13,1260,836,54,93,126,43,13,68,14
