precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIRICA MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","BALANIŞCU BOGDAN-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIUHODARU TUDOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PINTILEI MIHAIL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BODEA MARIUS-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BLĂJUŢ VIOREL-IONEL-PARTIDUL SOCIETĂȚII IEȘENE-voturi","CHICHIRĂU COSETTE-PAULA-PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi","ABALAŞEI CĂTĂLIN-PETRONEL-PARTIDUL PRO ROMÂNIA-voturi","BUDUROI IOAN-SEBASTIAN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALECU RUSSO”",211,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:27",1147,1143,0,4,0,518,514,0,4,0,509,9,1300,782,185,72,55,4,103,12,70,4,4
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALECU RUSSO”",212,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:10",1271,1261,4,6,0,462,456,0,6,0,455,7,1400,938,137,52,45,5,109,11,84,3,9
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CEL BUN”",87,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:12:00",1211,1202,1,8,0,537,529,0,8,0,532,5,1300,763,199,83,37,7,119,14,63,8,2
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CEL BUN”",85,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:27",999,995,0,4,0,373,373,0,0,0,357,13,1100,720,121,51,35,2,79,8,50,4,7
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CEL BUN”",88,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:39",1144,1135,3,6,0,390,384,0,6,0,384,6,1300,910,138,48,43,1,102,10,31,5,6
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CEL BUN”",86,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:24:24",1175,1171,1,3,0,517,514,0,3,0,506,11,1300,783,190,98,33,1,106,12,63,3,0
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”BOGDAN PETRICEICU HAŞDEU”",130,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:00:05",1209,1198,3,8,0,446,438,0,8,0,436,10,1300,853,152,54,67,2,98,15,34,4,10
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”BOGDAN PETRICEICU HAŞDEU”",131,"MUNICIPIUL IAŞI",95060,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:27:27",1488,1446,20,10,12,595,573,0,10,12,584,11,1600,1005,164,51,47,3,173,9,128,5,4
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”BOGDAN PETRICEICU HAŞDEU”",128,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:51",1315,1308,0,6,1,533,526,0,6,1,516,14,1400,853,163,75,48,7,144,12,58,6,3
24,IAŞI,"ŞCOALA GIMNAZIALĂ ”BOGDAN PETRICEICU HAŞDEU”",129,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:18:15",1045,1039,2,4,0,170,166,0,4,0,164,6,1200,1030,50,23,7,0,38,6,36,3,1
