precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUICĂ CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CÎRCIUMARU GHEORGHE-VALERICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHĂILĂ FLORIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FIERĂSCU CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
36,TELEORMAN,"LICEUL TEHNOLOGIC ”EMIL RACOVIŢĂ”",50,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:07:50",1262,1235,2,7,18,492,467,0,7,18,477,15,1360,868,45,224,43,165
36,TELEORMAN,"LICEUL TEHNOLOGIC ”VIRGIL MADGEARU”",54,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:24:25",1096,1085,2,7,2,432,424,0,6,2,415,17,1200,768,23,199,35,158
36,TELEORMAN,"MUZEUL DE ISTORIE",43,"MUNICIPIUL ROŞIORI DE VEDE",151870,3,PART,PRCNCT,P,P_SV,"2024-06-10 11:20:44",989,980,0,7,2,415,406,0,7,2,408,7,1090,675,31,195,37,145
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",47,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:13:23",1021,1009,0,7,5,449,437,0,7,5,425,24,1120,671,43,157,28,197
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",46,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 17:51:23",1274,1267,0,3,4,393,386,0,3,4,376,17,1420,1027,26,186,41,123
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DEPĂRĂŢEANU”",45,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:21:52",1215,1196,0,2,17,495,476,0,2,17,459,36,1360,865,30,269,27,133
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ ”DAN BERINDEI”",37,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:53",1123,1100,1,6,16,474,452,0,6,16,447,22,1220,751,22,244,23,158
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",41,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:51:34",1030,1025,0,2,3,375,370,0,2,3,365,10,1130,755,169,131,26,39
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”GALA GALACTION”",42,"MUNICIPIUL ROŞIORI DE VEDE",151870,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:41:18",1092,1082,0,3,7,327,317,0,3,7,302,25,1200,873,20,170,24,88
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ZAHARIA STANCU”",36,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:39",1055,1051,2,2,0,410,408,0,2,0,403,7,1165,755,24,196,36,147
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ ”ZAHARIA STANCU”",35,"MUNICIPIUL ROŞIORI DE VEDE",151870,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:23:28",1126,1124,0,1,1,484,482,0,1,1,470,14,1246,762,29,225,32,184
