precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FIREA GABRIELA-PARTIDUL SOCIAL DEMOCRAT-voturi","BURDUJA SEBASTIAN-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","ENACHE MIHAI-ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IACOB DORIN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","IOVANOVICI-ŞOŞOACĂ DIANA-PARTIDUL S.O.S. ROMÂNIA-voturi","POPESCU CRISTIAN-VICTOR PIEDONE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PÂNIŞOARĂ ALEXANDRU-PARTIDUL ECOLOGIST ROMÂN-voturi","DAN NICUŞOR-DANIEL-voturi","FILIP CONSTANTIN-TITIAN-voturi"
44,"Sector 1","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",61,"BUCUREŞTI SECTORUL 1",179141,4,PROV,PRCNCT,PCJ,PG_SV,"2024-06-14 14:56:57",1098,1073,9,16,0,564,548,0,16,0,557,5,1300,736,124,55,15,2,5,23,2,329,2
44,"Sector 1","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",60,"BUCUREŞTI SECTORUL 1",179141,9,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 23:05:43",909,856,36,13,4,402,383,2,13,4,395,7,979,577,96,54,7,4,6,13,0,212,3
47,"Sector 4","COLEGIUL NAŢIONAL ION CREANGĂ",675,"BUCUREŞTI SECTORUL 4",179178,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-12 02:03:41",1377,1346,20,11,0,624,613,0,11,0,617,6,1600,976,95,58,19,1,22,63,3,353,3
47,"Sector 4","COLEGIUL NAŢIONAL ION CREANGĂ",676,"BUCUREŞTI SECTORUL 4",179178,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 05:44:38",958,948,9,1,0,381,380,0,1,0,380,1,1103,722,79,34,13,0,6,39,1,206,2
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",116,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 12:06:19",1409,1378,18,13,0,704,691,0,13,0,696,8,1540,836,166,74,7,5,8,31,4,397,4
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",118,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 17:37:12",1722,1661,38,23,0,854,829,2,23,0,839,12,1895,1041,174,93,22,12,13,68,3,454,0
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",117,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 11:49:48",1377,1342,22,13,0,632,619,0,13,0,623,9,1510,878,126,62,27,7,10,56,3,331,1
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",119,"BUCUREŞTI SECTORUL 1",179141,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-11 21:58:55",1467,1446,15,3,3,724,718,0,3,3,704,8,1600,888,127,86,23,0,0,44,0,421,3
44,"Sector 1","COLEGIUL NAŢIONAL ”ION NECULCE”",120,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 08:21:57",1458,1393,57,8,0,625,617,0,8,0,613,12,1590,965,150,65,16,13,9,52,5,302,1
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",304,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 12:07:42",1332,1319,10,3,0,641,638,0,3,0,633,8,1500,859,183,52,21,2,16,39,4,316,0
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",306,"BUCUREŞTI SECTORUL 2",179150,1,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 06:53:22",1512,1484,20,8,0,634,626,0,8,0,628,6,1600,966,155,39,13,0,16,46,3,352,4
45,"Sector 2","COLEGIUL NAŢIONAL ”IULIA HAŞDEU”",305,"BUCUREŞTI SECTORUL 2",179150,2,PROV,PRCNCT,PCJ,PG_SV,"2024-06-10 17:00:08",1291,1253,19,19,0,537,518,0,19,0,534,3,1600,1063,104,34,17,1,16,72,1,286,3
