precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL OAMENILOR LIBERI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CĂMINUL CULTURAL SÎNPETRU DE CÎMPIE",519,"SÂNPETRU DE CÂMPIE",119527,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:02:11",875,819,0,23,33,571,515,0,23,33,507,64,898,327,318,67,22,88,5,3,3,1
28,MUREŞ,"CĂMINUL CULTURAL SÎNSIMION",464,NEAUA,118511,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:03:39",56,49,0,3,4,44,37,0,3,4,43,1,60,16,0,0,43,0,0,0,0,0
28,MUREŞ,"CĂMINUL CULTURAL SÎNTIOANA",565,VIIŞOARA,120218,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:50:48",457,455,0,2,0,263,261,0,2,0,245,18,494,213,115,29,0,29,72,0,0,0
28,MUREŞ,"CĂMINUL CULTURAL STEJĂRENII",345,DANEŞ,116493,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:17:58",270,262,1,7,0,85,78,0,7,0,83,2,290,205,39,29,2,6,4,0,1,2
28,MUREŞ,"CĂMINUL CULTURAL TOLDAL",567,VOIVODENI,120316,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:42:36",169,165,0,2,2,98,94,0,2,2,93,4,180,82,59,9,7,12,3,1,2,0
28,MUREŞ,"CAMINUL CULTURAL URISIU DE SUS",311,"CHIHERU DE JOS",116126,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:37:37",339,325,0,10,4,253,239,0,10,4,234,19,360,107,149,70,0,8,5,1,0,1
28,MUREŞ,"CĂMINUL CULTURAL VĂDAȘ",465,NEAUA,118511,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:56:28",294,283,0,4,7,159,148,0,4,7,148,10,304,145,7,4,133,4,0,0,0,0
28,MUREŞ,"CĂMINUL CULTURAL VALEA LARGĂ",547,"VALEA LARGĂ",119974,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:54",416,386,0,13,17,416,386,0,13,17,395,21,972,556,93,220,2,64,12,1,0,3
28,MUREŞ,"CĂMINUL CULTURAL VĂTAVA",553,VĂTAVA,120138,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:40",632,611,0,8,13,425,404,0,8,13,395,30,650,225,230,85,1,57,13,3,2,4
28,MUREŞ,"CĂMINUL CULTURAL VIŞINELU",188,"ORAŞ SĂRMAŞU",119242,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:13:15",343,334,1,5,3,223,215,0,5,3,212,11,376,152,75,116,1,14,2,2,2,0
