precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GUTĂU MIRCIA-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR ION-MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","MOCANU ION-VICENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PÎRVULESCU VIRGIL-PARTIDUL NAȚIONAL LIBERAL-voturi","DÎRLESCU CRISTINEL-PARTIDUL S.O.S. ROMÂNIA-voturi","DICU ION-ROMÂNIA SOCIALISTĂ-voturi","PUICAN FLORIN-IULIAN-PARTIDUL ACUM-voturi","STOICA CONSTANTIN-MIRCEA-voturi","BUŞE DANIEL-voturi"
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",14,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:36:27",977,967,1,9,0,377,368,0,9,0,370,7,1070,693,159,19,80,76,14,5,4,6,7
40,VÂLCEA,"COLEGIUL NAŢIONAL DE INFORMATICĂ ”MATEI BASARAB”",16,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:16",977,974,0,3,0,416,413,0,3,0,401,15,1040,624,152,25,70,126,11,3,5,7,2
40,VÂLCEA,"DADP - SEDIU, BL A17",34,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:33",1995,1987,3,5,0,915,910,0,5,0,899,16,2200,1285,372,44,182,250,16,6,5,11,13
40,VÂLCEA,"DIRECȚIA ADMINISTRĂRII DOMENIULUI PUBLIC",70,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:17:18",1153,1085,2,9,57,648,581,1,9,57,630,18,1190,542,277,21,132,177,2,3,7,7,4
40,VÂLCEA,"GRĂDINIŢA CĂZĂNEŞTI",89,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:43",1003,995,0,7,1,1003,995,0,7,1,477,22,1100,601,232,11,96,116,7,2,0,9,4
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”COZIA”",39,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:07",1073,1061,3,8,1,490,480,1,8,1,473,17,1170,680,211,25,88,118,7,5,7,10,2
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”COZIA”",38,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:48",1339,1317,3,19,0,627,607,1,19,0,612,11,1430,803,287,30,106,139,9,3,11,14,13
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NORD II",8,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:51:16",908,896,3,9,0,415,406,0,9,0,400,15,980,550,164,24,60,112,6,12,2,9,11
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NORD II",7,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:01",945,943,0,2,0,411,409,0,2,0,394,17,1050,639,197,26,49,99,9,6,2,6,0
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NORD II",6,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:38",923,916,0,7,0,412,405,0,7,0,402,10,1050,638,169,12,79,110,12,4,2,7,7
40,VÂLCEA,"GRADINITA CU PROGRAM PRELUNGIT OSTROVENI",90,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:17:46",1284,1265,6,13,0,651,638,0,13,0,639,12,1240,589,337,32,92,141,14,5,7,5,6
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT OSTROVENI I",59,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:47",1231,1219,0,12,0,542,530,0,12,0,528,14,1359,817,244,23,97,131,11,5,4,6,7
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT OSTROVENI II",69,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:06:55",1190,1179,0,11,0,471,460,0,11,0,461,10,1303,832,223,23,80,94,15,4,4,9,9
40,VÂLCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT OSTROVENI II",68,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:28:12",969,963,0,6,0,379,373,0,6,0,370,9,1060,681,174,16,68,89,5,2,3,8,5
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT OSTROVENI II",66,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:16:12",1261,1254,0,7,0,558,551,0,7,0,537,14,1390,832,248,32,106,112,10,10,3,8,8
40,VÂLCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT OSTROVENI II",67,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:08:56",1332,1327,0,5,0,561,556,0,5,0,543,18,1460,899,313,31,71,100,16,0,2,9,1
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",12,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:50",1178,1170,0,8,0,540,532,0,8,0,525,15,1300,760,208,23,118,133,16,3,6,11,7
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",11,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:21:04",947,940,0,7,0,427,420,0,7,0,413,14,1030,603,144,39,85,111,4,5,8,6,11
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",9,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:57",981,970,1,10,0,414,404,0,10,0,404,10,1070,656,177,21,75,99,11,2,3,7,9
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",13,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:10",778,767,0,11,0,329,318,0,11,0,316,13,840,511,142,21,52,91,2,0,6,1,1
40,VÂLCEA,"LICEUL DE ARTE VICTOR GIULEANU",10,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:06",1010,998,0,12,0,452,440,0,12,0,437,15,1100,648,174,15,99,127,8,3,4,5,2
40,VÂLCEA,"LICEUL SANITAR ”ANTIM IVIREANU”",3,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:00",1251,1244,7,0,0,520,513,7,0,0,508,12,1380,860,215,33,106,118,3,1,7,14,11
40,VÂLCEA,"LICEUL SANITAR ”ANTIM IVIREANU”",5,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:42:00",1140,1133,1,6,0,509,503,0,6,0,495,14,1260,749,201,33,86,138,15,4,1,11,6
40,VÂLCEA,"LICEUL SANITAR ”ANTIM IVIREANU”",4,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:21:10",1178,1172,1,5,0,442,436,1,5,0,421,14,1310,868,175,25,76,105,12,6,5,9,8
40,VÂLCEA,"LICEUL TEHNOLOGIC ”CĂPITAN NICOLAE PLEŞOIANU”",40,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:19",1012,996,4,10,2,431,421,0,8,2,415,16,1120,689,180,28,59,120,4,5,8,5,6
40,VÂLCEA,"LICEUL TEHNOLOGIC ”CĂPITAN NICOLAE PLEŞOIANU”",41,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:53",913,905,3,4,1,439,431,3,4,1,428,11,1010,571,198,29,49,121,4,3,5,10,9
40,VÂLCEA,"LICEUL TEHNOLOGIC ”CĂPITAN NICOLAE PLEŞOIANU”",42,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:30",1093,1083,2,8,0,547,538,1,8,0,510,37,1200,653,261,30,81,108,14,2,5,7,2
40,VÂLCEA,"LICEUL TEHNOLOGIC ”CĂPITAN NICOLAE PLEȘOIANU”",43,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:58:20",939,927,2,10,0,409,399,0,10,0,390,19,1020,611,203,18,70,78,10,0,2,5,4
40,VÂLCEA,"LICEUL TEHNOLOGIC FERDINAND I",62,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:06",814,806,0,8,0,331,323,0,8,0,318,13,890,559,168,12,48,69,6,3,3,2,7
40,VÂLCEA,"LICEUL TEHNOLOGIC FERDINAND I",61,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:04:59",731,721,0,10,0,289,279,0,10,0,280,9,800,511,152,15,44,53,3,3,3,7,0
40,VÂLCEA,"LICEUL TEHNOLOGIC FERDINAND I",64,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:01",731,725,0,6,0,335,329,0,6,0,324,11,830,495,160,16,56,63,6,3,6,13,1
40,VÂLCEA,"LICEUL TEHNOLOGIC FERDINAND I",60,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:37",817,809,3,5,0,330,325,0,5,0,321,9,890,560,150,18,47,82,4,4,2,8,6
40,VÂLCEA,"LICEUL TEHNOLOGIC FERDINAND I",65,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:07",783,776,0,7,0,319,312,0,7,0,313,6,860,541,162,17,55,62,3,0,4,3,7
40,VÂLCEA,"LICEUL TEHNOLOGIC FERDINAND I",63,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:01:27",1144,1139,0,5,0,510,505,0,5,0,498,12,1230,720,276,23,77,105,5,4,0,4,4
40,VÂLCEA,"LICEUL TEHNOLOGIC FORESTIER",20,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:44:08",861,853,0,8,0,356,348,0,8,0,346,10,940,584,145,16,74,97,2,1,2,6,3
40,VÂLCEA,"LICEUL TEHNOLOGIC FORESTIER",19,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:13:31",828,796,2,6,24,411,381,0,6,24,401,10,890,479,188,25,75,74,5,4,8,13,9
40,VÂLCEA,"LICEUL TEHNOLOGIC FORESTIER",18,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:53",921,913,1,7,0,443,436,0,7,0,429,14,1010,567,173,27,82,118,5,4,5,5,10
40,VÂLCEA,"PASAJ PIETONAL",36,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:24",655,645,3,7,0,277,269,1,7,0,274,3,710,433,125,17,43,69,6,1,1,8,4
40,VÂLCEA,"PASAJ PIETONAL",35,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:19:51",812,804,0,8,0,394,386,0,8,0,377,17,880,486,207,32,46,74,1,0,8,5,4
40,VÂLCEA,"PASAJ PIETONAL",37,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:03",885,868,2,8,7,431,416,0,8,7,416,15,960,529,204,18,64,108,5,3,2,5,7
40,VÂLCEA,"ŞCOALA COPĂCELU",88,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:33",1607,1597,1,5,4,800,791,0,5,4,784,16,1760,960,423,32,104,177,22,3,3,11,9
40,VÂLCEA,"ŞCOALA FEŢENI",48,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:14",194,186,0,8,0,99,91,0,8,0,98,1,210,111,61,3,10,24,0,0,0,0,0
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",72,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:20:27",942,929,2,11,0,398,387,0,11,0,392,6,1030,632,182,16,52,112,6,3,1,8,12
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",75,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:31",719,708,3,8,0,309,300,1,8,0,299,10,780,471,162,14,46,62,5,2,2,4,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",73,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:34",1169,1156,0,12,1,576,563,0,12,1,558,18,1270,694,259,32,103,130,7,4,4,16,3
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",74,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:30:47",988,976,1,11,0,425,414,0,11,0,412,9,1080,655,191,16,75,107,1,6,1,9,6
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",76,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:50:40",1066,1056,1,9,0,427,418,0,9,0,409,18,1160,733,197,14,75,102,8,1,4,8,0
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",77,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:41:24",1259,1256,0,3,0,562,559,0,3,0,542,17,1390,831,260,24,90,118,12,5,4,22,7
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”ANTON PANN”",71,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:42",1485,1475,2,8,0,662,654,0,8,0,648,14,1630,968,325,31,93,156,9,2,7,19,6
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ COLONIE",87,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:48",1032,1023,1,8,0,541,532,1,8,0,507,34,1140,599,353,8,46,86,10,0,0,1,3
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ GORANU",46,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:36",1031,1023,0,7,1,449,441,0,7,1,433,16,1120,671,213,16,55,111,18,4,11,4,1
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ GORANU",45,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:53:27",1395,1389,0,6,0,541,535,0,6,0,520,21,1530,989,236,21,91,130,14,5,9,6,8
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",24,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:50",760,747,3,10,0,321,311,0,10,0,310,11,850,529,136,10,53,80,7,6,0,10,8
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",27,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:26",829,823,0,6,0,349,343,0,6,0,341,8,910,561,154,24,50,92,5,1,6,5,4
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",23,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:35",946,936,0,10,0,415,405,0,10,0,399,16,1030,615,177,34,65,102,6,1,4,6,4
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",25,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:43:14",816,807,2,6,1,365,358,0,6,1,354,11,880,515,124,20,64,113,11,4,3,8,7
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",21,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:59:56",947,940,3,4,0,403,399,0,4,0,397,6,1030,627,171,32,57,109,8,5,4,6,5
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",26,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:37:00",1026,1015,2,8,1,430,421,0,8,1,424,6,1120,690,182,38,59,127,4,2,5,3,4
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ ”IOAN GH. DUCA”",22,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:28",922,918,2,2,0,428,426,0,2,0,412,16,1010,582,187,26,56,112,7,3,1,10,10
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ MIHAI EMINESCU",57,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:34:23",1347,1337,0,10,0,679,669,0,10,0,665,14,1530,851,336,60,106,119,8,9,8,13,6
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ MIHAI EMINESCU",58,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:45:16",1085,1075,1,9,0,456,447,0,9,0,448,8,1210,754,232,20,74,96,8,3,2,9,4
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ MIHAI EMINESCU",56,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:27",560,550,0,10,0,560,550,0,10,0,540,20,1300,740,272,36,75,131,5,3,4,6,8
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",82,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:39",933,925,0,8,0,398,390,0,8,0,389,9,1020,622,203,16,56,87,12,4,2,4,5
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",80,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:55:45",915,907,0,7,1,400,392,0,7,1,391,9,1000,600,193,24,49,86,18,3,9,4,5
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",81,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:19",966,959,0,6,1,403,396,0,6,1,393,10,1060,657,205,14,50,101,8,1,1,8,5
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",84,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:07:53",1379,1376,0,3,0,638,635,0,3,0,616,20,1520,882,292,25,108,162,12,6,4,5,2
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",78,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:30",891,885,1,5,0,349,344,0,5,0,338,11,980,631,156,23,61,74,3,2,2,10,7
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",79,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:33:31",932,919,1,12,0,412,400,0,12,0,407,5,1010,598,202,18,65,93,11,3,3,6,6
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR. 13",83,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:36",1393,1382,2,9,0,653,644,0,9,0,632,21,1530,877,311,41,97,135,20,2,0,18,8
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.4",50,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:09",940,930,2,8,0,437,429,0,8,0,427,10,1020,583,181,27,71,125,5,2,6,6,4
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.4",51,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:16:11",1240,1232,1,7,0,584,577,0,7,0,536,41,1360,536,238,44,81,145,4,4,5,7,8
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.4",52,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:42:57",933,927,0,6,0,446,440,0,6,0,427,19,1020,574,151,40,71,136,7,3,4,8,7
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ NR.5",33,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:42",1118,1103,4,11,0,581,570,0,11,0,566,15,1210,629,249,32,88,171,5,4,5,3,9
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ”SPIRU HARET” (FOSTĂ NR. 3)",44,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:02:19",1617,1607,5,4,1,805,795,5,4,1,778,27,1770,965,343,39,130,218,13,6,5,17,7
40,VÂLCEA,"ȘCOALA GIMNAZIALĂ TAKE IONESCU",28,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:02:03",913,897,8,7,1,473,465,0,7,1,445,17,1027,565,180,32,82,119,7,1,6,8,10
40,VÂLCEA,"ŞCOALA LESPEZI - ARHIVĂ",47,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:18:20",1228,1220,0,8,0,620,612,0,8,0,603,17,1360,740,271,23,79,146,11,0,62,5,6
40,VÂLCEA,"ŞCOALA STOLNICENI",86,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:47:53",534,527,0,6,1,240,233,0,6,1,225,15,590,350,106,4,31,71,10,0,0,1,2
40,VÂLCEA,"SECŢIA 1 DE POLIŢIE RURALĂ RÂMNICU VÂLCEA",85,"MUNICIPIUL RÂMNICU VÂLCEA",167473,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:16",837,828,3,6,0,390,384,0,6,0,390,0,910,520,171,21,56,122,10,3,2,3,2
