precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU DAVILA” (FOSTĂ ŞCOALĂ NR.14)",41,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:02",1728,1722,3,3,0,733,730,0,3,0,705,24,1900,1171,238,92,195,10,21,149
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU DAVILA” (INTRAREA B) (FOSTA ŞCOALĂ NR.14)",21,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:11:44",1069,1058,4,7,0,417,410,0,7,0,406,11,1200,783,158,50,107,11,8,72
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”I. L. CARAGIALE” (FOSTĂ ŞCOALĂ NR.16)",85,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:51:46",1470,1459,0,10,1,568,557,0,10,1,557,11,1600,1032,233,79,117,7,15,106
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”I. L. CARAGIALE” (FOSTĂ ŞCOALĂ NR.16)",86,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:23",1616,1609,1,6,0,641,635,0,6,0,620,21,1800,1159,233,78,151,15,26,117
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”I. L. CARAGIALE” (FOSTĂ ŞCOALĂ NR.16)",87,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:26",1527,1517,0,10,0,666,656,0,10,0,642,24,1700,1034,243,69,157,12,14,147
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”ION MINULESCU” (FOSTA ŞCOALĂ NR.2)",75,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:06:37",1300,1293,0,6,1,495,488,0,6,1,480,13,1600,1107,146,70,128,35,20,81
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”ION MINULESCU” (FOSTA ŞCOALĂ NR.2)",76,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:47:06",1524,1515,2,7,0,666,659,0,7,0,629,37,1700,37,265,79,148,18,27,92
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”ION PILLAT” ( FOSTĂ ŞCOALĂ NR.3)",3,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:51:25",1030,1010,8,12,0,419,407,0,12,0,392,15,1200,793,155,43,114,8,13,59
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MARIN PREDA” (FOSTA ŞCOALĂ NR.10)",43,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:27:55",1329,1324,2,3,0,578,575,0,3,0,566,12,1500,922,220,60,168,7,6,105
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”MARIN PREDA” (FOSTA ŞCOALĂ NR.10)",42,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:50",1696,1674,15,7,0,724,717,0,7,0,700,24,1800,1076,287,74,156,9,16,158
