precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CĂTUNU",208,CORNEŞTI,67014,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:58",681,648,0,30,3,438,405,0,30,3,418,20,720,282,192,69,24,126,7
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ” CAZACI ”",317,NUCET,68280,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:56:59",1180,1171,0,3,6,635,626,0,3,6,614,21,1300,665,476,83,37,7,11
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ COJASCA",180,COJASCA,66697,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:30",973,925,1,20,27,675,629,0,20,26,656,19,1040,365,285,326,32,7,6
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ COJASCA",181,COJASCA,66697,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:05",785,760,0,18,7,599,574,0,18,7,568,31,830,231,85,454,23,1,5
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALÃ ”CONSTANTIN SECÃREANU” RUNCU",366,RUNCU,68716,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:01",1035,1024,0,3,8,510,499,0,3,8,499,11,1130,620,251,200,24,19,5
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CORBII MARI",194,"CORBII MARI",66857,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:30:49",1411,1398,3,10,0,912,902,0,10,0,892,20,1550,638,743,90,33,18,8
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ”CORESI”",39,"MUNICIPIUL TÂRGOVIŞTE",65342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:14",1061,1053,0,8,0,482,474,0,8,0,465,17,1170,688,270,71,72,39,13
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CORNEŞTI",206,CORNEŞTI,67014,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:17:26",1345,1306,3,24,12,867,831,0,24,12,824,43,1440,573,394,67,81,269,13
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ CROVU",324,ODOBEŞTI,68342,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:37:18",1107,1102,0,4,1,798,793,0,4,1,744,54,1213,415,464,232,27,13,8
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ CU CLASELE I-VIII GURA BĂRBULEȚULUI",141,BĂRBULEŢU,66223,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:51:13",469,467,0,2,0,248,246,0,2,0,242,6,510,262,198,24,15,3,2
