precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
13,CLUJ,"CAMIN CULTURAL",574,PANTICEU,58856,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:54:38",59,51,0,8,0,41,33,0,8,0,36,5,56,15,0,3,0,29,0,3,0,1,0,0
13,CLUJ,"CĂMIN CULTURAL",535,MĂRGĂU,58464,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:52",208,183,0,24,1,162,137,0,24,1,151,11,205,43,1,68,12,53,1,10,1,1,2,2
13,CLUJ,"CĂMIN CULTURAL",637,SUATU,59657,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:50",221,213,0,4,4,134,126,0,4,4,119,15,240,106,18,29,11,39,7,6,4,1,1,3
13,CLUJ,"CĂMIN CULTURAL",537,MĂRGĂU,58464,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:29:13",157,145,0,6,6,116,104,0,6,6,109,7,160,44,3,46,5,47,0,5,0,2,1,0
13,CLUJ,"CĂMIN CULTURAL",580,"PETREŞTII DE JOS",58918,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:49:16",533,443,1,65,24,400,311,0,65,24,377,23,526,126,11,35,145,134,7,31,1,1,6,6
13,CLUJ,"CĂMIN CULTURAL",536,MĂRGĂU,58464,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:40",602,555,2,38,7,495,448,2,38,7,474,21,632,137,5,140,26,261,12,21,6,2,1,0
13,CLUJ,"CĂMIN CULTURAL",615,SĂVĂDISLA,59327,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:48:38",232,227,0,5,0,151,146,0,5,0,149,2,251,100,6,23,9,93,5,6,1,0,5,1
13,CLUJ,"CAMIN CULTURAL AITON",301,AITON,55598,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:04:59",564,506,2,39,17,355,298,1,39,17,330,25,552,197,88,66,24,115,9,20,1,1,5,1
13,CLUJ,"CAMIN CULTURAL ALUNIS",303,ALUNIŞ,55623,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:54:08",467,429,0,18,20,299,261,0,18,20,275,24,473,174,1,50,80,122,8,4,6,0,2,2
13,CLUJ,"CAMIN CULTURAL ARGHISU",294,AGHIREŞU,55473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:30:42",98,86,1,11,0,42,31,0,11,0,35,7,96,54,3,11,5,12,0,2,2,0,0,0
13,CLUJ,"CAMIN CULTURAL BABDIU",345,BOBÂLNA,56096,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:48:06",132,124,1,4,3,82,74,1,4,3,75,7,143,61,1,25,14,28,1,4,1,1,0,0
13,CLUJ,"CAMIN CULTURAL BABUTIU",670,VULTURENI,60099,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:19",208,203,0,5,0,145,140,0,5,0,139,6,229,84,3,68,10,28,13,12,2,0,2,1
13,CLUJ,"CAMIN CULTURAL BAGARA",295,AGHIREŞU,55473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:06",325,319,0,6,0,169,163,0,6,0,161,8,351,182,125,8,4,16,1,5,0,1,0,1
13,CLUJ,"CĂMIN CULTURAL BĂLCEŞTI",339,BELIŞ,56014,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:57:12",131,125,0,6,0,86,80,0,6,0,81,5,139,53,5,49,5,13,1,7,0,0,1,0
13,CLUJ,"CĂMIN CULTURAL BERINDU",630,SÂNPAUL,59586,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:48:47",358,342,0,11,5,255,244,0,6,5,238,17,372,117,7,140,10,37,8,18,6,4,3,5
13,CLUJ,"CĂMIN CULTURAL BÎRLEA",427,CORNEŞTI,57449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:21",130,113,0,12,5,107,90,0,12,5,103,4,123,16,2,20,6,69,2,3,0,0,1,0
13,CLUJ,"CAMIN CULTURAL BOLDUT",400,"CEANU MARE",56844,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:43:09",674,665,0,4,5,383,374,0,4,5,349,34,739,356,19,109,41,118,16,35,3,1,3,4
13,CLUJ,"CĂMIN CULTURAL BOLOGA",590,POIENI,59041,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:19:35",470,464,0,6,0,309,303,0,6,0,292,17,518,209,4,104,25,98,9,27,1,19,3,2
13,CLUJ,"CAMIN CULTURAL BONT",445,"FIZEŞU GHERLII",57644,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:18",291,278,0,12,1,161,148,0,12,1,149,12,309,148,4,34,7,72,9,15,1,1,5,1
13,CLUJ,"CAMIN CULTURAL BONTIDA",352,BONŢIDA,56210,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:35:49",1662,1638,1,10,13,999,977,0,10,12,867,132,1782,783,263,112,55,210,65,29,5,118,10,0
13,CLUJ,"CĂMIN CULTURAL CALNA",660,VAD,59942,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:12:23",130,108,1,14,7,101,80,0,14,7,94,7,131,30,3,17,9,58,1,5,0,1,0,0
13,CLUJ,"CAMIN CULTURAL CAMARASU",376,CĂMĂRAŞU,56522,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:21",1193,1186,1,4,2,715,709,0,4,2,531,184,1318,603,42,136,62,215,17,13,1,42,1,2
13,CLUJ,"CAMIN CULTURAL CATINA",392,CĂTINA,56773,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:47:06",924,851,0,19,54,608,535,0,19,54,526,82,941,333,59,101,30,268,10,32,10,1,5,10
13,CLUJ,"CAMIN CULTURAL CEANU MARE",398,"CEANU MARE",56844,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:46:03",1093,1066,1,23,3,631,604,1,23,3,566,65,1200,569,41,134,127,141,14,84,15,4,3,3
13,CLUJ,"CĂMIN CULTURAL CETAN",661,VAD,59942,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:37:32",530,474,0,25,31,349,293,0,25,31,333,15,557,209,1,94,36,177,9,9,0,4,1,2
13,CLUJ,"CĂMIN CULTURAL CHINTENI",404,CHINTENI,56988,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:44:32",1096,1038,5,52,1,723,670,0,52,1,704,7,1124,413,103,181,50,229,12,77,5,2,41,4
13,CLUJ,"CAMIN CULTURAL COASTA",354,BONŢIDA,56210,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:16:35",101,80,0,20,1,73,52,0,20,1,63,10,89,16,2,29,4,23,0,5,0,0,0,0
13,CLUJ,"CAMIN CULTURAL CORNENI",304,ALUNIŞ,55623,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:28:14",92,89,0,1,2,48,45,0,1,2,42,6,101,53,0,12,7,16,6,1,0,0,0,0
13,CLUJ,"CĂMIN CULTURAL CORPADEA",312,APAHIDA,55687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:25",354,340,0,9,5,186,172,0,9,5,177,9,378,192,4,62,15,47,14,26,1,1,6,1
13,CLUJ,"CAMIN CULTURAL DOROLTU",296,AGHIREŞU,55473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:26:04",81,73,0,8,0,56,48,0,8,0,56,0,81,25,42,3,1,7,0,3,0,0,0,0
13,CLUJ,"CAMIN CULTURAL FELDIOARA",394,CĂTINA,56773,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:12:22",364,358,0,3,3,203,197,0,3,3,176,27,396,193,65,48,14,38,4,4,1,0,0,2
13,CLUJ,"CĂMIN CULTURAL GĂDĂLIN",521,JUCU,58259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:20:29",580,518,1,46,15,442,381,0,46,15,428,14,582,140,3,256,28,75,14,45,4,0,3,0
13,CLUJ,"CAMIN CULTURAL GEACA",483,GEACA,57831,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:43:40",498,407,1,76,14,371,281,0,76,14,341,30,447,76,12,109,27,164,5,18,0,2,2,2
13,CLUJ,"CĂMIN CULTURAL IGRIŢIA",428,CORNEŞTI,57449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:30:47",39,28,0,11,0,30,19,0,11,0,27,3,32,2,1,11,4,9,1,1,0,0,0,0
13,CLUJ,"CAMIN CULTURAL JICHISU DE SUS",516,"JICHIŞU DE JOS",55106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:36",177,153,0,15,9,150,126,0,15,9,140,10,180,30,2,26,3,106,1,2,0,0,0,0
13,CLUJ,"CAMIN CULTURAL LEGHIA",298,AGHIREŞU,55473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:09:19",369,354,1,6,8,222,208,0,6,8,209,13,391,169,186,12,2,9,0,0,0,0,0,0
13,CLUJ,"CAMIN CULTURAL LIVADA",583,"PETREŞTII DE JOS",58918,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:23",164,158,0,4,2,98,92,0,4,2,76,22,154,56,5,10,19,30,5,6,0,0,1,0
13,CLUJ,"CAMIN CULTURAL MARE BORSA",357,BORŞA,56265,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 16:56:25",861,797,0,11,53,569,505,0,11,53,543,26,932,363,20,91,17,385,15,9,3,2,0,1
13,CLUJ,"CAMIN CULTURAL MOCIU - SALA MICA",556,MOCIU,58623,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:29:13",1392,1345,1,17,29,969,923,0,17,29,784,139,1487,564,46,217,111,263,26,26,11,73,8,3
13,CLUJ,"CĂMIN CULTURAL MORĂU",430,CORNEŞTI,57449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:10:23",60,43,1,15,1,47,31,0,15,1,45,2,61,14,1,7,2,34,1,0,0,0,0,0
13,CLUJ,"CAMIN CULTURAL NAOIU",377,CĂMĂRAŞU,56522,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:23:16",320,317,0,3,0,180,177,0,3,0,156,24,350,170,5,70,15,43,3,15,1,4,0,0
13,CLUJ,"CĂMIN CULTURAL PLĂIEȘTI",567,MOLDOVENEŞTI,58721,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:58:44",527,506,0,5,16,344,323,0,5,16,332,12,581,237,258,32,25,10,3,2,1,1,0,0
13,CLUJ,"CĂMIN CULTURAL PODENI",568,MOLDOVENEŞTI,58721,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:58:51",339,333,0,6,0,142,136,0,6,0,136,6,370,228,10,54,19,42,0,4,1,0,4,2
13,CLUJ,"CAMIN CULTURAL REDIU",302,AITON,55598,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:21:49",378,354,2,14,8,218,196,0,14,8,197,21,394,176,6,34,13,120,7,13,1,1,1,1
13,CLUJ,"CĂMIN CULTURAL RUSEȘTI",538,MĂRIŞEL,58534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:41:33",112,99,0,12,1,78,65,0,12,1,77,1,110,32,0,8,11,54,4,0,0,0,0,0
13,CLUJ,"CAMIN CULTURAL SACALAIA",447,"FIZEŞU GHERLII",57644,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:46:57",222,196,0,25,1,167,141,0,25,1,159,8,219,52,2,22,22,98,4,8,0,0,2,1
13,CLUJ,"CAMIN CULTURAL SALISTE",418,CIURILA,57225,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:22:48",99,83,0,16,0,81,65,0,16,0,75,6,111,30,0,32,11,22,1,7,1,0,1,0
13,CLUJ,"CĂMIN CULTURAL ȘARDU",632,SÂNPAUL,59586,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:20",343,328,0,9,6,238,223,0,9,6,216,22,361,123,5,41,8,68,4,84,3,3,0,0
13,CLUJ,"CAMIN CULTURAL SIC",634,SIC,59416,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:58:17",735,664,2,6,63,529,460,0,6,63,464,65,800,271,440,9,4,6,3,0,0,0,1,1
13,CLUJ,"CAMIN CULTURAL SIC",635,SIC,59416,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:40:06",1155,1024,2,1,128,798,671,1,1,125,752,46,1270,472,719,8,2,8,3,7,2,3,0,0
13,CLUJ,"CAMIN CULTURAL SIMBOLENI",378,CĂMĂRAŞU,56522,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:06:36",438,426,0,7,5,265,253,0,7,5,228,37,487,222,7,70,16,127,6,0,0,0,2,0
13,CLUJ,"CĂMIN CULTURAL SÎNNICOARĂ",316,APAHIDA,55687,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:20:40",1195,1186,2,7,0,737,730,0,7,0,714,23,1322,585,21,165,85,291,21,103,6,1,13,8
13,CLUJ,"CĂMIN CULTURAL SÎNTIOANA",652,ŢAGA,59826,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:44",429,425,0,4,0,241,237,0,4,0,227,14,469,228,5,38,21,106,3,11,5,1,5,32
13,CLUJ,"CĂMIN CULTURAL SRTÂMBU",411,CHIUIEŞTI,57083,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:44:04",312,307,0,5,0,199,194,0,5,0,186,13,339,140,1,63,13,86,10,7,2,3,0,1
13,CLUJ,"CĂMIN CULTURAL TIOCU DE JOS",432,CORNEŞTI,57449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:54:58",89,86,0,3,0,53,50,0,3,0,50,3,96,43,8,12,7,21,1,0,1,0,0,0
13,CLUJ,"CĂMIN CULTURAL TIOCU DE SUS",433,CORNEŞTI,57449,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 17:39:54",74,57,0,10,7,51,34,0,10,7,38,13,62,11,6,10,1,16,1,2,0,0,2,0
13,CLUJ,"CĂMIN CULTURAL TIOLTIUR",434,CORNEŞTI,57449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:05:00",149,133,0,7,9,103,87,0,7,9,91,6,150,53,1,19,0,69,1,1,0,0,0,0
13,CLUJ,"CĂMIN CULTURAL TRANIŞU",594,POIENI,59041,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:43",259,253,0,6,0,159,153,0,6,0,146,13,279,120,0,54,28,57,2,3,0,0,1,1
13,CLUJ,"CAMIN CULTURAL TUREA",481,GÂRBĂU,57948,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:13:02",428,421,0,7,0,271,264,0,7,0,255,16,465,194,144,24,10,50,2,25,0,0,0,0
13,CLUJ,"CĂMIN CULTURAL VAD",657,VAD,59942,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:55:52",288,251,0,27,10,205,168,0,27,10,188,16,288,84,1,32,37,96,5,15,0,1,0,1
13,CLUJ,"CAMIN CULTURAL VALE",306,ALUNIŞ,55623,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:01:19",84,78,0,6,0,57,51,0,6,0,51,6,87,30,0,10,9,25,3,1,2,0,0,1
13,CLUJ,"CĂMIN CULTURAL VIȘEA",524,JUCU,58259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:17",456,440,0,15,1,270,254,0,15,1,241,29,487,217,154,37,4,16,1,29,0,0,0,0
13,CLUJ,"CĂMINUL CLULTURAL",384,"CĂPUŞU MARE",56568,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:40:17",234,224,0,9,1,138,128,0,9,1,127,11,246,108,4,24,36,50,2,7,2,0,2,0
13,CLUJ,"CAMINUL CULTURAL",585,"PETREŞTII DE JOS",58918,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:21:08",87,72,0,12,3,54,39,0,12,3,47,7,84,30,1,11,12,18,1,2,0,0,2,0
13,CLUJ,"CAMINUL CULTURAL",361,CĂIANU,56354,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:53",428,411,0,9,8,248,231,0,9,8,235,13,451,203,7,44,26,147,7,2,0,1,1,0
13,CLUJ,"CAMINUL CULTURAL",607,SĂCUIEU,59283,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:32:24",193,185,1,5,2,129,122,0,5,2,117,12,208,79,4,36,24,50,1,0,0,2,0,0
13,CLUJ,"CĂMINUL CULTURAL",613,SĂVĂDISLA,59327,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:35:44",253,240,0,6,7,182,169,0,6,7,173,9,274,92,5,31,13,117,2,2,0,0,1,2
13,CLUJ,"CĂMINUL CULTURAL",605,SĂCUIEU,59283,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:19:24",462,455,0,5,2,298,291,0,5,2,277,21,504,206,11,39,124,85,2,8,2,3,2,1
13,CLUJ,"CĂMINUL CULTURAL",515,"JICHIŞU DE JOS",55106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:44:20",361,342,0,14,5,254,235,0,14,5,238,16,381,127,1,41,34,147,5,5,2,1,2,0
13,CLUJ,"CĂMINUL CULTURAL",542,MICA,55160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:56:08",607,591,3,6,7,405,390,2,6,7,390,15,658,253,6,85,46,187,13,19,1,18,10,5
13,CLUJ,"CĂMINUL CULTURAL",616,SĂVĂDISLA,59327,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:30:15",43,37,0,6,0,33,27,0,6,0,31,2,43,10,5,3,12,9,0,2,0,0,0,0
13,CLUJ,"CĂMINUL CULTURAL",514,"JICHIŞU DE JOS",55106,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:18:42",389,319,0,41,29,299,229,0,41,29,271,28,365,66,5,48,30,170,5,10,3,0,0,0
13,CLUJ,"CĂMINUL CULTURAL",606,SĂCUIEU,59283,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:36:40",486,477,0,7,2,364,355,0,7,2,325,37,527,165,5,60,42,186,12,4,2,5,1,8
13,CLUJ,"CĂMINUL CULTURAL",437,CUZDRIOARA,55062,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:45:46",754,744,3,5,2,346,339,0,5,2,315,31,823,477,12,64,141,52,16,25,2,2,1,0
13,CLUJ,"CĂMINUL CULTURAL",541,MICA,55160,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:53",546,523,1,14,8,341,319,0,14,8,324,17,579,238,6,84,48,151,8,18,3,4,2,0
13,CLUJ,"CĂMINUL CULTURAL",617,SĂVĂDISLA,59327,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:40",798,754,3,16,25,565,524,0,16,25,559,6,859,294,504,10,2,29,1,10,2,1,0,0
13,CLUJ,"CĂMINUL CULTURAL",610,SĂVĂDISLA,59327,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:47:31",881,850,4,6,21,627,598,2,6,21,610,17,968,341,506,16,5,59,2,12,1,2,7,0
13,CLUJ,"CĂMINUL CULTURAL",570,NEGRENI,60169,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:39:56",1274,1256,2,11,5,901,885,0,11,5,842,59,1384,483,7,243,64,476,18,15,4,6,7,2
13,CLUJ,"CĂMINUL CULTURAL",512,"IZVORU CRIŞULUI",58204,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:38:16",186,175,0,10,1,102,91,0,10,1,93,9,193,91,9,31,21,26,4,1,0,1,0,0
13,CLUJ,"CĂMINUL CULTURAL",587,PLOSCOŞ,58990,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:59",352,326,0,16,10,247,221,0,16,10,216,31,359,112,2,113,32,43,1,21,3,0,0,1
13,CLUJ,"CĂMINUL CULTURAL",385,CĂŞEIU,56666,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:59:04",1214,1192,0,10,12,795,773,0,10,12,736,54,1326,536,29,145,243,258,16,29,3,6,5,2
13,CLUJ,"CĂMINUL CULTURAL",566,MOLDOVENEŞTI,58721,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:34:49",108,101,0,7,0,66,59,0,7,0,65,1,109,43,24,12,10,9,3,5,0,0,2,0
13,CLUJ,"CĂMINUL CULTURAL AGHIREŞU FABRICI",292,AGHIREŞU,55473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:55:27",1118,1108,0,4,6,540,530,0,4,6,513,27,1221,681,75,205,33,157,18,14,5,3,2,1
13,CLUJ,"CAMINUL CULTURAL BADESTI",671,VULTURENI,60099,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:05:18",121,104,0,14,3,100,83,0,14,3,97,3,114,14,7,36,0,46,0,6,2,0,0,0
13,CLUJ,"CAMINUL CULTURAL BĂRĂI",362,CĂIANU,56354,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:54",197,185,2,4,6,98,88,0,4,6,91,7,212,114,1,40,13,34,2,1,0,0,0,0
13,CLUJ,"CĂMINUL CULTURAL BEDECIU",533,MĂNĂSTIRENI,58393,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:10",421,394,0,19,8,315,288,0,19,8,277,38,447,132,2,125,43,72,5,6,0,23,1,0
13,CLUJ,"CAMINUL CULTURAL BERCHIESU",475,FRATA,57742,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:59",466,447,1,12,6,259,240,1,12,6,244,15,500,241,7,167,14,45,5,4,0,1,0,1
13,CLUJ,"CĂMINUL CULTURAL BOGATA",368,CĂLĂRAŞI,56425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:05",910,902,2,3,3,462,456,0,3,3,432,30,999,537,44,62,143,150,15,16,0,0,2,0
13,CLUJ,"CAMINUL CULTURAL BUZA",360,BUZA,56327,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:33:44",949,905,1,8,35,683,640,0,8,35,610,68,1039,356,315,97,39,133,10,10,2,2,2,0
13,CLUJ,"CAMINUL CULTURAL CALARASI",367,CĂLĂRAŞI,56425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:50",765,755,1,7,2,414,405,0,7,2,390,24,832,418,186,30,38,112,10,7,3,1,1,2
13,CLUJ,"CAMINUL CULTURAL CALARASI -GARA",369,CĂLĂRAŞI,56425,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:53",296,291,4,0,1,178,175,2,0,1,165,13,326,148,6,30,18,95,2,11,3,0,0,0
13,CLUJ,"CAMINUL CULTURAL CĂLĂŢELE PĂDURE",371,CĂLĂŢELE,56461,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:58:30",231,207,0,19,5,186,162,0,19,5,169,17,235,49,2,83,28,35,3,9,2,5,0,2
13,CLUJ,"CĂMINUL CULTURAL CĂPUŞU MARE",379,"CĂPUŞU MARE",56568,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:23:26",698,673,6,12,7,454,435,2,10,7,444,8,738,284,313,36,20,47,10,7,0,4,5,2
