precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 16",35,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:09",561,547,3,11,0,558,547,0,11,0,542,16,1300,742,189,220,41,29,5,4,40,4,10
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 7",44,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:38",962,956,1,4,1,469,464,0,4,1,458,11,1050,581,182,165,33,10,7,3,45,3,10
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 7",43,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:13:48",1147,1118,0,29,0,602,573,0,29,0,596,6,1254,652,190,248,29,39,10,10,58,3,9
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 9",28,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:08:17",1200,1177,8,14,1,599,584,0,14,1,587,12,1300,701,191,242,51,50,6,3,23,6,15
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL UNIREA",55,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:58:46",1910,1901,4,5,0,974,969,0,5,0,954,15,2100,119,372,403,75,17,3,10,56,4,14
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL UNIREA",56,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:05:32",1703,1689,5,8,1,873,864,0,8,1,849,24,1850,977,313,350,72,17,7,9,59,7,15
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CĂSUŢA CU POVEŞTI”",24,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:30:42",1160,1151,0,9,0,469,460,0,9,0,454,15,1300,831,143,158,37,38,11,2,36,6,23
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",2,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:24:07",1029,1016,5,8,0,395,386,1,8,0,374,12,1100,705,152,119,41,20,7,4,15,0,16
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 12",34,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:35:49",1215,1211,0,4,0,541,537,0,4,0,533,8,1348,807,173,229,36,21,10,44,6,4,10
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",38,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:47:45",1239,1225,3,10,1,596,585,0,10,1,585,11,1400,804,203,211,45,34,4,8,44,5,31
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 6",5,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:23",1352,1345,1,5,1,613,607,0,5,1,596,17,1500,887,199,246,46,33,0,10,46,6,10
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 6",6,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:29:45",1288,1277,3,8,0,507,499,0,8,0,491,8,1400,901,169,175,44,26,6,11,44,3,13
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”RAZĂ DE SOARE”",46,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:55:35",1262,1256,0,5,1,599,593,0,5,1,593,6,1350,751,206,240,39,37,4,9,46,2,10
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TRENULEŢUL VESELIEI”",20,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:41:56",1261,1235,0,16,10,543,517,0,16,10,527,13,1356,816,152,205,58,26,15,14,38,3,16
6,BISTRIŢA-NĂSĂUD,"LICEUL CREȘTIN LOGOS",50,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:19",897,890,0,7,0,465,458,0,7,0,442,23,1005,540,176,176,26,14,6,8,28,0,8
6,BISTRIŢA-NĂSĂUD,"LICEUL CU PROGRAM SPORTIV",49,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:55:00",1542,1520,7,15,0,815,800,0,15,0,804,11,1700,885,317,303,64,24,11,13,53,8,11
6,BISTRIŢA-NĂSĂUD,"LICEUL CU PROGRAM SPORTIV",48,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:31:07",1303,1268,6,6,23,587,558,0,6,23,575,12,1400,813,210,214,60,36,4,6,27,5,13
6,BISTRIŢA-NĂSĂUD,"LICEUL DE MUZICĂ ”TUDOR JARDA”",3,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:14:26",1179,1118,3,34,24,507,471,0,12,24,491,15,1255,747,160,170,47,43,3,6,25,3,34
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC",21,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:51:49",1831,1795,7,11,18,817,789,0,11,17,785,32,2000,1183,312,297,56,28,9,22,43,3,15
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",17,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:25:51",1593,1582,0,11,0,739,728,0,11,0,734,5,1750,1011,252,285,52,56,6,16,40,6,21
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",16,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:20",1712,1697,5,10,0,821,811,0,10,0,818,3,1910,1089,238,323,74,55,5,7,78,9,29
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC GRIGORE MOISIL",18,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:26:40",1578,1566,3,9,0,665,656,0,9,0,654,11,1700,1035,241,239,61,22,7,9,57,2,16
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC GRIGORE MOISIL",19,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:05:09",1812,1796,6,10,0,850,840,0,10,0,831,19,2026,1176,315,314,70,33,8,11,58,9,13
6,BISTRIŢA-NĂSĂUD,"POLIȚIA LOCALĂ-PUNCT DE LUCRU SUBCETATE",22,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:14:16",1440,1431,2,7,0,836,829,0,7,0,803,33,1550,714,312,311,71,33,5,11,47,3,10
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA MUNICIPIULUI BISTRIŢA, DIRECŢIA ECONOMICĂ-VENITURI",4,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:21:09",1990,1979,0,10,1,987,976,0,10,1,963,24,2150,1163,324,412,59,57,14,18,60,2,17
6,BISTRIŢA-NĂSĂUD,"”ROTARY CLUB” BISTRIŢA NOSA",45,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:56:21",1016,995,13,4,4,1016,995,13,4,4,981,27,2250,1234,326,419,67,41,9,15,75,5,24
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",37,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:46:29",1173,1166,0,7,0,540,533,0,7,0,518,11,1300,771,153,232,33,38,10,3,31,4,14
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",36,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:45:12",1205,1193,3,7,2,562,553,0,7,2,553,9,1300,738,170,239,41,32,4,7,42,2,16
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",15,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:32:18",1619,1611,0,8,0,782,774,0,8,0,767,15,1735,953,242,290,72,60,5,15,57,5,21
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",13,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:08",1585,1581,2,2,0,689,686,1,2,0,675,12,1800,1111,240,275,33,38,4,11,54,5,15
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",14,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:11:49",1574,1566,0,8,0,690,682,0,8,0,666,12,1705,1027,217,255,47,68,5,9,51,4,10
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",10,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:40:33",1359,1348,1,10,0,638,628,0,10,0,627,11,1500,862,200,259,35,35,10,9,56,1,22
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",11,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:14:43",1115,1092,1,7,15,543,521,0,7,15,533,10,1250,707,153,236,37,39,6,4,32,8,18
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",8,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:02",997,991,1,5,0,442,437,0,5,0,437,5,1100,658,157,156,28,21,6,6,36,6,21
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",9,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:16",1096,1089,1,6,0,448,442,0,6,0,441,7,1200,752,139,184,37,22,2,8,36,3,10
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 4",32,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:02:30",1726,1715,6,4,1,822,817,0,4,1,805,17,1900,1078,282,291,70,39,13,16,68,8,18
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 4",31,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:44:25",1709,1701,4,4,0,923,919,0,4,0,917,6,1900,977,380,357,57,21,4,7,72,5,14
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ NR. 4",33,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:52:36",1231,1221,0,10,0,493,483,0,10,0,484,9,1350,857,174,196,34,18,2,4,44,1,11
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 7 VIIŞOARA",57,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:52:29",1552,1523,4,24,1,673,648,0,24,1,646,27,1770,1097,253,228,82,10,8,8,35,9,13
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR.7 VIIŞOARA",58,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:07:11",1205,1194,7,4,0,554,550,0,4,0,543,11,1370,816,225,193,48,20,3,7,32,4,11
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”ŞTEFAN CEL MARE”",40,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:13",1343,1326,7,10,0,608,598,0,10,0,592,6,1506,898,200,248,38,22,5,5,52,3,19
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”ŞTEFAN CEL MARE”",39,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:23:12",1221,1174,4,8,35,624,581,0,8,35,616,8,1300,676,193,243,50,35,10,9,49,8,19
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ ȘTEFAN CEL MARE",41,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:39",1330,1318,6,6,0,606,600,0,6,0,595,11,1500,894,222,231,35,19,4,12,49,1,22
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ ȘTEFAN CEL MARE",42,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:27",899,881,2,15,1,423,407,0,15,1,418,5,1000,577,154,155,29,30,5,6,30,3,6
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ SĂRATA",52,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:47:03",1021,1009,8,4,0,467,461,2,4,0,444,23,1150,683,129,112,48,136,1,1,9,5,3
6,BISTRIŢA-NĂSĂUD,"ȘCOALA PROFESIONALĂ SPECIALĂ ”SFÂNTA MARIA” BISTRIŢA",7,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:12:49",1233,1218,4,10,1,566,555,0,10,1,554,12,1354,788,182,206,37,37,8,9,34,9,32
6,BISTRIŢA-NĂSĂUD,"UNIVERSITATEA ”BABEŞ-BOLYAI” CLUJ-NAPOCA, EXTENSIA UNIVERSITARĂ BISTRIŢA",30,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:32",1459,1453,0,6,0,539,533,0,6,0,523,7,1600,1060,192,198,44,20,5,6,42,4,12
6,BISTRIŢA-NĂSĂUD,"UNIVERSITATEA ”BABEŞ-BOLYAI” CLUJ-NAPOCA, EXTENSIA UNIVERSITARĂ BISTRIŢA",29,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:39:24",1716,1705,0,11,0,688,677,0,11,0,677,6,1900,1215,220,268,75,47,3,5,36,5,18
