precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TURC IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","LAZANY GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DOBRANIŞ GEORGETA-RODICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TONIUC ALEXANDRU-MARIAN-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","STAN CĂLIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 9",28,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:17",1200,1177,8,14,1,599,584,0,14,1,580,19,1300,701,239,269,34,17,21
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL UNIREA",55,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:58:46",1910,1901,4,5,0,974,969,0,5,0,962,12,2100,1119,424,425,57,13,43
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL UNIREA",56,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:05:33",1703,1689,5,8,1,873,864,0,8,1,848,25,1850,968,357,417,43,9,22
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CĂSUŢA CU POVEŞTI”",24,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:42",1160,1151,0,9,0,469,460,0,9,0,466,3,1300,831,205,190,25,14,32
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",2,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:06",1029,1016,5,8,0,395,386,1,8,0,374,12,1100,705,192,129,25,12,16
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 12",34,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:35:50",1215,1211,0,4,0,541,537,0,4,0,531,10,1350,809,225,240,27,13,26
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",38,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:47:45",1239,1225,3,10,1,596,585,0,10,1,587,9,1400,804,259,254,28,18,28
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 6",5,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:23",1352,1345,1,5,1,613,607,0,5,1,592,21,1500,887,266,254,33,8,31
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 6",6,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:29:44",1288,1277,3,8,0,507,499,0,8,0,493,7,1400,900,227,195,28,11,32
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”RAZĂ DE SOARE”",46,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:55:35",1262,1256,0,5,1,599,593,0,5,1,590,9,1350,751,269,248,33,13,27
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TRENULEŢUL VESELIEI”",20,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:41:56",1261,1235,0,16,10,543,517,0,16,10,531,12,1356,813,197,236,42,38,18
6,BISTRIŢA-NĂSĂUD,"LICEUL CREȘTIN LOGOS",50,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:19",897,890,0,7,0,465,458,0,7,0,446,19,1014,549,207,193,13,12,21
6,BISTRIŢA-NĂSĂUD,"LICEUL CU PROGRAM SPORTIV",49,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:55:01",1542,1520,7,15,0,815,800,0,15,0,802,13,1700,885,367,371,27,11,26
6,BISTRIŢA-NĂSĂUD,"LICEUL CU PROGRAM SPORTIV",48,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:31:07",1303,1268,6,6,23,587,558,0,6,23,578,9,1400,813,271,234,47,7,19
6,BISTRIŢA-NĂSĂUD,"LICEUL DE MUZICĂ ”TUDOR JARDA”",3,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:14:26",1179,1118,3,34,24,507,471,0,12,24,493,14,1250,743,209,224,31,9,20
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC",21,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:49",1831,1795,7,11,18,817,789,0,11,17,799,18,2000,1183,381,335,35,12,36
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",17,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:51",1593,1582,0,11,0,739,728,0,11,0,732,7,1750,1011,313,329,43,19,28
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC ”GRIGORE MOISIL”",16,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:19",1712,1697,5,10,0,821,811,0,10,0,816,5,1900,1079,299,405,51,14,47
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC GRIGORE MOISIL",18,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:26:43",1578,1566,3,9,0,665,656,0,9,0,656,8,1700,1036,293,275,40,13,35
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC GRIGORE MOISIL",19,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:05:10",1812,1796,6,10,0,850,840,0,10,0,837,13,2003,1153,390,333,64,12,38
6,BISTRIŢA-NĂSĂUD,"POLIȚIA LOCALĂ-PUNCT DE LUCRU SUBCETATE",22,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:14:16",1440,1431,2,7,0,836,829,0,7,0,812,24,1550,714,369,347,58,13,25
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA MUNICIPIULUI BISTRIŢA, DIRECŢIA ECONOMICĂ-VENITURI",4,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:21:08",1990,1979,0,10,1,987,976,0,10,1,968,19,2150,1163,401,467,35,27,38
6,BISTRIŢA-NĂSĂUD,"”ROTARY CLUB” BISTRIŢA NOSA",45,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:56:21",1016,995,13,4,4,1016,995,13,4,4,993,18,2245,1234,379,497,49,29,39
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",37,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:46:29",1173,1166,0,7,0,540,533,0,7,0,519,14,1300,767,195,267,12,11,34
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU”",36,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:45:14",1205,1193,3,7,2,562,553,0,7,2,546,16,1300,738,218,269,20,13,26
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",15,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:32:18",1619,1611,0,8,0,782,774,0,8,0,768,9,1750,964,321,351,41,8,47
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",13,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:08",1585,1581,2,2,0,689,686,1,2,0,681,8,1800,1111,307,308,14,15,37
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”LUCIAN BLAGA”",14,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:11:50",1574,1566,0,8,0,690,682,0,8,0,672,10,1293,611,284,309,33,10,36
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",10,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:32",1359,1348,1,10,0,638,628,0,10,0,624,14,1500,862,260,287,26,17,34
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",11,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:14:44",1115,1092,1,7,15,543,521,0,7,15,537,5,1250,708,202,273,26,12,24
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",8,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:02",997,991,1,5,0,442,437,0,5,0,435,7,1100,658,201,175,21,12,26
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 1",9,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:16",1096,1089,1,6,0,448,442,0,6,0,443,5,1200,752,167,207,32,12,25
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 4",32,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:31",1726,1715,6,4,1,822,817,0,4,1,810,12,1900,1078,358,335,51,18,48
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 4",31,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:44:27",1709,1701,4,4,0,923,919,0,4,0,899,12,1900,989,423,403,30,7,36
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ NR. 4",33,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:35",1231,1221,0,10,0,493,483,0,10,0,484,9,1350,857,219,214,25,3,23
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR. 7 VIIŞOARA",57,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:52:30",1552,1523,4,24,1,673,648,0,24,1,650,23,1770,1097,303,255,62,11,19
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NR.7 VIIŞOARA",58,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:11",1205,1194,7,4,0,554,550,0,4,0,543,11,1370,816,264,229,31,6,13
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”ŞTEFAN CEL MARE”",40,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:18:42",1343,1326,7,10,0,608,598,0,10,0,590,8,1506,898,263,258,24,15,30
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”ŞTEFAN CEL MARE”",39,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:23:12",1221,1174,4,8,35,624,581,0,8,35,610,14,1300,676,261,280,31,13,25
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ ȘTEFAN CEL MARE",41,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:39",1330,1318,6,6,0,606,600,0,6,0,589,17,1500,894,277,252,23,8,29
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GIMNAZIALĂ ȘTEFAN CEL MARE",42,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:27",899,881,2,15,1,423,407,0,15,1,417,6,1000,577,194,173,23,9,18
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ SĂRATA",52,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:04",1021,1009,8,4,0,467,461,2,4,0,443,24,1150,683,222,158,43,9,11
6,BISTRIŢA-NĂSĂUD,"ȘCOALA PROFESIONALĂ SPECIALĂ ”SFÂNTA MARIA” BISTRIŢA",7,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:49",1233,1218,4,10,1,566,555,0,10,1,550,16,1342,776,253,236,24,15,22
6,BISTRIŢA-NĂSĂUD,"UNIVERSITATEA ”BABEŞ-BOLYAI” CLUJ-NAPOCA, EXTENSIA UNIVERSITARĂ BISTRIŢA",30,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:32",1459,1453,0,6,0,539,533,0,6,0,526,8,1600,1061,253,197,29,13,34
6,BISTRIŢA-NĂSĂUD,"UNIVERSITATEA ”BABEŞ-BOLYAI” CLUJ-NAPOCA, EXTENSIA UNIVERSITARĂ BISTRIŢA",29,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:39:22",1716,1705,0,11,0,688,677,0,11,0,685,3,1900,1209,279,316,41,18,31
