precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi"
4,BACĂU,"CĂMIN CULTURAL",375,"GURA VĂII",20607,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:31:03",931,922,0,3,6,474,465,0,3,6,429,45,1000,526,8,43,32,320,6,0,14,1,1,4
4,BACĂU,"CĂMIN CULTURAL COȚOFĂNEȘTI",318,COŢOFĂNEŞTI,22059,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:46:26",953,926,0,6,21,601,574,0,6,21,533,68,1000,399,12,135,40,287,29,14,7,6,3,0
4,BACĂU,"CAMIN CULTURAL DEALU MORII",325,"DEALU MORII",22237,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:51",830,785,1,9,35,527,483,0,9,35,475,52,909,382,14,57,28,342,11,2,19,1,1,0
4,BACĂU,"CAMIN CULTURAL DRĂGUGEŞTI",383,HELEGIU,22898,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:23",1196,1180,0,8,8,557,541,0,8,8,490,67,1300,743,5,103,83,241,7,0,47,4,0,0
4,BACĂU,"CĂMIN CULTURAL FĂGET",360,GHIMEŞ-FĂGET,22718,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:14",1106,1102,0,4,0,605,601,0,4,0,564,41,1200,595,394,37,20,83,8,2,10,4,3,3
4,BACĂU,"CAMIN CULTURAL FLORESTI",574,SCORŢENI,25291,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:42:16",567,557,0,7,3,302,292,0,7,3,280,22,600,298,6,85,30,58,64,0,15,3,18,1
4,BACĂU,"CAMIN CULTURAL GRIGORENI",575,SCORŢENI,25291,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:32:21",662,643,1,7,11,388,369,1,7,11,358,30,700,312,2,240,23,38,18,1,17,10,7,2
4,BACĂU,"CAMIN CULTURAL SAUCESTI",567,SĂUCEŞTI,25228,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:53",1170,1164,2,1,3,588,584,0,1,3,537,51,1300,712,11,98,93,238,40,13,21,7,15,1
4,BACĂU,"CĂMINUL CULTURAL BOANŢA",347,FILIPEŞTI,22576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:17:25",268,252,0,15,1,146,130,0,15,1,137,9,300,154,4,79,21,20,4,3,1,4,1,0
4,BACĂU,"CAMINUL CULTURAL BOGATA",331,DOFTEANA,22380,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:28:46",692,677,1,8,6,360,345,1,8,6,333,27,800,440,5,54,45,181,23,1,16,0,7,1
4,BACĂU,"CĂMINUL CULTURAL CIUMAŞI",401,ITEŞTI,26379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:15",146,137,0,5,4,92,83,0,5,4,90,2,200,108,2,41,34,5,3,3,1,0,1,0
4,BACĂU,"CĂMINUL CULTURAL COȘNEA",233,AGĂŞ,21007,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:23:41",332,326,0,6,0,165,159,0,6,0,145,20,400,235,40,26,1,74,0,3,1,0,0,0
4,BACĂU,"CĂMINUL CULTURAL DIN SATUL BORŞANI",320,COŢOFĂNEŞTI,22059,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:44:21",580,565,0,5,10,334,319,0,5,10,317,6,600,266,6,19,43,220,16,0,11,0,1,1
4,BACĂU,"CĂMINUL CULTURAL FRUMUŞELU",370,GLĂVĂNEŞTI,22834,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:56:15",960,945,1,12,2,593,579,0,12,2,567,26,1000,407,10,312,20,177,17,2,22,2,5,0
4,BACĂU,"CĂMINUL CULTURAL GLĂVĂNEŞTI",369,GLĂVĂNEŞTI,22834,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:19",1324,1324,0,0,0,738,738,0,0,0,673,65,1500,762,31,245,70,267,19,5,21,7,3,5
4,BACĂU,"CĂMINUL CULTURAL HEMEIUŞ",385,HEMEIUŞ,20313,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:13:43",1569,1556,5,6,2,791,782,1,6,2,752,27,1700,912,4,355,70,139,48,20,84,7,17,8
4,BACĂU,"CĂMINUL CULTURAL ITEŞTI",400,ITEŞTI,26379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:29:47",746,713,0,19,14,458,425,0,19,14,433,23,805,349,4,277,87,35,15,3,8,2,2,0
4,BACĂU,"CAMINUL CULTURAL MAGIRESTI",427,MĂGIREŞTI,23387,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:39",1018,1008,0,2,8,553,543,0,2,8,512,31,1100,256,5,315,47,103,14,4,11,8,5,0
4,BACĂU,"CĂMINUL CULTURAL ”OLGA MARIA TUDORACHE” OITUZ",472,OITUZ,23797,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:48:14",1011,1009,0,1,1,398,396,0,1,1,369,27,1100,704,6,207,45,81,22,2,4,1,1,0
4,BACĂU,"CĂMINUL CULTURAL PODU TURCULUI",527,"PODU TURCULUI",24524,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:31",1743,1733,0,5,5,968,958,0,5,5,914,50,1900,936,17,164,115,410,36,9,144,6,13,0
4,BACĂU,"CAMINUL CULTURAL SAT LEHANCEA",530,"PODU TURCULUI",24524,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:14:54",492,486,0,6,0,261,255,0,6,0,225,36,500,239,7,62,14,112,6,0,24,0,0,0
4,BACĂU,"CĂMINUL CULTURAL SATUL BOTEŞTI",621,UNGURENI,25932,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:31:01",724,719,0,1,4,337,332,0,1,4,296,41,800,463,13,138,6,123,7,1,6,1,0,1
4,BACĂU,"CĂMINUL CULTURAL SATUL CĂBEŞTI",529,"PODU TURCULUI",24524,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:35:41",663,656,0,7,0,373,366,0,7,0,344,29,700,327,4,125,22,129,20,3,34,5,2,0
4,BACĂU,"CĂMINUL CULTURAL SATUL CIUGHEŞ",486,PALANCA,23975,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:49:20",1397,1385,1,11,0,694,683,0,11,0,616,78,1500,806,31,86,89,379,15,7,5,3,1,0
4,BACĂU,"CĂMINUL CULTURAL SATUL CORNĂŢEL",624,URECHEŞTI,26029,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:26:54",705,703,0,2,0,374,372,0,2,0,335,39,800,426,10,73,28,95,11,4,109,3,2,0
4,BACĂU,"CĂMINUL CULTURAL SATUL MĂNĂSTIREA CAŞIN",438,"MĂNĂSTIREA CAŞIN",23449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:57:27",549,546,0,0,3,296,293,0,0,3,277,19,600,304,2,142,12,101,8,0,8,1,2,1
4,BACĂU,"CĂMINUL CULTURAL SATUL MĂNĂSTIREA CAŞIN",436,"MĂNĂSTIREA CAŞIN",23449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:35:10",1486,1478,0,5,3,789,781,0,5,3,716,73,1600,806,4,290,23,356,20,1,14,5,2,1
4,BACĂU,"CĂMINUL CULTURAL SATUL ONCEŞTI",478,ONCEŞTI,23868,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:41:55",733,724,0,7,2,393,384,0,7,2,346,47,800,407,10,51,52,184,6,2,30,5,2,4
4,BACĂU,"CĂMINUL CULTURAL SATUL RĂCHITOASA",543,RĂCHITOASA,24837,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:07:45",1103,1045,0,20,38,562,504,0,20,38,511,51,1200,636,11,67,39,333,33,3,7,17,1,0
4,BACĂU,"CĂMINUL CULTURAL UNGURENI",618,UNGURENI,25932,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:48:05",781,752,0,9,20,412,383,0,9,20,385,26,800,381,10,93,15,244,10,4,1,4,2,2
4,BACĂU,"CASA DE CULTURĂ ”ELISABETA BOSTAN”",182,"ORAŞ BUHUŞI",20778,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:46",1474,1466,2,4,2,589,583,0,4,2,554,29,1600,1011,12,176,118,157,25,12,34,8,11,1
4,BACĂU,"CASA DE CULTURA ”RADU BELIGAN” FILIPESTI",346,FILIPEŞTI,22576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:30:08",897,834,4,51,8,509,450,0,51,8,469,40,900,391,3,223,40,153,16,6,18,3,5,2
4,BACĂU,"CASA NATIONALA DE ASIGURĂRI DE SĂNĂTATE BACĂU",104,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:43:56",1693,1686,2,5,0,303,298,0,5,0,285,16,1907,1604,0,44,36,80,13,19,57,5,30,1
4,BACĂU,"CASA NATIONALĂ DE ASIGURĂRI DE SĂNĂTATE BACĂU",105,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:58",1241,1234,2,5,0,267,262,0,5,0,253,14,1400,1133,3,36,25,75,14,14,54,2,26,4
4,BACĂU,"CASA PRAZNICALA A PAROHIEI ADORMIREA MAICII DOMNULUI",245,ASĂU,21123,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:37",619,614,0,3,2,322,317,0,3,2,296,26,699,377,15,71,36,114,34,4,15,4,2,1
4,BACĂU,"CASA SATULUI SI TRADITIILOR",449,MOTOŞENI,23494,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:20:09",850,839,0,2,9,450,439,0,2,9,382,46,900,472,14,42,32,263,11,3,12,1,4,0
4,BACĂU,"CENTRU CULTURAL HÂRLEȘTI",350,FILIPEŞTI,22576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:10",681,657,0,21,3,430,406,0,21,3,402,28,700,270,0,283,24,62,24,2,7,0,0,0
4,BACĂU,"CENTRU DE SOCIALIZARE PENTRU PERSOANE VÂRSNICE DIN SAT CONȚEȘTI",555,SASCUT,25068,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:16",422,408,0,9,5,238,224,0,9,5,222,16,500,262,3,89,19,87,9,0,10,3,2,0
4,BACĂU,"CENTRU DE ZI LICHITISENI",632,VULTURENI,26118,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:01",273,249,0,8,16,273,249,0,8,16,225,24,400,151,4,81,21,60,4,0,53,1,0,1
4,BACĂU,"CENTRU DE ZI PENTRU PERSOANE ADULTE CU DIZABILITATI",229,"ORAŞ TÂRGU OCNA",20965,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:28",1155,1126,0,27,2,597,568,0,27,2,580,17,1200,603,14,176,69,220,34,12,38,10,3,4
4,BACĂU,"CENTRU EVENIMENTE POIENI",494,PARINCEA,24089,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:29:08",233,227,0,6,0,104,98,0,6,0,94,10,300,196,10,16,17,50,1,0,0,0,0,0
4,BACĂU,"CENTRUL 5",191,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:18:07",1097,1083,5,6,3,505,496,0,6,3,484,21,1200,695,11,190,45,152,26,19,29,1,9,2
4,BACĂU,"CENTRUL DE ZI ”CLUBUL PENSIONARILOR” BACĂU",106,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:04:08",1350,1253,0,32,65,588,491,0,32,65,564,24,1408,820,15,110,53,159,34,19,107,10,51,6
4,BACĂU,"CENTRUL EDUCAŢIONAL ÎNV.DUMITRU NEDIŢĂ TAMAŞI",600,TAMAŞI,25692,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:48:37",723,707,0,13,3,382,366,0,13,3,343,39,800,418,5,77,37,185,16,2,13,2,4,2
4,BACĂU,"CENTRUL SOCIAL SLOBOZIA",178,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:41:01",1051,1043,1,6,1,442,435,0,6,1,417,24,1100,658,3,96,41,228,26,3,14,5,0,1
4,BACĂU,"CENTRU MULTIFUNCȚIONAL ONIȘCANI",351,FILIPEŞTI,22576,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:01:31",429,410,0,17,2,246,227,0,17,2,237,9,500,254,3,163,12,43,11,0,1,2,1,1
4,BACĂU,"CENTRU RECREERE",381,HELEGIU,22898,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:21:34",815,809,1,3,2,363,358,0,3,2,335,28,900,537,7,146,39,78,13,6,35,3,5,3
4,BACĂU,"CENTRU TIP AFTER SCHOOL SĂUCEȘTI",568,SĂUCEŞTI,25228,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:06",993,988,2,0,3,507,502,2,0,3,480,26,1100,594,9,86,71,224,24,13,41,1,8,3
4,BACĂU,"CLĂDIRE ADMINISTRATIVĂ",376,"GURA VĂII",20607,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:30:12",98,92,0,6,0,60,54,0,6,0,57,3,100,40,1,20,6,29,0,0,1,0,0,0
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",70,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:02:57",1508,1505,3,0,0,548,548,0,0,0,517,31,1700,1152,6,86,44,147,21,27,100,13,70,3
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",69,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:15",1727,1718,1,8,0,634,626,0,8,0,612,22,1800,1166,10,100,60,148,50,28,126,6,77,7
4,BACĂU,"CLĂDIRE CĂMIN (CARE A APARȚINUT FOSTULUI COLEGIU TEHNIC ”LETEA”",71,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:13:14",1604,1597,0,6,1,579,572,0,6,1,542,37,1700,1121,9,80,70,150,40,30,93,5,65,0
4,BACĂU,"CLĂDIRE ŞIPOTENI (FOSTĂ ȘCOALĂ ȘIPOTENI)",207,"ORAŞ COMĂNEŞTI",20821,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:58:44",636,625,5,5,1,283,277,0,5,1,278,5,700,417,2,99,47,77,21,9,4,6,12,1
4,BACĂU,"CLUBUL ELEVILOR",224,"ORAŞ TÂRGU OCNA",20965,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:18",1310,1294,0,13,3,652,636,0,13,3,641,11,1500,848,3,209,47,273,23,18,37,18,12,1
4,BACĂU,"CLUBUL ELEVILOR",135,"MUNICIPIUL MOINEŞTI",20876,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:54:13",1263,1225,0,11,27,543,505,0,11,27,520,23,1400,856,5,169,58,152,87,15,19,7,5,3
4,BACĂU,"COLEGIUL ECONOMIC ”ION GHICA”",119,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:17",1248,1234,7,5,2,603,596,0,5,2,585,18,1400,797,5,133,38,146,21,25,162,13,38,4
4,BACĂU,"COLEGIUL ECONOMIC ”ION GHICA”",120,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:11:58",1011,1002,2,7,0,310,303,0,7,0,289,21,1100,790,1,46,50,60,25,17,59,7,24,0
4,BACĂU,"COLEGIUL ”MIHAI EMINESCU”",44,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:43:11",1274,1247,2,16,9,439,422,1,7,9,425,14,1400,961,6,62,55,109,41,19,84,9,38,2
4,BACĂU,"COLEGIUL ”MIHAI EMINESCU”",43,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:51:32",1021,1014,2,5,0,412,406,1,5,0,388,24,1100,688,4,89,33,114,21,18,62,9,32,6
4,BACĂU,"COLEGIUL NATIONAL COSTACHE NEGRI",225,"ORAŞ TÂRGU OCNA",20965,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:58",1445,1389,3,10,43,669,616,0,10,43,619,50,1500,831,4,141,83,277,26,13,52,12,10,1
4,BACĂU,"COLEGIUL NAȚIONAL DE ARTĂ ”GEORGE APOSTU”",49,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:07:26",691,678,6,6,1,283,276,0,6,1,271,12,806,523,4,61,28,76,14,9,54,6,16,3
4,BACĂU,"COLEGIUL NAȚIONAL ”DIMITRIE CANTEMIR”",162,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:33",1280,1271,1,8,0,518,510,0,8,0,500,18,1400,882,3,150,36,203,26,15,45,13,8,1
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",26,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:33",919,911,0,8,0,374,366,0,8,0,357,17,1000,626,6,78,39,86,13,9,89,8,25,4
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",27,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:11",1451,1440,6,5,0,554,549,0,5,0,536,18,1600,1046,0,100,31,164,19,28,130,5,55,4
4,BACĂU,"COLEGIUL NAŢIONAL ”FERDINAND I”",25,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:46",1074,1064,1,9,0,434,425,0,9,0,421,13,1200,766,8,67,42,123,18,17,100,7,38,1
4,BACĂU,"COLEGIUL NAȚIONAL ”FERDINAND I”",28,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:03:20",1161,1154,1,6,0,464,458,0,6,0,449,15,1300,836,3,95,46,109,22,14,117,9,31,3
4,BACĂU,"COLEGIUL NAȚIONAL ”FERDINAND I”",29,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:35:07",1497,1491,0,6,0,646,640,0,6,0,622,24,1700,1054,3,131,58,187,29,37,123,14,34,6
4,BACĂU,"COLEGIUL NAŢIONAL ”GHEORGHE VRÂNCEANU”",22,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:34:31",1368,1356,2,10,0,656,646,0,10,0,632,24,1504,848,4,138,55,140,21,30,185,14,40,5
4,BACĂU,"COLEGIUL NAŢIONAL ”GHEORGHE VRÂNCEANU”",23,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:01:42",1201,1194,2,5,0,475,470,0,5,0,459,16,1300,825,4,95,24,127,23,18,115,8,42,3
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",146,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:39",888,879,0,6,3,309,300,0,6,3,305,4,1000,691,2,59,24,151,21,9,20,9,9,1
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",145,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:03:12",1027,1020,0,5,2,366,359,0,5,2,349,17,1100,734,8,93,26,163,17,12,17,7,5,1
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",143,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:33:43",1314,1306,0,5,3,530,523,0,5,2,513,17,1500,970,6,137,42,212,29,15,46,17,7,2
4,BACĂU,"COLEGIUL NAŢIONAL ”GRIGORE C.MOISIL”",144,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:14:44",1007,993,3,9,2,362,351,0,9,2,342,20,1100,738,3,102,23,155,11,7,27,3,9,2
4,BACĂU,"COLEGIUL NAȚIONAL ”GRIGORE C.MOISIL”",147,"MUNICIPIUL ONEŞTI",20563,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:55",1343,1322,0,8,13,542,521,0,8,13,517,25,1500,958,8,218,40,160,33,7,27,13,10,1
4,BACĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”ŞTEFAN CEL MARE”",51,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:29",1442,1395,15,6,26,526,494,0,6,26,497,29,1513,987,5,81,50,160,23,14,115,15,31,3
4,BACĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”ŞTEFAN CEL MARE”",50,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:25:16",1254,1242,3,9,0,502,493,0,9,0,487,15,1400,898,5,115,45,120,16,19,115,5,42,5
4,BACĂU,"COLEGIUL NATIONAL ”VASILE ALECSANDRI”",47,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:39:15",821,810,2,9,0,331,322,0,9,0,323,8,900,569,9,85,36,63,18,16,52,12,26,6
4,BACĂU,"COLEGIUL NATIONAL ”VASILE ALECSANDRI”",48,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:03:50",810,801,1,8,0,341,333,0,8,0,322,19,900,559,7,63,29,62,15,26,77,4,38,1
4,BACĂU,"COLEGIUL ”N.VASILESCU-KARPEN”",40,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:39:40",1548,1539,1,8,0,625,617,0,8,0,601,24,1700,1075,4,105,68,150,27,23,132,15,70,7
4,BACĂU,"COLEGIUL ”N.VASILESCU-KARPEN”",39,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:49:58",1350,1342,0,8,0,209,201,0,8,0,204,5,1500,1291,3,45,24,45,9,9,58,5,6,0
