precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂRCULESCU DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","GEORGESCU ALADIN-GIGI-PARTIDUL SOCIAL DEMOCRAT-voturi","CHIRCU DOINIŢA-MARIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CUPĂ MARIA-RAMONA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","VIŞAN SEVER-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DRĂGHIA GEORGETA-PARTIDUL S.O.S. ROMÂNIA-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL GÂRLA MARE",175,"GÂRLA MARE",111783,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:52:05",1721,1570,2,81,68,956,806,1,81,68,889,67,1721,765,510,325,32,16,3,3
27,MEHEDINŢI,"CĂMINUL CULTURAL GÂRLA MARE",176,"GÂRLA MARE",111783,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:42:01",1274,1101,1,137,35,766,593,1,137,35,736,30,1207,441,277,410,49,0,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL GHEORGHEȘTI",238,PONOARELE,112995,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:29:43",518,505,0,10,3,352,339,0,10,3,334,18,556,204,78,134,54,55,3,10
27,MEHEDINŢI,"CĂMINUL CULTURAL GORNENŢI",234,PODENI,112959,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:32:53",138,118,0,15,5,104,84,0,15,5,104,0,133,29,5,73,7,15,4,0
27,MEHEDINŢI,"CĂMINUL CULTURAL GORNOVIŢA",108,BALTA,110456,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:50:02",192,145,0,45,2,154,107,0,45,2,145,9,209,55,76,51,7,10,0,1
27,MEHEDINŢI,"CĂMINUL CULTURAL GRECI",182,GRECI,111916,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:55:59",547,419,0,94,34,433,305,0,94,34,419,14,496,63,146,219,34,7,2,11
27,MEHEDINŢI,"CĂMINUL CULTURAL GRUIA",188,GRUIA,112030,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:59:23",675,613,0,41,21,464,402,0,41,21,386,12,673,271,62,301,13,1,3,6
27,MEHEDINŢI,"CĂMINUL CULTURAL IZIMŞA",221,"OBÂRŞIA DE CÂMP",112744,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:18:05",836,725,1,50,60,616,506,0,50,60,558,58,872,156,135,339,57,27,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL IZVORU BÎRZII",204,"IZVORU BÂRZII",112469,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:17:01",1172,1086,0,82,4,819,733,0,82,4,797,22,1182,363,401,317,33,24,2,20
27,MEHEDINŢI,"CĂMINUL CULTURAL JIROV",148,CORCOVA,111275,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 22:19:15",1278,1214,0,52,12,781,717,0,52,12,697,44,1335,594,181,393,61,13,3,46
27,MEHEDINŢI,"CĂMINUL CULTURAL LIVEZILE",212,LIVEZILE,112600,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:56:50",761,637,0,92,32,556,432,0,92,32,538,18,722,166,37,434,30,29,1,7
27,MEHEDINŢI,"CĂMINUL CULTURAL MALOVĂŢ",215,MALOVĂŢ,112664,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:05:24",1064,951,0,95,18,730,617,0,95,18,707,23,1064,333,61,518,73,24,19,12
27,MEHEDINŢI,"CĂMINUL CULTURAL NOU-DÎRVARI",157,DÂRVARI,111550,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:59:22",1137,1009,0,39,89,763,635,0,39,89,692,25,1219,459,30,571,7,50,0,34
27,MEHEDINŢI,"CĂMINUL CULTURAL OBÂRŞIA DE CÂMP",220,"OBÂRŞIA DE CÂMP",112744,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:39:36",722,587,1,77,57,522,387,1,77,57,504,18,637,112,45,353,18,66,9,13
27,MEHEDINŢI,"CĂMINUL CULTURAL OPRIȘOR",222,OPRIŞOR,112771,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:08:35",719,650,0,36,33,465,396,0,36,33,434,23,721,264,125,201,46,50,3,9
27,MEHEDINŢI,"CĂMINUL CULTURAL OREVIŢA MARE",94,"ORAŞ VÂNJU MARE",110232,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:37:42",614,575,3,18,18,394,356,3,18,17,394,0,636,242,136,233,19,1,2,3
27,MEHEDINŢI,"CĂMINUL CULTURAL OSTROVU CORBULUI",194,HINOVA,112076,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:13:31",377,315,1,57,4,264,203,0,57,4,258,6,373,109,89,125,23,9,3,9
27,MEHEDINŢI,"CĂMINUL CULTURAL PĂDINA MARE",225,PĂDINA,112806,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:01:34",268,183,0,76,9,212,127,0,76,9,208,1,222,13,26,74,99,5,4,0
27,MEHEDINŢI,"CĂMINUL CULTURAL PĂTULELE",229,PĂTULELE,112879,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:58:09",1163,1064,0,52,47,816,717,0,52,47,778,38,1212,396,360,347,38,12,4,17
27,MEHEDINŢI,"CĂMINUL CULTURAL PERI",197,HUSNICIOARA,112129,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 22:49:10",416,309,0,102,5,334,227,0,102,5,323,11,437,103,136,149,19,16,0,3
27,MEHEDINŢI,"CĂMINUL CULTURAL PODENI",233,PODENI,112959,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:12:42",530,503,1,11,15,374,348,1,11,14,347,27,547,173,28,221,52,22,21,3
27,MEHEDINŢI,"CĂMINUL CULTURAL PONOARELE",235,PONOARELE,112995,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:30:59",855,789,4,51,11,601,539,0,51,11,576,25,871,270,129,314,70,35,0,28
27,MEHEDINŢI,"CĂMINUL CULTURAL PREJNA",109,BALTA,110456,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:10:42",293,213,0,73,7,242,162,0,73,7,236,6,343,101,101,105,11,15,1,3
27,MEHEDINŢI,"CĂMINUL CULTURAL PRISTOL",242,PRISTOL,113206,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:17:48",890,737,0,99,54,555,402,0,99,54,547,8,811,256,63,340,129,7,0,8
27,MEHEDINŢI,"CĂMINUL CULTURAL PUNGHINA",249,PUNGHINA,113395,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:10:59",947,925,0,22,0,499,477,0,22,0,493,6,1000,501,18,467,6,0,0,2
27,MEHEDINŢI,"CĂMINUL CULTURAL ROCŞORENI",168,DUMBRAVA,111587,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:56:52",90,70,0,16,4,69,49,0,16,4,64,5,86,17,2,53,1,8,0,0
27,MEHEDINŢI,"CĂMINUL CULTURAL ŞIŞEŞTI",269,ŞIŞEŞTI,113625,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:47",1003,912,0,42,49,605,514,0,42,49,593,12,1005,400,39,448,68,9,7,22
27,MEHEDINŢI,"CĂMINUL CULTURAL SLAŞOMA",228,PĂDINA,112806,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:17:22",446,313,0,85,48,368,235,0,85,48,348,20,395,27,153,158,14,14,4,5
27,MEHEDINŢI,"CĂMINUL CULTURAL VECHI-GEMENI",158,DÂRVARI,111550,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:26:45",877,801,0,33,43,613,537,0,33,43,613,0,940,327,119,433,6,48,0,7
27,MEHEDINŢI,"CĂMINUL CULTURAL VIAŞU",232,PĂTULELE,112879,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:22:12",419,377,0,17,25,311,269,0,17,25,304,7,438,127,199,90,9,2,0,4
27,MEHEDINŢI,"CĂMINUL CULTURAL VRATA",290,VRATA,114079,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:23",1684,1471,1,118,94,934,721,1,118,94,891,43,1618,684,212,613,32,15,4,15
27,MEHEDINŢI,"CENTRUL DE ZI TÂMNA",275,TÂMNA,113732,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 11:08:50",539,470,0,56,13,398,334,0,51,13,377,21,533,135,20,203,119,15,0,20
27,MEHEDINŢI,"CENTRUL TURISTIC PENTRU ACTIVITĂȚI CULTURALE SI SPORTIVE",127,BROŞTENI,110875,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:24:56",1149,1035,0,96,18,828,714,0,96,18,802,26,1157,329,117,442,194,28,1,20
27,MEHEDINŢI,"CLĂDIRE FOSTA ŞCOALĂ VALEA MARCULUI",169,DUMBRAVA,111587,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:40",109,85,0,20,4,93,69,0,20,4,92,1,99,6,9,80,1,2,0,0
27,MEHEDINŢI,"CLĂDIRE FOSTĂ ŞCOALĂ VLĂDICA",170,DUMBRAVA,111587,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:31",67,45,0,20,2,58,36,0,20,2,55,3,70,12,4,31,4,16,0,0
27,MEHEDINŢI,"CLUBUL COPIILOR",70,"MUNICIPIUL ORŞOVA",110063,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:10:09",1189,1165,0,12,12,551,527,0,12,12,528,23,1284,733,129,209,138,36,4,12
27,MEHEDINŢI,"CLUBUL COPIILOR",69,"MUNICIPIUL ORŞOVA",110063,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:09",912,894,0,16,2,405,387,0,16,2,387,18,1012,607,118,153,86,22,3,5
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ECONOMIC ”THEODOR COSTESCU”",16,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:20:40",978,964,0,14,0,379,365,0,14,0,354,25,1066,687,77,168,40,43,13,13
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”GHEORGHE ȚIȚEICA”",14,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:24:16",1100,1092,0,8,0,419,411,0,8,0,403,16,1188,769,96,188,46,46,11,16
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”GHEORGHE ȚIȚEICA”",15,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:10",1031,1020,1,9,1,392,382,0,9,1,367,25,1251,859,78,180,32,59,5,13
27,MEHEDINŢI,"COLEGIUL NAȚIONAL ”TRAIAN”",2,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:33:14",1294,1273,5,7,9,521,506,0,6,9,500,21,1432,911,106,252,57,54,10,21
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DECEBAL”",48,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:50",1306,1293,0,10,3,516,503,0,10,3,495,21,1454,938,106,246,69,46,12,16
27,MEHEDINŢI,"COLEGIUL TEHNIC DIERNA",71,"MUNICIPIUL ORŞOVA",110063,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:51:47",1361,1321,0,37,3,623,583,0,37,3,602,21,1503,880,188,231,109,47,3,24
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",28,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:45:36",1067,1058,1,5,3,429,421,0,5,3,414,15,1126,697,79,237,40,31,8,19
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",27,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:34:09",832,825,1,4,2,330,324,0,4,2,310,20,910,580,62,142,49,38,7,12
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",30,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 09:41:55",1209,1199,0,10,0,438,428,0,10,0,434,4,1361,923,74,224,68,45,7,16
27,MEHEDINŢI,"COLEGIUL TEHNIC ”DOMNUL TUDOR”",29,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:03:05",1217,1201,0,9,7,481,465,0,9,7,458,23,1367,886,94,240,51,51,9,13
27,MEHEDINŢI,"COLEGIUL TEHNIC ”LORIN SĂLĂGEAN” (LICEUL INDUSTRIAL NR.4)",32,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:03:49",438,424,0,11,3,420,406,0,11,3,376,30,1178,772,73,197,47,41,7,11
27,MEHEDINŢI,"CONSILIUL LOCAL DROBETA-TURNU SEVERIN - PALATUL CULTURII ”TEODOR COSTESCU”",1,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:29:13",1287,1270,0,11,6,545,528,0,11,6,515,30,1410,865,122,231,73,57,9,23
27,MEHEDINŢI,"CONTAINER MODULAR FIX-CURTEA ŞCOLII GENERALE I-IV ŞUŞIŢA",187,GROZEŞTI,111989,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:57:52",394,374,0,14,6,257,237,0,14,6,247,10,412,155,54,174,6,11,0,2
27,MEHEDINŢI,"DIRECȚIA GENERALĂ DE ASISTENȚĂ ȘI PROTECȚIA COPILULUI MEHEDINȚI",24,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:02:29",1578,1560,2,12,4,601,585,0,12,4,567,18,1764,1163,108,302,71,59,9,18
27,MEHEDINŢI,"DIRECȚIA GENERALĂ DE ASISTENȚĂ ȘI PROTECȚIA COPILULUI MEHEDINȚI",25,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:13",1359,1344,0,9,6,442,427,0,9,6,423,19,1483,1041,101,211,50,48,7,6
27,MEHEDINŢI,"FOSTA CANCELARIE-ȘCOALA GENERALĂ DRINCEA",251,PUNGHINA,113395,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:26:34",239,235,0,4,0,159,155,0,4,0,159,0,258,99,3,147,0,3,0,6
27,MEHEDINŢI,"FOSTA PRIMĂRIE EIBENTHAL",165,DUBOVA,112904,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:57:30",350,252,0,82,16,262,164,0,82,16,257,5,281,19,84,156,10,2,2,3
27,MEHEDINŢI,"FOSTA ŞCOALĂ BAIA NOUĂ",164,DUBOVA,112904,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 21:25:45",173,146,0,25,2,143,116,0,25,2,143,0,162,19,110,21,7,4,0,1
27,MEHEDINŢI,"GRĂDINIŢA 2",81,"ORAŞ STREHAIA",110116,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:44:04",1488,1454,0,24,10,836,802,0,24,10,761,41,1604,802,168,523,32,28,2,8
27,MEHEDINŢI,"GRĂDINIȚA BALTA VERDE ISJ",179,GOGOŞU,111863,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:51:51",1043,985,3,23,32,468,413,0,23,32,438,30,1123,645,93,311,16,5,0,13
27,MEHEDINŢI,"GRADINIŢA BUCURA",92,"ORAŞ VÂNJU MARE",110232,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:50:12",300,283,0,11,6,213,196,0,11,6,208,5,313,100,42,141,18,5,1,1
27,MEHEDINŢI,"GRĂDINIŢA CORAMNIC",74,"MUNICIPIUL ORŞOVA",110063,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:55:21",348,319,2,25,2,217,189,1,25,2,210,7,355,138,57,103,32,11,2,5
27,MEHEDINŢI,"GRĂDINIŢA CUJMIRU MIC",156,CUJMIR,111444,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:32:14",380,357,0,8,15,270,247,0,8,15,256,14,449,179,42,191,10,7,0,6
27,MEHEDINŢI,"GRĂDINIŢA CU PROGRAM NORMAL CU DOUĂ SĂLI DE GRUPĂ, SAT GROZEŞTI, COMUNA GROZEŞTI, JUDEŢUL MEHEDINŢI",185,GROZEŞTI,111989,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:11:23",364,358,1,4,1,240,235,0,4,1,230,10,390,150,14,133,8,74,0,1
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",62,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:54:47",1277,1270,0,7,0,537,530,0,7,0,497,25,1422,900,91,287,65,33,0,21
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",63,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:26",1607,1602,1,3,1,488,484,0,3,1,468,20,618,130,97,204,89,50,4,24
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.15",61,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 00:57:01",1026,1006,4,13,3,467,447,4,13,3,444,23,1116,649,107,227,40,53,6,11
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.20",26,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:53:27",1702,1686,2,8,6,684,670,0,8,6,645,39,1763,1079,130,317,98,57,14,29
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 21",44,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:10:28",1194,1186,0,8,0,418,410,0,8,0,395,23,1348,930,85,182,59,47,8,14
27,MEHEDINŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 21",43,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:19",941,933,1,6,1,322,315,0,6,1,310,12,1066,744,72,153,34,35,4,12
