precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL PRO ROMÂNIA-voturi","PACT PENTRU GALAȚI-voturi","ROMÂNIA SOCIALISTĂ-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL CONSERVATOR DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","RUSU DĂNUŢ-voturi"
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",70,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:49:02",1457,1451,0,6,0,635,629,0,6,0,618,17,1600,965,5,51,359,50,2,31,1,1,21,25,0,60,12
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",71,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:31",1377,1370,0,7,0,516,509,0,7,0,495,21,1600,1084,5,40,297,37,4,31,4,0,15,19,2,30,11
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”MOTANUL ÎNCĂLȚAT” (GRĂDINIȚA CU PROGRAM PRELUNGIT ”PRICHINDEL” - GRĂDINIȚA ”PRICHINDEL” - GRĂDINIȚA NR. 62)",72,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:57",1310,1301,0,9,0,519,510,0,9,0,497,21,1600,1082,12,39,252,34,1,39,2,4,20,26,2,52,14
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 17",192,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:08",825,816,1,7,1,350,342,0,7,1,337,13,920,570,1,86,195,25,3,0,0,1,8,3,1,11,3
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 17",191,"MUNICIPIUL TECUCI",75203,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:35:38",1185,1182,0,2,1,550,547,0,2,1,530,19,1300,751,8,187,255,28,6,1,0,5,12,0,2,19,7
18,GALAŢI,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1 COROD",266,COROD,75953,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:08:21",1207,1184,0,11,12,625,602,0,11,12,593,32,1200,575,2,99,423,35,0,2,0,1,15,1,0,13,2
18,GALAŢI,"GRADINITA CU PROGRAM PRELUNGIT NR.1 MATCA",344,MATCA,76692,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:42:40",1617,1603,8,6,0,897,891,0,6,0,868,23,1760,869,0,159,611,36,1,2,1,2,24,1,1,25,5
18,GALAŢI,"GRADINITA CU PROGRAM PRELUNGIT NR.1 MATCA",343,MATCA,76692,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:40:38",1481,1476,0,5,0,773,768,0,5,0,744,29,1636,863,2,93,584,26,2,1,0,1,17,3,0,15,0
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",152,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:15:02",8004,8000,0,4,0,607,603,0,4,0,587,20,8000,7393,3,45,350,55,1,21,3,5,35,24,4,33,8
18,GALAŢI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 47, ARONDATĂ GRĂDINIȚEI CU PROGRAM NORMAL ”ION CREANGĂ” (GRĂDINIȚA NR.47)",154,"MUNICIPIUL GALAŢI",75098,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:25:26",1707,1702,0,5,0,241,236,0,5,0,232,9,2000,1759,5,16,120,33,4,2,2,2,10,19,4,11,4
