precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOLIDARITĂȚII SOCIALE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ROGIN TUDOR-BOGDAN-voturi"
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 2",10,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:52:35",1045,1033,8,4,0,361,356,1,4,0,338,23,1141,780,88,37,170,8,18,8,5,4
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 5",1,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:44:13",1262,1229,1,26,6,395,363,0,26,6,347,16,1356,993,84,32,182,8,22,12,0,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR.5",2,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:59:26",553,544,1,8,0,167,159,0,8,0,161,6,620,453,52,13,73,2,7,3,11,0
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 7,CORP A",52,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:35:49",972,963,2,7,0,308,301,0,7,0,298,10,1064,756,76,24,162,2,22,7,3,2
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 7,CORP A",49,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:46:48",1224,1216,0,8,0,433,425,0,8,0,424,9,1351,918,89,44,244,9,19,10,2,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 7,CORP A",50,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:56",1026,1020,0,6,0,290,284,0,6,0,282,8,1132,842,61,17,166,2,18,13,2,3
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 7,CORP A",51,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:20:08",1359,1353,1,5,0,512,507,0,5,0,498,14,1492,980,121,51,267,6,30,13,3,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 8 - ȘCOALA PRIMARĂ ȚEROVA",69,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:25:31",450,445,0,5,0,170,165,0,5,0,160,10,491,321,40,25,75,2,7,5,6,0
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 9",54,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:09:03",1290,1282,0,8,0,408,400,0,8,0,398,10,1423,1015,98,31,202,5,26,21,6,9
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 9",55,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:29",1148,1141,1,6,0,405,399,0,6,0,387,10,1255,856,68,31,240,3,24,13,2,6
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 9",53,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:09:58",1034,1026,0,8,0,287,279,0,8,0,276,11,1134,847,68,25,147,4,9,9,7,7
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR. 9",56,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:37:56",1276,1271,0,4,1,383,378,0,4,1,371,12,1470,1087,107,23,202,4,14,7,4,10
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ DEALU MARE",9,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 16:06:45",794,784,4,5,1,215,209,0,5,1,207,8,888,673,40,23,110,3,14,9,5,3
11,CARAŞ-SEVERIN,"ȘCOALA PRIMARĂ DEALU MARE",8,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:57:34",679,675,0,4,0,187,183,0,4,0,180,7,748,561,53,23,76,0,9,16,2,1
11,CARAŞ-SEVERIN,"UNIVERSITATEA ”EFTIMIE MURGU”",19,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:25",1035,1018,7,10,0,373,363,0,10,0,364,9,1127,754,105,20,199,12,18,4,1,5
11,CARAŞ-SEVERIN,"UNIVERSITATEA ”EFTIMIE MURGU”",18,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:16",532,516,1,9,6,202,187,0,9,6,197,5,572,370,55,9,102,1,12,12,3,3
11,CARAŞ-SEVERIN,"UNIVERSITATEA EFTIMIE MURGU - CAMPUSUL CAFE",17,"MUNICIPIUL REŞIŢA",50790,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:35:05",1022,1014,0,8,0,309,301,0,8,0,304,5,1119,810,73,32,157,5,28,5,1,3
