precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIALIST ROMÂN-voturi"
9,BRĂILA,"CAMINUL CULTURAL MOHREANU",265,ULMU,44328,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:48:16",913,906,0,6,1,614,607,0,6,1,596,18,1000,386,416,154,13,0,3,2,6,2
9,BRĂILA,"CĂMINUL CULTURAL OLĂNEASCA",230,"SALCIA TUDOR",43867,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:47:40",308,302,0,6,0,182,176,0,6,0,172,10,307,125,18,55,80,2,13,1,2,1
9,BRĂILA,"CĂMINUL CULTURAL SALCIA TUDOR",226,"SALCIA TUDOR",43867,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:50:34",531,527,0,4,0,357,353,0,4,0,339,18,537,180,99,80,129,5,15,1,8,2
9,BRĂILA,"CĂMINUL CULTURAL SAT CĂLDĂRUȘA",254,TRAIAN,44202,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:57:07",164,152,0,8,4,112,100,0,8,4,104,8,200,88,38,56,10,0,0,0,0,0
9,BRĂILA,"CĂMINUL CULTURAL SAT LACU SĂRAT",173,CHISCANI,42708,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:40:28",1082,1075,4,3,0,546,542,1,3,0,524,22,1212,666,106,198,92,8,40,6,72,2
9,BRĂILA,"CĂMINUL CULTURAL SCORȚARU VECHI",259,"TUDOR VLADIMIRESCU",44257,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:01:45",742,733,5,4,0,448,444,0,4,0,425,23,817,369,110,167,35,0,95,5,11,2
9,BRĂILA,"CĂMINUL CULTURAL SILIȘTEA",233,SILIŞTEA,43992,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:36:53",581,579,0,1,1,328,326,0,1,1,315,12,627,299,41,207,32,3,11,3,17,1
9,BRĂILA,"CĂMINUL CULTURAL SPIRU HARET",165,"BERTEŞTII DE JOS",42842,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:44:58",1189,1187,0,2,0,579,577,0,2,0,544,35,1294,715,277,169,72,1,7,2,15,1
9,BRĂILA,"CĂMINUL CULTURAL SURDILA GĂISEANCA",241,SURDILA-GĂISEANCA,44113,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:48:55",1270,1227,0,12,31,913,870,0,12,31,883,30,1400,487,615,150,91,2,9,4,10,2
9,BRĂILA,"CĂMINUL CULTURAL ŞUŢEŞTI",246,ŞUŢEŞTI,44140,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:55:47",1086,1042,0,9,35,650,606,0,9,35,628,22,1175,525,187,382,28,11,3,4,12,1
9,BRĂILA,"CAMINUL CULTURAL ULMU",264,ULMU,44328,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:08:02",1149,1138,0,4,7,765,754,0,4,7,739,26,1250,485,577,124,24,2,6,0,6,0
9,BRĂILA,"CĂMINUL CULTURAL ZĂVOAIA",283,ZĂVOAIA,44532,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:00:56",876,860,0,4,12,558,542,0,4,12,526,32,950,392,342,126,31,1,9,3,14,0
9,BRĂILA,"CASA CORPULUI DIDACTIC",86,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:30:28",1080,1073,1,6,0,397,391,0,6,0,380,11,1200,809,48,167,48,10,55,7,42,3
9,BRĂILA,"CASA DE CULTURĂ FĂUREI, SALA MICĂ",141,"ORAŞ FĂUREI",42753,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:26:53",1319,1288,0,7,24,883,852,0,7,24,843,40,1420,537,391,348,58,12,15,4,12,3
9,BRĂILA,"CASA DE CULTURĂ ”ION THEODORESCU SION”",146,"ORAŞ IANCA",43331,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:58:27",1156,1134,0,13,9,591,578,0,4,9,580,11,1290,699,176,323,52,1,8,0,18,2
9,BRĂILA,"CASA DE CULTURĂ ROȘIORI",224,ROŞIORI,43812,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:55:34",1155,1153,0,2,0,626,624,0,2,0,583,43,1350,724,232,221,97,9,18,0,6,0
9,BRĂILA,"CENTRU DE INFORMARE",174,CHISCANI,42708,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:32",1005,987,3,14,1,451,436,0,14,1,438,13,1111,660,75,186,87,3,44,2,37,4
9,BRĂILA,"CENTRU EDUCATIONAL VIZIRU",279,VIZIRU,44505,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:03:40",1676,1665,0,7,4,987,976,0,7,4,933,54,1800,813,507,261,135,6,9,0,14,1
9,BRĂILA,"CLĂDIRE SALA SPORT BORDEI VERDE",166,"BORDEI VERDE",42913,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:40",1083,1072,0,7,4,692,681,0,7,4,673,19,1200,508,184,405,45,0,16,4,19,0
9,BRĂILA,"COLEGIUL ECONOMIC „ION GHICA”",84,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:46:24",1069,1059,4,6,0,428,422,0,6,0,414,14,1200,772,73,191,62,13,43,6,22,4
9,BRĂILA,"COLEGIUL ECONOMIC „ION GHICA”",85,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:14:26",1293,1282,3,7,1,497,489,0,7,1,482,15,1400,903,61,241,70,8,49,5,44,4
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",38,"MUNICIPIUL BRĂILA",42682,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:43:46",1335,1330,0,5,0,457,452,0,5,0,446,10,1500,1043,56,269,44,15,14,7,34,7
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",36,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:10:57",1007,997,3,7,0,436,429,0,7,0,419,17,1100,664,61,233,36,11,45,6,21,6
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",37,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:15:05",1337,1333,0,4,0,576,572,0,4,0,561,15,1400,824,72,334,66,17,30,5,34,3
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",34,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:23:11",827,824,0,3,0,237,234,0,3,0,226,11,900,663,39,107,29,4,16,6,24,1
9,BRĂILA,"COLEGIUL NAȚIONAL „ANA ASLAN”",35,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:01:03",1204,1200,0,4,0,441,437,0,4,0,423,18,1300,859,58,251,38,8,37,4,27,0
9,BRĂILA,"COLEGIUL NAȚIONAL „GHEORGHE MUNTEANU MURGOCI”",56,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:40:42",1109,1095,8,6,0,494,488,0,6,0,474,20,1200,706,72,263,47,9,63,4,12,4
9,BRĂILA,"COLEGIUL NAȚIONAL „GHEORGHE MUNTEANU MURGOCI”",57,"MUNICIPIUL BRĂILA",42682,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:44:47",1167,1150,3,14,0,469,452,3,14,0,451,11,1250,781,80,232,49,16,39,4,26,5
9,BRĂILA,"COLEGIUL NAŢIONAL „NICOLAE BĂLCESCU”",63,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:01:45",1244,1238,1,5,0,463,458,0,5,0,440,23,1400,937,60,204,73,17,46,5,31,4
9,BRĂILA,"COLEGIUL NAȚIONAL PEDAGOGIC „DUMITRU PANAITESCU PERPESSICIUS”",93,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:19",1115,1109,0,6,0,474,468,0,6,0,458,16,1250,776,60,285,34,6,39,4,21,9
9,BRĂILA,"COLEGIUL NAȚIONAL PEDAGOGIC „DUMITRU PANAITESCU PERPESSICIUS”",94,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:37:38",1082,1072,2,8,0,419,411,0,8,0,398,21,1200,781,39,226,46,14,8,34,25,6
9,BRĂILA,"COLEGIUL TEHNIC „EDMOND NICOLAU”",40,"MUNICIPIUL BRĂILA",42682,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:46:43",1292,1284,0,7,1,544,536,0,7,1,529,15,1400,856,64,313,47,16,48,3,32,6
9,BRĂILA,"COLEGIUL TEHNIC „EDMOND NICOLAU”",39,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:35:21",1391,1370,0,21,0,532,511,0,21,0,504,28,1600,1068,61,286,64,25,40,6,22,0
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",70,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:21",774,765,0,9,0,321,312,0,9,0,308,13,850,529,24,186,39,13,18,7,17,4
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",69,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 14:38:06",1233,1227,1,5,0,486,481,0,5,0,479,7,1350,864,59,267,57,12,48,4,29,3
9,BRĂILA,"COLEGIUL TEHNIC „PANAIT ISTRATI”",71,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:09:30",1192,1182,0,10,0,462,452,0,10,0,444,18,1301,839,43,235,58,13,49,5,35,6
9,BRĂILA,"COMPANIA DE UTILITĂȚI PUBLICE „DUNĂREA” SA BRĂILA",41,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:49:17",1405,1395,0,10,0,545,535,0,10,0,515,17,1500,955,42,289,73,20,41,3,41,6
9,BRĂILA,"CORP ANEXA PARTER",169,CAZASU,44560,7,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:21:49",1498,1486,0,11,1,795,783,0,11,1,767,28,1650,855,127,365,116,15,67,24,47,6
9,BRĂILA,"FOSTA ŞCOALA GENERALĂ NR.2 FĂUREI, SALA NR.1",143,"ORAŞ FĂUREI",42753,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:30",522,507,1,6,8,336,322,0,6,8,322,14,526,190,162,103,35,4,11,1,5,1
9,BRĂILA,"FOSTA ȘCOALA GIMNAZIALA FILIPESTI",242,SURDILA-GĂISEANCA,44113,7,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:23",640,620,1,4,15,412,392,1,4,15,404,8,696,284,322,53,20,2,0,0,7,0
9,BRĂILA,"GRĂDINIȚA 25 LOCURI",249,ŞUŢEŞTI,44140,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:44:14",288,269,1,13,5,173,155,0,13,5,164,9,320,147,95,57,9,0,0,1,2,0
9,BRĂILA,"GRADINITA CU PROGRAM NORMAL",159,"ORAŞ ÎNSURĂŢEI",43411,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:35:55",354,346,0,8,0,190,182,0,8,0,180,10,398,208,14,138,13,1,7,0,6,1
9,BRĂILA,"GRĂDINIŢA CU PROGRAM NORMAL COTU-LUNG",235,SILIŞTEA,43992,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:11:00",275,272,0,3,0,177,174,0,3,0,173,4,295,118,41,113,14,0,1,1,3,0
9,BRĂILA,"GRĂDINIŢA CU PROGRAM NORMAL GULIANCA",229,"SALCIA TUDOR",43867,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:34:55",306,301,0,5,0,187,182,0,5,0,175,12,307,120,38,73,34,3,25,0,2,0
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL SIHLEANU",232,"SCORŢARU NOU",43929,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 16:21:12",371,366,1,2,2,240,236,0,2,2,218,19,380,140,112,62,26,0,1,0,17,0
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",46,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:28",786,760,4,4,18,369,347,0,4,18,359,10,850,481,62,211,29,11,24,5,15,2
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL WALDORF",45,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:35:22",1236,1223,4,8,1,550,541,0,8,1,524,26,1396,846,58,291,64,21,61,4,22,3
9,BRĂILA,"GRĂDINIŢA NR. 11 „BRÂNDUȘA”",33,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:40:04",1374,1365,2,7,0,506,499,0,7,0,489,17,1500,994,53,289,63,15,35,8,22,4
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",10,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:20:03",1513,1504,2,7,0,618,611,0,7,0,602,16,1650,1032,60,362,68,13,51,9,32,7
9,BRĂILA,"GRĂDINIŢA NR. 12 „SFÂNTUL NICOLAE”",9,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:33:47",1595,1586,1,8,0,629,621,0,8,0,606,23,1700,1071,67,343,90,16,42,3,45,0
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",74,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 16:21:25",1200,1194,0,6,0,439,433,0,6,0,425,14,1300,861,53,259,67,7,17,2,19,1
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",75,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:26:19",939,932,0,6,1,334,327,0,6,1,325,9,1050,716,45,177,53,9,14,0,22,5
9,BRĂILA,"GRĂDINIŢA NR. 21 „PESCĂRUȘUL”",76,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:41:21",1249,1243,0,6,0,442,436,0,6,0,428,14,1350,908,44,242,59,16,25,6,31,5
9,BRĂILA,"GRĂDINIŢA NR. 36 „FURNICUŢA”",92,"MUNICIPIUL BRĂILA",42682,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:35:51",1219,1211,1,7,0,504,497,0,7,0,493,11,1350,845,57,303,49,13,30,6,28,7
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",95,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:11",1109,1059,0,7,43,450,400,0,7,43,426,24,1150,700,48,258,34,11,45,4,23,3
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",97,"MUNICIPIUL BRĂILA",42682,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:40:40",1124,1112,0,12,0,486,474,0,12,0,486,0,1250,764,42,282,48,14,51,7,32,10
9,BRĂILA,"GRĂDINIŢA NR. 37 „DUMBRAVA MINUNATĂ”",96,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:49:37",1551,1542,1,8,0,601,593,0,8,0,571,30,1700,1099,56,296,70,15,68,16,41,9
9,BRĂILA,"GRĂDINIŢA NR. 38 „IZVORAȘUL”",29,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:36:21",1292,1265,20,7,0,553,546,0,7,0,532,21,1400,847,43,339,60,19,32,5,31,3
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",21,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:47:45",1034,1026,1,7,0,406,399,0,7,0,389,17,1100,694,34,207,67,12,29,11,18,11
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",23,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:58:42",997,988,1,8,0,359,351,0,8,0,347,12,1100,741,36,207,40,6,33,3,19,3
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",20,"MUNICIPIUL BRĂILA",42682,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 14:05:25",1150,1142,2,6,0,450,444,0,6,0,435,10,1250,800,54,242,46,11,37,5,39,1
9,BRĂILA,"GRĂDINIŢA NR. 39 „CĂSUȚA FERMECATĂ”",22,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:57:09",1013,1003,2,8,0,385,377,0,8,0,376,9,1104,719,53,214,49,8,20,3,28,1
9,BRĂILA,"GRĂDINIŢA NR. 61 „BOBOCEL”",6,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:56:07",1117,1112,1,4,0,466,462,0,4,0,441,25,1201,730,38,273,60,15,21,10,24,0
9,BRĂILA,"GRĂDINIŢA NR. 61 „BOBOCEL”",5,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:48:43",1053,1045,0,8,0,452,444,0,8,0,427,25,1159,707,53,261,58,6,16,12,21,0
9,BRĂILA,"GRĂDINIŢA NR. 8 „SCUFIȚA ROȘIE”",120,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:19:48",1090,1084,0,6,0,452,446,0,6,0,444,8,1200,748,51,254,56,11,36,11,24,1
9,BRĂILA,"GRĂDINIŢA NR. 8 „SCUFIȚA ROȘIE”",121,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:28:29",1115,1109,0,6,0,448,442,0,6,0,425,23,1200,752,42,258,45,19,26,7,22,6
9,BRĂILA,"GRĂDINIȚA SILISTRARU",255,TRAIAN,44202,5,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 18:12:37",628,615,1,9,3,368,356,0,9,3,350,18,700,332,69,234,24,0,3,1,18,1
9,BRĂILA,"GRĂDINIȚA URLEASCA",256,TRAIAN,44202,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:16:17",977,968,0,4,5,617,608,0,4,5,602,15,1071,454,358,194,32,3,2,4,9,0
9,BRĂILA,"LICEUL DE ARTĂ „HARICLEA DARCLEE”",64,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:12:14",1316,1310,0,6,0,483,477,0,6,0,465,18,1422,939,49,210,79,5,62,7,49,4
9,BRĂILA,"LICEUL DE ARTĂ „HARICLEA DARCLEE”",65,"MUNICIPIUL BRĂILA",42682,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:45",1275,1260,3,6,6,519,507,0,6,6,502,17,1400,881,75,263,67,5,44,8,35,5
9,BRĂILA,"LICEUL PEDAGOGIC „D.P. PERPESSICIUS”",98,"MUNICIPIUL BRĂILA",42682,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:25:09",974,969,1,4,0,421,417,0,4,0,407,14,1100,679,46,238,59,5,36,4,17,2
