precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi"
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:54:49",590,584,1,3,2,254,248,1,3,2,224,30,600,345,7,116,31,2,53,1,2,6,3,2,1
37,TIMIŞ,"CAMIN CULTURAL UNIP",537,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:20",208,195,0,12,1,133,120,0,12,1,123,10,204,71,4,67,31,0,4,3,1,10,1,0,2
37,TIMIŞ,"CĂMINUL CULTURAL ALIOȘ",468,MAŞLOC,157683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:11",750,681,2,29,38,505,438,0,29,38,452,53,700,195,6,277,105,5,22,4,2,23,3,4,1
37,TIMIŞ,"CĂMINUL CULTURAL BALINŢ",298,BALINŢ,155546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:36",396,381,1,9,5,219,205,0,9,5,201,18,499,280,15,69,27,5,27,4,8,43,1,2,0
37,TIMIŞ,"CĂMINUL CULTURAL BALOȘEȘTI",581,TOMEŞTI,158895,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:01:25",113,108,0,3,2,90,85,0,3,2,86,4,200,110,1,53,20,0,1,4,0,3,1,2,1
37,TIMIŞ,"CĂMINUL CULTURAL BÂRNA",310,BÂRNA,155957,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:29",420,411,0,6,3,283,274,0,6,3,249,34,700,417,1,178,32,1,17,8,0,9,3,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BAZOŞU NOU",345,BUCOVĂŢ,159516,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:25:54",540,515,0,25,0,385,360,0,25,0,273,11,800,424,13,132,27,0,11,11,3,70,2,2,2
37,TIMIŞ,"CĂMINUL CULTURAL BERECUŢA",332,BIRDA,159366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:53:44",166,163,0,0,3,92,89,0,0,3,91,1,300,208,2,70,7,0,6,1,1,4,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",548,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:01",1082,1027,0,51,4,666,611,0,51,4,643,23,1100,434,10,389,116,3,25,7,11,66,6,7,3
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",549,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:04",1110,1063,3,41,3,662,618,0,41,3,631,31,1100,438,15,352,142,7,24,3,7,71,2,3,5
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MIC",550,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:41",801,782,1,17,1,445,426,1,17,1,408,37,900,455,8,239,74,4,20,6,0,53,2,1,1
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:27",516,511,0,5,0,313,308,0,5,0,286,27,600,287,6,169,70,1,8,6,2,19,0,5,0
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:24:43",1991,1930,1,19,41,1040,980,0,19,41,962,78,2200,1160,29,492,88,1,80,126,6,121,7,10,2
37,TIMIŞ,"CĂMINUL CULTURAL BOTINEŞTI",311,BÂRNA,155957,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:57:38",157,145,0,11,1,121,109,0,11,1,91,29,200,80,3,64,11,1,5,0,0,6,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:50:33",404,398,0,3,3,263,257,0,3,3,245,18,400,137,5,196,33,0,1,3,0,5,0,0,2
37,TIMIŞ,"CĂMINUL CULTURAL BREAZOVA",463,MARGINA,157585,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:21:47",210,203,1,5,1,140,133,1,5,1,136,4,300,160,62,30,3,9,29,2,1,0,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BUCOVĂŢ",344,BUCOVĂŢ,159516,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:47:12",1863,1785,6,58,14,1263,1189,2,58,14,1199,64,2000,737,34,526,102,7,46,75,20,372,4,8,5
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:59:27",1820,1801,2,12,5,765,747,1,12,5,677,88,1900,1135,7,312,127,2,52,9,4,156,1,6,1
37,TIMIŞ,"CĂMINUL CULTURAL CADAR",593,TORMAC,159035,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:04:46",230,219,0,9,2,127,116,0,9,2,112,15,300,173,9,66,12,0,8,2,0,12,2,1,0
37,TIMIŞ,"CĂMINUL CULTURAL CARANI",554,SÂNANDREI,158653,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:50:02",1726,1704,2,13,7,813,793,0,13,7,780,33,1800,987,11,309,177,7,26,78,18,132,9,8,5
37,TIMIŞ,"CĂMINUL CULTURAL CĂRPINIŞ",347,CĂRPINIŞ,156213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:28",1765,1756,3,0,6,699,693,0,0,6,646,53,2000,1301,32,371,64,2,36,6,6,96,2,31,0
37,TIMIŞ,"CĂMINUL CULTURAL CHECEA",353,CHECEA,159375,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:15:00",1753,1737,0,2,14,881,865,0,2,14,814,67,2100,1219,26,531,145,4,49,10,0,41,1,4,3
37,TIMIŞ,"CĂMINUL CULTURAL CHEREŞTUR",316,"BEBA VECHE",155724,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:27:47",403,385,0,13,5,275,257,0,13,5,260,15,434,159,50,122,50,1,6,5,1,20,4,0,1
37,TIMIŞ,"CĂMINUL CULTURAL CIREŞU",368,CRICIOVA,156534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:59:13",294,274,1,15,4,221,201,1,15,4,217,4,400,179,4,146,46,2,11,0,0,6,1,1,0
37,TIMIŞ,"CĂMINUL CULTURAL CLICIOVA",325,BETHAUSEN,155840,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:21:38",354,342,0,9,3,226,214,0,9,3,187,39,405,179,3,74,31,2,12,13,2,37,1,12,0
37,TIMIŞ,"CĂMINUL CULTURAL COMLOŞU MARE",358,"COMLOŞU MARE",156437,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:04:11",1530,1521,1,6,2,710,702,0,6,2,626,84,1800,1090,19,447,69,1,43,10,1,22,4,9,1
37,TIMIŞ,"CĂMINUL CULTURAL COŞAVA",371,CURTEA,156589,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:28:33",487,450,0,19,18,388,351,0,19,18,361,27,600,212,1,282,33,1,15,6,3,13,3,3,1
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU",361,COŞTEIU,156473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:33:52",673,638,2,20,13,424,391,0,20,13,406,16,900,478,1,221,56,2,32,9,4,72,4,4,1
37,TIMIŞ,"CĂMINUL CULTURAL COŞTEIU DE SUS",464,MARGINA,157585,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:42:09",165,158,0,6,1,93,86,0,6,1,84,9,200,107,0,44,20,1,9,0,0,8,0,2,0
37,TIMIŞ,"CĂMINUL CULTURAL CRALOVĂŢ",588,"TOPOLOVĂŢU MARE",158966,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:52:04",98,88,0,10,0,49,39,0,10,0,48,1,100,51,1,19,9,0,3,2,1,10,2,0,1
37,TIMIŞ,"CĂMINUL CULTURAL CRICIOVA",367,CRICIOVA,156534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:30",644,591,3,35,15,505,455,0,35,15,492,13,900,395,3,333,107,3,7,5,0,25,3,6,0
37,TIMIŞ,"CĂMINUL CULTURAL CRIVOBARA",565,SECAŞ,158608,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:29:36",109,75,0,31,3,86,52,0,31,3,82,4,200,114,2,44,9,0,1,3,0,23,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL CURTEA",370,CURTEA,156589,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:06:16",555,544,3,3,5,429,418,3,3,5,400,29,700,271,4,232,43,2,17,5,1,92,1,2,1
37,TIMIŞ,"CĂMINUL CULTURAL DINIAȘ",508,"PECIU NOU",158065,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:12:47",971,955,2,2,12,541,527,0,2,12,528,13,1000,459,19,302,71,4,37,6,7,62,10,5,5
37,TIMIŞ,"CĂMINUL CULTURAL DRAGOMIREŞTI",573,ŞTIUCA,158804,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:10:43",333,329,0,2,2,171,167,0,2,2,160,11,400,229,1,81,53,1,11,4,4,4,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL DRĂGSINEŞTI",398,FÂRDEA,156927,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:05:39",419,385,1,19,14,331,298,0,19,14,312,19,500,169,2,224,42,2,17,15,1,7,0,2,0
37,TIMIŞ,"CĂMINUL CULTURAL DRINOVA",312,BÂRNA,155957,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:45:50",144,142,0,0,2,108,106,0,0,2,94,14,200,92,5,69,5,0,4,2,1,7,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL DUBEŞTI",494,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:58",194,183,0,4,7,151,140,0,4,7,136,15,200,49,4,54,17,2,4,21,0,33,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL FÂRDEA",397,FÂRDEA,156927,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:39:23",592,534,9,27,22,430,379,2,27,22,393,37,700,270,8,243,43,2,15,36,3,33,6,2,2
37,TIMIŞ,"CĂMINUL CULTURAL FIBIŞ",400,FIBIŞ,159393,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:47",1468,1409,6,11,42,1019,966,0,11,42,932,81,1500,481,37,535,98,10,62,33,3,134,6,4,10
37,TIMIŞ,"CĂMINUL CULTURAL GAD",408,GHILAD,159400,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:10:08",127,120,0,6,1,71,64,0,6,1,65,6,200,129,2,46,6,0,4,2,0,5,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL GĂVOJDIA",403,GAVOJDIA,157031,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:22:14",1115,1083,1,10,21,554,522,1,10,21,524,30,1200,646,7,377,50,3,25,8,1,34,1,18,0
37,TIMIŞ,"CĂMINUL CULTURAL GHERMAN",447,"JAMU MARE",157362,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:53:02",198,191,1,5,1,120,114,0,5,1,114,6,200,80,1,70,10,0,9,5,1,17,0,1,0
37,TIMIŞ,"CĂMINUL CULTURAL GHIRODA",411,GHIRODA,155289,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:39:07",1718,1694,18,5,1,937,931,0,5,1,872,65,1800,863,35,412,85,5,23,29,30,232,4,6,11
37,TIMIŞ,"CĂMINUL CULTURAL GIARMATA - VII",412,GHIRODA,155289,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:21:12",2030,2002,12,14,2,1136,1118,2,14,2,1097,39,2100,964,20,446,123,5,36,48,64,316,9,15,15
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",424,GIROC,155314,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:58:06",1741,1693,24,21,3,817,792,1,21,3,778,28,1800,983,18,342,91,6,48,17,30,192,0,11,23
37,TIMIŞ,"CĂMINUL CULTURAL GIROC",423,GIROC,155314,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:21:24",1681,1668,0,11,2,878,865,0,11,2,839,39,2000,1122,19,358,104,11,38,14,28,213,11,14,29
37,TIMIŞ,"CĂMINUL CULTURAL GLADNA ROMÂNĂ",399,FÂRDEA,156927,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:27:27",449,425,0,7,17,343,319,0,7,17,322,21,600,256,6,248,22,1,11,13,1,18,0,0,2
37,TIMIŞ,"CĂMINUL CULTURAL GRABAŢ",453,LENAUHEIM,157451,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:21:51",1726,1700,0,11,15,776,750,0,11,15,708,68,1800,1024,26,400,108,5,42,8,4,99,8,3,5
37,TIMIŞ,"CĂMINUL CULTURAL GROŞI",465,MARGINA,157585,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:32",74,64,0,10,0,44,34,0,10,0,40,4,99,55,0,28,8,2,0,0,0,2,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL HERENDEŞTI",610,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:35:24",386,370,3,12,1,223,210,0,12,1,210,13,400,177,2,129,28,3,11,13,0,21,1,1,1
37,TIMIŞ,"CĂMINUL CULTURAL HONORICI",611,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:07:26",270,261,0,3,6,186,177,0,3,6,175,11,300,114,6,76,18,1,6,11,0,54,0,2,1
37,TIMIŞ,"CĂMINUL CULTURAL ICLODA",533,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:36:51",268,234,0,24,10,183,149,0,24,10,173,10,300,117,3,89,29,2,9,2,3,33,3,0,0
37,TIMIŞ,"CĂMINUL CULTURAL IECEA MICĂ",348,CĂRPINIŞ,156213,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:00:45",1019,1006,2,11,0,360,349,0,11,0,337,23,1100,740,6,226,45,0,24,7,0,16,1,11,1
37,TIMIŞ,"CĂMINUL CULTURAL IERŞNIC",495,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:02:14",132,105,1,17,9,115,89,0,17,9,106,9,200,85,0,78,10,0,3,9,0,5,0,1,0
37,TIMIŞ,"CĂMINUL CULTURAL JDIOARA",369,CRICIOVA,156534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:22:58",458,423,1,26,8,363,328,1,26,8,340,23,600,237,7,226,82,0,5,2,1,13,0,3,1
37,TIMIŞ,"CĂMINUL CULTURAL JENA",404,GAVOJDIA,157031,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:03:58",432,408,0,7,17,269,245,0,7,17,247,1,600,351,4,165,14,3,5,6,0,18,2,29,1
37,TIMIŞ,"CĂMINUL CULTURAL JUREŞTI",313,BÂRNA,155957,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:42:35",181,176,0,5,0,131,126,0,5,0,108,21,201,72,0,70,9,1,12,1,1,14,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL LĂPUŞNIC",308,BARA,155662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:17:23",105,54,0,51,0,94,43,0,51,0,90,4,100,6,4,22,9,0,18,0,1,35,1,0,0
37,TIMIŞ,"CĂMINUL CULTURAL LENAUHEIM",451,LENAUHEIM,157451,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:02:34",1595,1554,5,5,31,769,733,0,5,31,696,73,1800,1031,13,274,99,9,39,14,3,216,7,2,20
37,TIMIŞ,"CĂMINUL CULTURAL LIEBLING",454,LIEBLING,157497,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:41:57",1514,1501,2,4,7,742,730,1,4,7,675,67,1676,934,16,283,196,11,33,9,3,89,11,2,22
37,TIMIŞ,"CĂMINUL CULTURAL LUNCANII DE JOS",583,TOMEŞTI,158895,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:25:00",268,258,0,6,4,210,200,0,6,4,201,9,300,90,2,149,26,0,8,3,3,8,0,1,1
37,TIMIŞ,"CĂMINUL CULTURAL MĂGURI",238,"MUNICIPIUL LUGOJ",155350,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:43:49",784,776,1,6,1,208,201,0,6,1,192,16,1100,892,7,93,23,2,12,1,1,17,5,30,1
37,TIMIŞ,"CĂMINUL CULTURAL MÂNĂSTIRE",333,BIRDA,159366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:57:31",170,160,0,2,8,111,101,0,2,8,95,6,200,99,0,84,8,0,2,0,0,1,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL MARGINA",462,MARGINA,157585,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:00:24",928,923,0,4,1,534,530,0,3,1,511,23,1200,666,10,312,75,5,29,15,2,41,8,10,4
37,TIMIŞ,"CĂMINUL CULTURAL NEVRINCEA",328,BETHAUSEN,155840,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:14:42",202,192,0,9,1,122,112,0,9,1,114,8,301,179,8,32,19,3,4,15,0,19,0,13,1
37,TIMIŞ,"CĂMINUL CULTURAL NIȚCHIDORF",490,NIŢCHIDORF,157923,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:38:29",1143,1102,2,19,20,627,588,0,19,20,590,37,1200,573,9,396,40,4,15,20,3,96,3,1,3
37,TIMIŞ,"CAMINUL CULTURAL NR. 673, SARAVALE",539,SARAVALE,159455,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:52:44",861,833,0,3,25,565,537,0,3,25,489,73,1000,438,7,231,58,6,27,35,1,111,3,4,6
37,TIMIŞ,"CĂMINUL CULTURAL OHABA LUNGĂ",493,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:58",338,307,0,19,12,250,219,0,19,12,239,11,401,151,8,106,10,1,6,41,1,64,1,1,0
37,TIMIŞ,"CĂMINUL CULTURAL OHABA ROMÂNĂ",496,"OHABA LUNGĂ",157969,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:02",149,124,0,10,15,149,124,0,10,15,138,11,200,51,4,63,3,0,13,15,0,39,0,1,0
37,TIMIŞ,"CĂMINUL CULTURAL OLOŞAG",574,ŞTIUCA,158804,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:39",314,305,3,2,4,186,180,0,2,4,169,17,400,214,1,90,45,1,7,2,2,20,0,1,0
37,TIMIŞ,"CĂMINUL CULTURAL OPATIŢA",255,"ORAŞ DETA",155458,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:05:40",591,573,2,5,11,309,293,0,5,11,283,26,700,391,5,180,56,0,10,10,3,16,0,2,1
37,TIMIŞ,"CĂMINUL CULTURAL PĂDURENI",612,"VICTOR VLAD DELAMARINA",159259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:31:36",140,128,2,8,2,80,69,1,8,2,73,7,200,120,2,44,6,0,8,1,0,8,0,4,0
37,TIMIŞ,"CĂMINUL CULTURAL PANIOVA",414,GHIZELA,157193,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:26",265,181,0,66,18,218,134,0,66,18,194,24,300,82,6,135,6,0,8,2,0,34,3,0,0
37,TIMIŞ,"CĂMINUL CULTURAL PARŢA",504,PARŢA,159437,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:53:30",2105,2013,9,52,31,1461,1373,5,52,31,1367,94,2200,739,34,902,128,7,52,24,23,176,5,9,7
37,TIMIŞ,"CĂMINUL CULTURAL PĂRU",364,COŞTEIU,156473,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:19:20",214,203,3,8,0,132,124,0,8,0,126,6,300,168,6,78,21,1,7,4,0,8,0,0,1
37,TIMIŞ,"CĂMINUL CULTURAL PECIU NOU",507,"PECIU NOU",158065,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:16:16",1598,1590,1,7,0,814,806,1,7,0,785,29,1600,0,14,458,102,6,51,13,13,109,4,8,7
37,TIMIŞ,"CĂMINUL CULTURAL PERCOSOVA",272,"ORAŞ GĂTAIA",157086,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:46:00",239,222,0,9,8,138,121,0,9,8,125,13,300,162,4,81,15,1,7,4,0,11,0,2,0
37,TIMIŞ,"CĂMINUL CULTURAL POGĂNEŞTI",314,BÂRNA,155957,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:37",279,270,2,7,0,190,182,1,7,0,169,21,302,112,6,95,31,1,19,2,1,7,2,2,3
37,TIMIŞ,"CĂMINUL CULTURAL POVÂRGINA",266,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:45:06",130,121,0,9,0,78,69,0,9,0,74,4,200,122,2,47,12,0,11,1,0,1,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL PUSTINIŞ",601,UIVAR,159142,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:18:48",628,620,0,5,3,359,351,0,5,3,334,25,700,341,21,171,106,0,11,4,0,18,3,0,0
37,TIMIŞ,"CĂMINUL CULTURAL RĂDMĂNEŞTI",309,BARA,155662,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:01:46",82,45,0,37,0,66,29,0,37,0,60,6,100,34,0,27,3,0,2,2,0,26,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL RĂUŢI",602,UIVAR,159142,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:15:43",491,488,0,1,2,240,237,0,1,2,220,20,500,248,43,79,63,1,7,7,0,19,0,0,1
37,TIMIŞ,"CĂMINUL CULTURAL REMETEA MICĂ",469,MAŞLOC,157683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:37:27",438,435,1,0,2,248,246,0,0,2,228,20,500,252,8,124,62,2,8,1,0,20,0,2,1
37,TIMIŞ,"CĂMINUL CULTURAL ROMÂNEŞTI",584,TOMEŞTI,158895,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:52:01",403,398,0,2,3,270,265,0,2,3,251,19,500,230,2,152,62,1,11,5,0,14,3,1,0
