precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREAN OVIDIU-IOSIF-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN EMIL-RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SIGHIARTĂU ROBERT-IONATAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SAS LÓRÁNT-ZOLTAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","SIMIONCA IONUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TALOŞ MIRCEA-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi"
6,BISTRIŢA-NĂSĂUD,"LICEUL TEHNOLOGIC TELCIU",291,TELCIU,35054,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:46:19",1179,1160,1,8,10,657,639,0,8,10,628,29,1300,643,95,169,246,5,112,1
6,BISTRIŢA-NĂSĂUD,"LICEUL TEORETIC ”SOLOMON HALIȚĂ”",82,"ORAŞ SÂNGEORZ-BĂI",32599,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:11:00",1290,1277,1,9,3,617,605,0,9,3,603,14,1387,770,18,197,341,3,42,2
6,BISTRIŢA-NĂSĂUD,"OCOLUL SILVIC TELCIU",293,TELCIU,35054,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:32:04",934,921,1,2,10,517,505,0,2,10,493,24,1000,483,56,123,165,1,145,3
6,BISTRIŢA-NĂSĂUD,"POLIȚIA LOCALĂ-PUNCT DE LUCRU SUBCETATE",22,"MUNICIPIUL BISTRIŢA",32394,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:14:16",1440,1431,2,7,0,836,829,0,7,0,810,26,1550,714,43,368,337,16,43,3
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI BRANIŞTEA",89,BRANIŞTEA,32660,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:03",959,916,1,10,32,620,577,1,10,32,595,25,998,378,18,254,259,19,41,4
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI BUDACU DE JOS",92,"BUDACU DE JOS",32704,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:12:24",786,776,0,2,8,422,412,0,2,8,401,21,890,468,71,247,72,3,5,3
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI CĂIANU MIC",101,"CĂIANU MIC",32811,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:12:06",1202,1159,1,3,39,642,600,0,3,39,618,24,1300,658,25,501,78,0,14,0
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI CHIOCHIŞ",108,CHIOCHIŞ,33015,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:19:02",293,283,0,0,10,193,183,0,0,10,181,11,300,107,15,100,54,3,7,2
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI FELDRU",134,FELDRU,33248,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:17",1464,1446,4,10,4,734,720,0,10,4,703,31,1600,866,27,360,278,4,27,7
6,BISTRIŢA-NĂSĂUD,"PRIMĂRIA COMUNEI ILVA MARE",145,"ILVA MARE",33337,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:07",877,847,0,2,28,560,530,0,2,28,547,13,950,390,20,287,198,2,19,21
