precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞIŞCU GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","TEODORESCU HORIA-PARTIDUL SOCIAL DEMOCRAT-voturi","ZAHARCU MIRCEA-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVANOV MARCEL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","TERENTE EUGEN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","GOSAV IOAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","NANE AUREL-PARTIDUL S.O.S. ROMÂNIA-voturi"
38,TULCEA,"CĂMINUL CULTURAL",200,"VALEA NUCARILOR",161482,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:21:32",813,782,1,12,18,499,468,1,12,18,484,2,861,363,217,175,47,5,11,7,22
38,TULCEA,"CĂMINUL CULTURAL",173,PECENEAGA,161151,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:02:12",1339,1264,0,13,62,927,852,0,13,62,899,28,1456,529,211,579,45,3,37,6,18
38,TULCEA,"CĂMINUL CULTURAL",104,CERNA,160127,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:48:30",805,777,1,6,21,485,458,0,6,21,465,20,863,378,106,134,194,4,11,6,10
38,TULCEA,"CĂMINUL CULTURAL",140,JURILOVCA,160644,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:32:07",1016,997,1,10,8,557,539,0,10,8,543,14,1112,555,52,402,47,3,21,4,14
38,TULCEA,"CĂMINUL CULTURAL AGIGHIOL",201,"VALEA NUCARILOR",161482,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:41:12",1363,1323,4,6,30,740,704,0,6,30,714,26,1460,720,413,170,82,5,19,1,24
38,TULCEA,"CĂMINUL CULTURAL GRECI",121,GRECI,160430,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:48:07",1431,1421,3,7,0,656,649,0,7,0,631,25,1577,921,226,268,83,7,16,6,25
38,TULCEA,"CĂMINUL CULTURAL JURILOVCA",139,JURILOVCA,160644,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:51:41",1009,1001,0,4,4,441,433,0,4,4,424,17,1124,683,25,319,52,2,14,1,11
38,TULCEA,"CĂMINUL CULTURAL SATU NOU",151,"MIHAI BRAVU",160831,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:52:13",560,535,3,10,12,304,282,0,10,12,300,4,608,304,44,152,81,1,2,2,18
38,TULCEA,"CĂMINUL CULTURAL TRESTENIC",164,NALBANT,160993,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:44:46",288,274,0,5,9,172,158,0,5,9,167,5,303,131,56,97,8,3,0,0,3
38,TULCEA,"CASA DE CULTURĂ",43,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:12:28",497,492,0,5,0,184,179,0,5,0,175,4,553,374,35,62,43,9,16,3,7
38,TULCEA,"CASA DE CULTURĂ",42,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:10:47",1380,1363,0,17,0,611,594,0,17,0,586,25,1509,898,127,205,123,45,51,5,30
38,TULCEA,"CASA DE CULTURĂ PAUL BARBĂNEAGRĂ",60,"ORAŞ ISACCEA",159687,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:16:57",1255,1236,0,2,17,689,670,0,2,17,670,19,1372,683,147,219,244,10,22,6,22
38,TULCEA,"CASA PRAZNICALĂ",144,LUNCAVIŢA,160680,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:46:33",624,605,0,16,3,333,314,0,16,3,314,19,662,329,67,179,36,5,11,3,13
38,TULCEA,"CENTRUL COMUNITAR DE SERVICII INTEGRATE",138,JURILOVCA,160644,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:38:53",901,889,2,7,3,438,428,0,7,3,431,7,996,558,18,337,40,7,17,3,9
38,TULCEA,"CENTRUL CULTURAL ADMINISTRATIV SOCIAL",169,NUFĂRU,161053,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:04:38",1112,1093,0,7,12,628,609,0,7,12,615,13,1198,570,222,234,84,9,29,7,30
38,TULCEA,"CENTRUL SOCIAL DE ZI PENTRU PERSOANE DEFAVORIZATE",124,GRINDU,160458,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:47:53",1069,995,0,19,55,709,635,0,19,55,658,51,1172,463,338,98,47,0,5,2,168
38,TULCEA,"CENTRU MULTIFUNCTIONAL CATALOI",118,FRECĂŢEI,160387,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:25:45",605,562,0,26,17,605,562,0,26,17,581,24,1110,505,107,328,73,10,19,8,36
38,TULCEA,"COLEGIUL ECONOMIC ” DELTA DUNĂRII”",39,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:25:44",983,976,0,7,0,373,366,0,7,0,366,7,1079,706,74,121,97,13,24,3,34
38,TULCEA,"COLEGIUL ECONOMIC ” DELTA DUNĂRII”",38,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:12:07",1214,1202,6,6,0,476,470,0,6,0,456,20,1332,856,138,105,105,29,35,3,41
38,TULCEA,"COLEGIUL NAȚIONAL ”SPIRU HARET”",44,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:22:44",1712,1705,2,5,0,686,681,0,5,0,666,20,1918,1232,156,207,135,57,58,6,47
38,TULCEA,"CONSILIUL LOCAL",181,"SLAVA CERCHEZĂ",161259,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:22:05",979,936,0,30,13,979,936,0,30,13,445,35,1049,569,211,160,46,4,5,1,18
38,TULCEA,"GARAJE, SPAȚII DE DEPOZITARE ȘI BIROURI ALE CONSILIULUI JUDEȚEAN TULCEA",22,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:45:44",1712,1701,2,9,0,676,667,0,9,0,656,20,1905,1229,156,207,129,54,56,10,44
38,TULCEA,"GRĂDINIŢA ”CONSTANTIN BRĂTESCU”",62,"ORAŞ ISACCEA",159687,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:49:27",1298,1287,0,1,10,719,708,0,1,10,693,26,1412,693,148,194,283,5,25,6,32
38,TULCEA,"GRĂDINIŢA CU PROGRAM NORMAL",167,NICULIŢEL,161035,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:47:16",1196,1192,0,1,3,542,538,0,1,3,512,25,1317,780,91,231,97,2,69,1,21
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",109,CIUCUROVA,160225,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:41:08",404,400,0,4,0,208,204,0,4,0,195,13,441,233,99,69,20,0,2,0,5
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",128,HORIA,160528,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:53:25",838,792,1,8,37,527,482,0,8,37,515,12,891,363,41,282,142,8,14,9,19
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",126,HAMCEARCA,160476,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:36:06",303,253,0,38,12,248,198,0,38,12,243,5,292,44,76,136,22,1,4,1,3
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL",127,HAMCEARCA,160476,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:43:45",508,478,0,18,12,338,308,0,18,12,322,16,538,200,91,168,54,1,5,1,2
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL CALFA",192,TOPOLOG,161384,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:34:50",107,99,0,8,0,65,57,0,8,0,60,5,109,44,8,34,8,0,5,1,4
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL LĂSTUNI",154,"MIHAIL KOGĂLNICEANU",160877,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:18:31",373,355,1,6,11,307,290,0,6,11,300,7,407,100,160,103,26,2,7,0,2
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL LUMINIȚA",195,TOPOLOG,161384,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:57:03",197,189,0,7,1,109,101,0,7,1,100,9,214,105,14,52,17,0,13,2,2
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL MĂGURELE",196,TOPOLOG,161384,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:00:20",186,180,0,6,0,109,103,0,6,0,102,7,198,89,32,53,10,1,4,0,2
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL MINA ALTÂN-TEPE",188,STEJARU,161348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:40:48",325,314,0,7,4,162,151,0,7,4,158,4,348,186,101,34,11,1,2,3,6
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL MIRCEA VODĂ",103,CERNA,160127,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:02:24",412,387,1,13,11,250,226,0,13,11,242,8,443,193,103,84,39,3,3,2,8
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL PARCHEȘ",186,SOMOVA,161302,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:44:01",631,627,2,2,0,314,311,1,2,0,299,15,694,380,113,87,29,27,27,4,12
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL RÂNDUNICA",155,"MIHAIL KOGĂLNICEANU",160877,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:15:51",499,484,0,5,10,346,331,0,5,10,341,5,542,196,168,106,44,2,6,0,15
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL REVĂRSAREA",63,"ORAŞ ISACCEA",159687,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:41:10",386,375,0,9,2,205,194,0,9,2,197,8,415,210,39,80,59,1,5,3,10
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL SABANGIA",177,SARICHIOI,161179,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:20:03",447,438,0,8,1,200,191,0,8,1,194,6,484,284,44,102,29,2,9,0,8
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL VASILE ALECSANDRI",189,STEJARU,161348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:16:57",293,277,0,11,5,293,277,0,11,5,289,4,442,149,174,67,20,1,3,20,4
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL VISTERNA",178,SARICHIOI,161179,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:46:51",321,317,0,4,0,142,138,0,4,0,138,4,351,209,17,62,49,3,0,2,5
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT A LICEULUI TEHNOLOGIC AGRICOL ”NICOLAE CORNĂȚEANU”",40,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:55:19",1588,1583,5,0,0,691,691,0,0,0,672,19,1787,1096,157,189,139,56,56,9,66
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",14,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:36:32",1623,1617,0,6,0,682,676,0,6,0,677,5,1800,1118,146,261,117,59,59,8,27
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",6,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:21:02",1499,1491,2,6,0,520,514,0,6,0,503,17,1673,1153,102,185,109,29,36,4,38
38,TULCEA,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 13",5,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:23:08",1595,1587,0,8,0,592,584,0,8,0,584,8,1781,1189,138,177,137,44,34,7,47
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.17",34,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:46:14",1534,1531,0,3,0,643,640,0,3,0,622,21,1699,1056,114,209,133,63,42,16,45
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.17",35,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:47:51",1522,1515,2,5,0,473,468,0,5,0,458,15,1678,1205,98,137,122,24,35,3,39
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.18",2,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:58:06",1311,1306,0,5,0,511,506,0,5,0,498,13,1449,938,109,187,106,35,39,4,18
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.18",1,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:13:14",1201,1191,4,6,0,388,382,0,6,0,383,5,1319,931,67,134,95,29,29,3,26
38,TULCEA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 3",66,"ORAŞ MĂCIN",159730,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:39:29",1101,1089,4,7,1,514,506,0,7,1,491,23,1213,699,176,145,92,12,37,5,24
38,TULCEA,"GRĂDINIȚA DE COPII CORP 2",146,MAHMUDIA,160724,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:50",1076,1053,0,6,17,574,551,0,6,17,559,15,1161,587,76,319,103,7,22,4,28
38,TULCEA,"GRĂDINIȚA DE COPII CORP 2",145,MAHMUDIA,160724,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:19",1051,1014,2,9,26,536,502,0,9,25,516,17,1120,50,66,299,74,18,31,3,25
38,TULCEA,"GRĂDINIŢA DE COPII OSTROV",171,OSTROV,161106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:02:30",1555,1504,2,13,36,885,836,0,13,36,829,56,1664,779,331,375,57,5,29,6,26
38,TULCEA,"GRADINITA FLORESTI",130,HORIA,160528,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:01:03",221,201,0,9,11,136,116,0,9,11,131,5,208,72,5,61,56,1,1,0,7
38,TULCEA,"IMOBIL PROPRIETATE PRIVATĂ (FOST SPAȚIU COMERCIAL)",157,MURIGHIOL,160911,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:38:40",111,103,0,8,0,60,52,0,8,0,59,1,114,54,15,16,16,1,8,0,3
38,TULCEA,"INTERNAT LICEUL TEORETIC „ION CREANGĂ”",3,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:26:17",1709,1701,0,6,2,641,633,0,6,2,628,13,1893,1252,147,235,116,37,32,11,50
38,TULCEA,"INTERNAT LICEUL TEORETIC „ION CREANGĂ”",4,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:02:01",1556,1545,1,8,2,635,625,0,8,2,617,18,1709,1074,142,232,122,31,44,6,40
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",12,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:26",901,890,2,8,1,398,389,0,8,1,381,16,991,589,87,137,70,17,39,14,17
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",11,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:12:33",1150,1143,2,4,1,530,525,0,4,1,517,13,1266,734,117,198,93,32,46,10,21
38,TULCEA,"LICEUL DE ARTE ”GEORGE GEORGESCU”",13,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:13:53",902,892,4,6,0,365,359,0,6,0,353,10,988,625,91,119,67,25,26,4,21
38,TULCEA,"LICEUL ”DIMITRIE CANTEMIR” BABADAG",54,"ORAŞ BABADAG",159650,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:39:23",1359,1310,0,46,3,694,645,0,46,3,659,35,1498,804,323,257,40,10,10,6,13
38,TULCEA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” TULCEA",41,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:38:54",1496,1489,0,7,0,438,431,0,7,0,430,8,1652,1214,96,125,98,19,28,8,56
38,TULCEA,"LICEUL TEHNOLOGIC ”HENRI COANDĂ” TULCEA",36,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:52:05",1453,1442,0,11,0,600,589,0,11,0,586,10,1592,996,117,206,123,47,49,7,37
38,TULCEA,"LICEUL TEHNOLOGIC TOPOLOG",190,TOPOLOG,161384,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:17",920,915,0,0,5,500,495,0,0,5,462,38,1018,518,68,270,77,4,18,4,21
38,TULCEA,"LICEUL TEHNOLOGIC TOPOLOG",191,TOPOLOG,161384,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:34",977,971,0,1,5,557,551,0,1,5,510,21,1079,547,100,263,91,4,20,8,24
38,TULCEA,"LICEUL TEORETIC ”CONSTANTIN BRĂTESCU”",61,"ORAŞ ISACCEA",159687,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:13:40",1147,1127,1,9,10,629,610,0,9,10,611,18,1257,628,123,146,280,12,25,3,22
38,TULCEA,"LICEUL TEORETIC” GHEORGHE MUNTEANU MURGOCI”",69,"ORAŞ MĂCIN",159730,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:01:41",1314,1301,2,7,4,552,541,0,7,4,503,49,1444,892,160,178,70,13,37,3,42
38,TULCEA,"LICEUL TEORETIC” GHEORGHE MUNTEANU MURGOCI”",70,"ORAŞ MĂCIN",159730,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:32:21",903,897,0,6,0,332,326,0,6,0,312,20,993,661,77,137,44,7,19,2,26
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",16,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:13:25",969,949,2,6,12,432,414,0,6,12,423,9,1073,641,101,162,76,27,25,5,27
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",15,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:08",1095,1087,2,5,1,503,497,0,5,1,492,11,1215,712,97,173,118,37,47,3,17
38,TULCEA,"LICEUL TEORETIC „JEAN BART”",73,"ORAŞ SULINA",159767,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:53:33",1001,966,2,15,18,550,517,0,15,18,520,30,1071,521,83,185,143,26,63,6,14
38,TULCEA,"PUNCT DE ÎNCASARE TAXE ŞI IMPOZITE LOCALE",28,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:58:49",1566,1556,2,8,0,688,680,0,8,0,674,14,1741,1053,142,238,134,54,74,7,25
38,TULCEA,"SALA DE EDUCAȚIE FIZICĂ ȘCOLARĂ",204,VĂCĂRENI,161543,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:32:44",1778,1710,3,26,39,1232,1166,2,26,38,1172,60,1929,697,637,443,48,4,13,4,23
38,TULCEA,"SALA DE EDUCAȚIE FIZICĂ ȘI SPORT",74,"ORAŞ SULINA",159767,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:15:47",1017,996,0,4,17,548,527,0,4,17,525,23,1117,569,64,205,131,45,57,5,18
38,TULCEA,"SALA DE SPORT MULTIFUNCŢIONALĂ „DANIEL IULIAN POHARIU”",33,"MUNICIPIUL TULCEA",159614,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:06:06",1338,1329,1,8,0,503,495,0,8,0,489,14,1487,983,103,174,104,31,34,4,39
38,TULCEA,"”SALA DE SPORT TOMA AUREL”",59,"ORAŞ BABADAG",159650,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:58:40",1259,1228,0,29,2,658,627,0,29,2,631,27,1356,698,273,260,67,7,11,3,10
38,TULCEA,ŞCOALA,92,CASIMCEA,159963,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:34:49",36,27,0,9,0,30,21,0,9,0,29,1,40,10,7,22,0,0,0,0,0
38,TULCEA,ŞCOALA,85,BEŞTEPE,161552,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:47:11",66,61,0,5,0,40,35,0,5,0,40,0,77,37,16,11,10,0,1,0,2
