precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HARPA DANIEL-VASILICĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","LAVRIC SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MELINTE LUCIA-ROMÂNIA SOCIALISTĂ-voturi","CUCU RALUCA-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","APOSTOL MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","NEGURIŢĂ CLAUDIU-ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ",453,TIMIŞEŞTI,124661,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:24:15",1029,1021,2,5,1,510,504,0,5,1,492,18,1100,590,182,240,34,3,3,21,9
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ",222,CÂNDEŞTI,122061,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:43",1250,1217,0,7,26,686,653,0,7,26,652,34,1400,714,210,306,91,1,5,19,20
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA” CORP B(GRĂDINIŢA DE COPII NR. 12 CU PROGRAM NORMAL)",117,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:08:16",1113,1105,1,7,0,476,469,0,7,0,447,29,1200,724,138,193,39,7,7,39,24
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA” CORP C(GRĂDINIŢA DE COPII NR. 3 CU PROGRAM PRELUNGIT)",116,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:39:29",1215,1212,0,3,0,523,520,0,3,0,508,15,1300,777,149,214,46,3,7,62,27
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”(ŞCOALA NR. 5)",115,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:39:55",1227,1214,3,9,1,513,503,0,9,1,486,27,1300,787,151,192,44,1,11,57,30
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”(ŞCOALA NR. 5)",114,"MUNICIPIUL ROMAN",120860,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:37:49",1485,1475,1,9,0,1484,1475,0,9,0,608,22,1600,970,211,239,43,3,7,71,34
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU PODOLEANU”",369,PODOLENI,123674,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:03:49",1017,997,0,6,14,546,526,0,6,14,470,37,1100,593,167,238,45,3,2,0,15
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU PODOLEANU”",370,PODOLENI,123674,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:11:40",1135,1125,0,3,7,584,574,0,3,7,562,22,1200,616,185,308,37,4,1,21,6
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”ANTONIE MUREȘIANU”- GRĂDINIȚA",184,BIRA,121386,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:18:32",555,541,0,7,7,320,306,0,7,7,310,10,594,274,148,112,21,2,2,13,12
29,NEAMŢ,"SCOALA GIMNAZIALA”ARHIM.CHIRIAC NECULAU” NEMTISOR",486,VÂNĂTORI-NEAMŢ,125016,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:27:43",1192,1181,3,7,1,504,496,0,7,1,468,36,1300,796,262,101,45,2,2,29,27
