precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ŞERBAN MARCEL-IULIAN-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
8,BRAŞOV,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 2",4,"MUNICIPIUL BRAŞOV",40198,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:17",1177,1150,22,5,0,576,570,1,5,0,561,15,1300,724,121,44,52,19,66,10,249
8,BRAŞOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT ”PINOCHIO”",228,"MUNICIPIUL FĂGĂRAŞ",40278,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:50",410,394,1,14,1,409,394,0,14,1,365,27,1200,806,74,63,117,33,22,10,46
8,BRAŞOV,"GRĂDINIŢA DĂIŞOARA",450,UNGRA,42156,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:12:51",584,582,0,2,0,401,399,0,2,0,323,78,601,200,178,29,100,4,10,1,1
8,BRAŞOV,"GRĂDINIȚA DE COPII",298,AUGUSTIN,42498,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:09:43",1451,1444,0,2,5,906,899,0,2,5,807,99,1580,674,119,160,485,21,18,0,4
8,BRAŞOV,"GRADINITA DE COPII CRISTIAN",332,CRISTIAN,40900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:28:12",1343,1323,7,12,1,763,749,1,12,1,745,18,1500,737,334,43,95,18,32,13,210
8,BRAŞOV,"GRADINIȚA DE COPII CRISTIAN",333,CRISTIAN,40900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:09:17",1331,1314,4,7,6,709,694,2,7,6,682,27,1463,754,366,58,98,19,14,3,124
8,BRAŞOV,"GRĂDINIȚA DE COPII, CRISTIAN",335,CRISTIAN,40900,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:14:28",1332,1288,13,26,5,819,786,2,26,5,800,19,1400,581,351,50,77,25,16,13,268
8,BRAŞOV,"GRADINITA NR.1",195,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:22:05",1353,1344,2,6,1,634,627,0,6,1,596,38,1500,866,152,53,203,31,31,17,109
8,BRAŞOV,"GRADINITA NR.1",194,"MUNICIPIUL CODLEA",40241,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:22:01",1239,1228,7,4,0,598,594,0,4,0,558,40,1400,802,165,47,195,20,24,27,80
8,BRAŞOV,"GRĂDINIŢA NR. 1",279,"ORAŞ VICTORIA",40465,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:40:15",1345,1325,2,16,2,555,537,0,16,2,540,15,1500,945,97,61,199,17,4,2,160
