precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","BLOCUL SUVERANIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi"
19,GIURGIU,"GRĂDINIŢA CU PP NR.9",37,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:43",966,953,0,11,2,337,324,0,11,2,320,17,1004,667,11,119,112,43,17,4,12,2
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.6",25,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:32:16",1195,1187,2,5,1,498,492,0,5,1,482,16,1308,810,37,209,132,61,30,6,5,2
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.8 GORNENI",14,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:11:35",1210,1201,0,8,1,406,397,0,8,1,380,26,1321,915,18,171,108,44,30,0,6,3
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",10,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:07",1360,1349,1,10,0,522,512,0,10,0,502,20,1483,961,26,218,154,68,27,0,7,2
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",9,"MUNICIPIUL GIURGIU",100521,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:41:45",1169,1157,3,6,3,441,432,0,6,3,418,23,1281,840,19,189,146,42,18,4,0,0
19,GIURGIU,"LICEUL ”TUDOR VIANU”",4,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:48:27",1067,1058,0,7,2,430,421,0,7,2,410,20,1185,755,17,177,112,69,21,0,10,4
19,GIURGIU,"PRIMĂRIA MUNICIPIULUI GIURGIU",3,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:05",1022,1014,1,7,0,394,387,0,7,0,368,26,1115,721,19,187,104,34,19,2,1,2
19,GIURGIU,"PUNCTUL TERMIC NR. 35",34,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:52:10",1115,1108,1,5,1,440,434,0,5,1,424,16,1220,780,26,178,144,52,17,0,5,2
19,GIURGIU,"PUNCTUL TERMIC NR.35",35,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:49",780,770,1,9,0,332,323,0,9,0,322,10,847,514,11,137,111,38,17,2,4,2
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",19,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 13:21:16",1104,1079,2,6,17,434,420,0,6,8,413,21,1306,872,19,138,181,40,21,3,9,2
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",22,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:20:28",951,948,0,3,0,397,394,0,3,0,376,21,1144,747,15,172,115,39,18,4,12,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",21,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:51:03",1183,1178,0,5,0,498,493,0,5,0,491,7,1753,1255,28,211,159,38,33,6,8,8
19,GIURGIU,"ŞCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",20,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:12:51",1094,1089,1,4,0,449,445,0,4,0,438,11,1198,749,21,194,147,48,16,2,6,4
19,GIURGIU,"ȘCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",18,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:19:41",992,983,2,7,0,401,394,0,7,0,384,17,1179,778,27,154,118,31,42,0,9,3
19,GIURGIU,"ȘCOALA GIMNAZIALĂ ACAD. MARIN VOICULESCU",17,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:21:50",1421,1413,3,5,0,541,536,0,5,0,524,17,1584,1043,36,249,152,49,27,2,9,0
19,GIURGIU,"ŞCOALA GIMNAZIALĂ MIHAI EMINESCU",47,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:53:27",1287,1279,0,6,2,552,544,0,6,2,520,32,1408,856,37,221,170,59,20,1,9,3
19,GIURGIU,"ȘCOALA GIMNAZIALĂ MIHAI EMINESCU",48,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 14:16:40",1197,1189,3,4,1,490,485,0,4,1,466,24,1307,817,28,225,123,51,24,3,8,4
19,GIURGIU,"ŞCOALA GIMNAZIALĂ MIRCEA CEL BĂTRÂN",5,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:12:33",1170,1165,0,5,0,549,544,0,5,0,529,20,1305,756,30,261,166,59,9,0,4,0
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR,10",30,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:26:43",807,799,0,7,1,283,275,0,7,1,274,9,882,599,12,103,104,31,16,1,7,0
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.10",27,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:57:38",1019,1010,0,9,0,389,380,0,9,0,383,6,1115,726,14,170,141,36,12,3,3,4
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.10",26,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:23:01",1024,1005,8,7,4,380,369,0,7,4,370,10,1054,674,24,154,111,51,20,2,6,2
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.10",28,"MUNICIPIUL GIURGIU",100521,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:46:38",1035,1020,0,14,1,373,358,0,14,1,358,15,1122,749,16,143,122,40,23,1,7,6
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR.10",29,"MUNICIPIUL GIURGIU",100521,5,PART,PRCNCT,CL,CL_SV,"2024-06-12 13:39:06",1180,1171,1,7,1,461,453,0,7,1,445,16,1280,819,23,153,149,64,29,14,10,3
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.3",12,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:29:43",1247,1237,2,8,0,459,451,0,8,0,437,22,1360,901,16,194,137,59,26,3,2,0
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR.3",11,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:50:34",743,736,0,7,0,269,262,0,7,0,255,14,900,631,11,113,88,23,9,2,8,1
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR.3",13,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:07:33",1396,1389,0,5,2,437,430,0,5,2,383,54,1530,1093,12,187,105,46,24,2,6,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.5",31,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:42",848,844,0,4,0,362,358,0,4,0,345,17,928,566,20,161,93,42,19,4,3,3
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.5",32,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:49:05",1083,1072,1,8,2,402,392,0,8,2,385,17,1181,779,17,156,139,41,21,6,4,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.5",33,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:57",1072,1063,0,9,0,431,422,0,9,0,415,16,1172,741,13,200,117,47,17,4,16,1
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR.7",46,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:31:42",1320,1312,0,6,2,549,541,0,6,2,526,23,1447,898,38,228,183,49,18,3,4,3
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SAVIN POPESCU",40,"MUNICIPIUL GIURGIU",100521,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:44:46",1388,1377,3,6,2,565,557,0,6,2,542,23,1522,957,29,243,154,61,37,8,8,2
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SAVIN POPESCU",41,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:06",1000,990,1,8,1,344,335,0,8,1,326,18,1091,747,15,148,104,32,13,4,8,2
19,GIURGIU,"ȘCOALA GIMNAZIALĂ SAVIN POPESCU",42,"MUNICIPIUL GIURGIU",100521,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:48:11",1189,1180,1,8,0,504,497,0,7,0,484,20,1246,742,21,227,133,69,26,2,5,1
19,GIURGIU,"ȘCOALA GIMNAZIALĂ SAVIN POPESCU",43,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:19:50",1052,1049,1,2,0,369,367,0,2,0,349,20,1153,784,13,157,118,32,17,3,6,3
19,GIURGIU,"ŞCOALA GIMNAZIALĂ SFÂNTUL GHEORGHE",1,"MUNICIPIUL GIURGIU",100521,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:56",1255,1243,6,6,0,504,498,0,6,0,486,18,1293,789,40,230,120,55,26,3,10,2
19,GIURGIU,"SEMINARUL TEOLOGIC TEOCTIST PATRIARHUL",6,"MUNICIPIUL GIURGIU",100521,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:37:50",994,985,1,7,1,401,393,0,7,1,384,17,1080,679,16,201,93,50,17,2,5,0
