precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA ARMENILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 1 CU PROGRAM PRELUNGIT",97,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:24:49",1349,1343,0,6,0,531,525,0,6,0,509,16,1500,975,200,9,36,43,186,28,7
29,NEAMŢ,"GRĂDINIȚA DE COPII NR. 2 CU PROGRAM PRELUNGIT",77,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:07:09",1135,1086,1,8,40,551,503,0,8,40,521,30,1300,749,238,14,33,55,152,19,10
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 4 CU PROGRAM NORMAL",94,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:15",1307,1299,2,3,3,533,527,0,3,3,520,13,1400,867,185,18,54,46,176,28,13
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 5 CU PROGRAM NORMAL",109,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:11:39",1399,1394,1,4,0,561,557,0,4,0,538,19,1500,943,200,7,44,69,180,28,10
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 5 CU PROGRAM PRELUNGIT",95,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:57:46",1467,1460,2,4,1,607,602,0,4,1,581,21,1600,993,214,12,44,75,198,23,15
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 6 CU PROGRAM NORMAL",84,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:45:14",1389,1384,0,5,0,551,546,0,5,0,514,36,1500,949,187,12,47,64,161,28,15
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 6 CU PROGRAM PRELUNGIT",78,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:19:39",1189,1179,1,9,0,502,493,0,9,0,485,17,1300,798,186,8,44,58,152,25,12
29,NEAMŢ,"LICEUL CU PROGRAM SPORTIV",100,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:53",1016,1005,2,9,0,412,403,0,9,0,401,11,1100,688,151,7,35,47,133,21,7
29,NEAMŢ,"LICEUL TEHNOLOGIC „VASILE SAV”",86,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:52",953,944,0,8,1,386,377,0,8,1,368,18,1100,714,113,6,39,37,143,22,8
29,NEAMŢ,"LICEUL TEHNOLOGIC „VASILE SAV”",85,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:29",1018,1013,1,4,0,347,343,0,4,0,333,14,1100,753,130,6,31,41,96,20,9
29,NEAMŢ,"LICEUL TEOLOGIC „EPISCOP MELCHISEDEC”",105,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:41:00",1236,1225,0,10,1,506,495,0,10,1,472,17,1400,911,201,9,27,44,159,26,6
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP A",91,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:58",1229,1217,1,9,2,474,462,1,9,2,447,15,1300,838,164,7,30,57,155,24,10
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP A",92,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:12:51",1268,1259,0,8,1,554,545,0,8,1,537,17,1400,846,238,8,39,52,166,23,11
29,NEAMŢ,"ŞCOALA DE ARTĂ ”SERGIU CELIBIDACHE” - CORP B",93,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:19:49",1294,1285,2,7,0,523,516,0,7,0,489,34,1400,877,159,13,36,64,167,35,15
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA” CORP B(GRĂDINIŢA DE COPII NR. 12 CU PROGRAM NORMAL)",117,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:15",1113,1105,1,7,0,476,469,0,7,0,462,14,1200,724,166,7,33,58,160,27,11
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA” CORP C(GRĂDINIŢA DE COPII NR. 3 CU PROGRAM PRELUNGIT)",116,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:39:28",1215,1212,0,3,0,523,520,0,3,0,508,15,1300,777,180,14,48,78,164,20,4
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”(ŞCOALA NR. 5)",115,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:55",1227,1214,3,9,1,513,503,0,9,1,492,21,1300,787,174,15,43,66,151,32,11
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ „ALEXANDRU IOAN CUZA”(ŞCOALA NR. 5)",114,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:49",1485,1475,1,9,0,1484,1475,0,9,0,610,20,1600,970,234,20,45,80,200,21,10
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CALISTRAT HOGAŞ”",80,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:33",1685,1676,1,6,2,402,394,0,6,2,385,17,1800,1398,135,9,43,38,133,20,7
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CALISTRAT HOGAŞ”",81,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:54:14",1370,1358,1,9,2,440,428,1,9,2,419,18,1500,1055,147,8,53,28,151,26,6
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CALISTRAT HOGAŞ”",79,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:47:10",1553,1543,0,8,2,522,512,0,8,2,487,35,1700,1178,171,11,55,54,143,41,12
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”CALISTRAT HOGAȘ”",82,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:36:19",1249,1229,3,7,10,462,445,0,7,10,442,20,1400,938,185,7,47,27,146,25,5
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CAROL I”",90,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:54:22",1399,1394,0,3,2,650,645,0,3,2,618,32,1500,850,279,8,56,53,186,28,8
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”CAROL I”",89,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:14:53",1525,1520,0,4,1,665,660,0,4,1,628,37,1700,1035,289,12,35,40,213,35,4
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”COSTACHE NEGRI” - LOCAL NOU",110,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:42:50",915,906,2,7,0,354,347,0,7,0,336,18,998,644,125,12,29,46,103,15,6
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”COSTACHE NEGRI” - LOCAL NOU",111,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:12",1385,1375,0,9,1,595,585,0,9,1,569,26,1500,597,228,16,71,41,164,37,12
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",88,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:16:21",1334,1323,6,5,0,554,549,0,5,0,521,33,1400,846,199,9,46,60,180,18,9
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",87,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:54",1188,1173,0,13,2,391,378,0,11,2,343,48,1300,909,131,5,40,12,131,21,3
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ROMAN MUŞAT”",106,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:38",1276,1268,0,8,0,538,530,0,8,0,519,19,1400,862,206,5,46,41,197,16,8
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ROMAN MUŞAT”",107,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:05",1202,1197,0,5,0,472,467,0,5,0,455,17,1300,828,172,8,40,63,147,24,1
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”ROMAN MUŞAT”",108,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:25:05",1300,1294,0,6,0,499,493,0,6,0,479,20,1400,901,170,6,35,61,185,15,7
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”VASILE ALECSANDRI” - LOCAL NOU",102,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:05:24",1323,1316,2,3,2,518,513,0,3,2,497,16,1500,987,195,8,46,55,143,40,10
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”VASILE ALECSANDRI” - LOCAL NOU",101,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:10",1183,1174,3,6,0,533,527,0,6,0,513,20,1300,767,213,13,31,56,158,32,10
