precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BRANIŞTE LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SANDU IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VLADA ROBERT-LAURENŢIU-PARTIDUL NAȚIONAL LIBERAL-voturi","ARCĂLEANU MARIUS-MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TRIFU ALIN-DAN-PARTIDUL PRO ROMÂNIA-voturi","PINTILIE CIPRIAN-VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN MOTAȘ”",43,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:17:46",874,867,0,6,1,324,317,0,6,1,303,17,900,580,134,33,18,96,5,17
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN PARFENE”",13,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:11:50",1821,1814,0,7,0,104,97,0,7,0,98,6,2796,2692,39,6,15,33,4,1
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN PARFENE”",17,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:54:42",1889,1882,0,6,1,176,169,0,6,1,168,8,2000,1824,61,24,14,61,4,4
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN PARFENE”",14,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:45:30",1755,1745,0,10,0,169,159,0,10,0,169,0,2000,1831,77,15,12,58,4,3
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN PARFENE”",16,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:57:29",1896,1888,0,7,1,388,380,0,7,1,370,18,2000,1612,160,73,25,96,8,8
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN PARFENE”",15,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:04:34",1689,1682,0,7,0,90,83,0,7,0,89,1,2368,10,38,13,2,35,1,0
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN PARFENE”",19,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:23:12",1775,1765,0,10,0,10,0,0,10,0,10,0,2000,1990,4,1,2,2,1,0
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”CONSTANTIN PARFENE”",18,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:18:28",1811,1803,0,8,0,36,28,0,8,0,36,0,2000,1964,16,4,2,10,3,1
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",32,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:49:25",1820,1811,0,8,1,53,44,0,8,1,52,1,2000,1947,33,3,2,12,1,1
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",31,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:08",1703,1693,0,8,2,591,581,0,8,2,573,18,1800,1209,288,72,28,147,19,19
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",33,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:41:31",1701,1693,0,7,1,200,192,0,7,1,191,9,1701,1501,85,24,18,54,3,7
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”ELENA CUZA”",62,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:35:56",961,949,2,7,3,352,342,0,7,3,342,10,1000,648,149,34,33,115,9,2
39,VASLUI,"ŞCOALA GIMNAZIALĂ ”ELENA CUZA”",63,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:19",883,873,1,6,3,361,352,0,6,3,355,6,900,539,153,42,27,114,9,10
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”MIHAI EMINESCU”",51,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:20:59",1632,1619,3,9,1,523,513,0,9,1,514,9,1675,1152,231,68,47,155,7,6
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",30,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:15",1614,1604,0,8,2,468,458,0,8,2,457,11,1700,1232,214,55,25,139,16,8
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",29,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:49",1546,1543,0,3,0,300,297,0,3,0,294,6,1600,1300,134,30,22,98,6,4
39,VASLUI,"ŞCOALA GIMNAZIALĂ „STEFAN CEL MARE”,",40,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:40:36",914,906,0,7,1,319,311,0,7,1,312,7,1000,681,151,46,34,74,2,5
39,VASLUI,"ŞCOALA GIMNAZIALĂ „STEFAN CEL MARE”,",42,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:05:19",1118,1110,0,8,0,57,49,0,8,0,54,3,1200,1143,27,6,6,12,2,1
39,VASLUI,"ŞCOALA GIMNAZIALĂ „STEFAN CEL MARE”,",41,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:01:06",1681,1673,1,5,2,588,582,0,5,1,557,24,1700,1119,270,66,33,156,17,15
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”VASILE ALECSANDRI”",52,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:25:23",955,947,2,5,1,310,304,0,5,1,293,10,1000,697,120,25,18,119,8,3
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”VASILE ALECSANDRI”",54,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:04",1035,1028,0,6,1,261,254,0,6,1,250,11,1200,939,91,42,20,84,7,6
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”VASILE ALECSANDRI”",53,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:59",1411,1403,1,7,0,334,327,0,7,0,322,12,1600,1266,110,43,26,133,6,4
39,VASLUI,"ȘCOALA GIMNAZIALĂ ”VASILE ALECSANDRI”",55,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:48:19",1450,1442,0,6,2,459,451,0,6,2,449,2,1600,1149,169,57,33,177,7,6
39,VASLUI,"ŞCOALA PRIMARĂ",69,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:19:47",803,799,0,4,0,147,143,0,4,0,131,16,900,753,70,18,9,26,3,5
39,VASLUI,"ŞCOALA PRIMARĂ",67,"MUNICIPIUL VASLUI",161945,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:46:03",344,336,0,7,1,128,120,0,7,1,121,7,400,272,73,12,14,17,4,1
39,VASLUI,"ŞCOALA PRIMARĂ",68,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:14:16",993,986,0,6,1,251,244,0,6,1,233,18,1200,949,122,29,20,48,5,9
