precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","CHIRILESCU DORIN-voturi","LUNCANU CLARA-voturi"
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",56,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:58:55",1153,1149,0,4,0,436,432,0,4,0,423,13,1312,876,45,108,1,38,132,13,10,48,16,8,4
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",54,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:09:32",985,977,3,5,0,379,374,0,5,0,361,13,1100,721,37,111,1,26,89,22,13,31,16,11,4
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",7,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:59:24",1208,1196,6,6,0,438,432,0,6,0,419,19,1308,870,61,92,2,32,112,13,4,25,18,35,25
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",5,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:21:37",1416,1407,0,9,0,556,547,0,9,0,537,19,1499,942,63,141,3,50,160,9,12,43,24,17,15
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",8,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:59:05",1158,1153,0,5,0,460,455,0,5,0,447,13,1300,840,53,138,0,37,135,11,4,25,21,18,5
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",4,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:34:30",1593,1574,13,6,0,610,604,0,6,0,584,24,1700,1092,57,137,6,40,204,28,12,39,27,25,9
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",3,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:35:49",1633,1621,5,7,0,597,585,5,7,0,576,18,1800,1206,54,138,5,50,187,24,8,45,26,27,12
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGETA MIRCEA CANCICOV”",6,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:58:41",1423,1414,0,9,0,607,598,0,9,0,598,9,1600,993,48,171,0,50,183,26,15,46,14,31,14
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”ION CREANGĂ”",35,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:01:39",1366,1359,0,7,0,534,527,0,7,0,514,18,1500,967,53,122,7,35,183,18,11,33,17,14,21
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”ION CREANGĂ”",34,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:34:41",1297,1288,6,3,0,490,486,1,3,0,476,14,1400,910,52,142,4,44,124,25,12,25,23,13,12
