precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VIGHECIU ADRIAN-NICOLAE-ALIANȚA ELECTORALĂ PSD PNL-voturi","VADIM-TUDOR LIDIA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALBU SAVEL-ADRIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","DIMITRIU ALEXANDRU-PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","UJEUCA MICHAEL-DAN-PARTIDUL SOCIAL DEMOCRAT UNIT-voturi","POPESCU VLAD-PIEDONE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","STATE CONSTANTIN-MIREL-PARTIDUL ROMÂNIA MARE-voturi","ILIE MARIO-RAFAEL-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","MARIN ŞTEFĂNEL-DAN-PARTIDUL S.O.S. ROMÂNIA-voturi","VANGHELIE MARIAN-DANIEL-voturi"
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",947,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:26:04",1234,1229,1,4,0,556,552,0,4,0,545,11,1400,844,94,40,15,98,1,261,4,6,13,13
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",951,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:01:39",1193,1182,7,4,0,479,475,0,4,0,467,12,1300,821,96,40,15,84,1,211,2,2,6,10
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",952,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:13:33",885,877,2,6,0,412,406,0,6,0,409,3,1000,588,75,31,9,83,1,167,4,1,17,21
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",948,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:07:46",1174,1167,0,7,0,513,506,0,7,0,505,8,1400,887,90,36,5,128,1,211,0,8,2,24
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",949,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:33:26",1340,1324,3,12,1,502,489,0,12,1,494,6,1500,998,88,38,11,62,1,255,5,3,11,20
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",944,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:35:57",973,967,0,6,0,448,442,0,6,0,438,10,1100,652,74,46,12,92,0,181,4,3,8,18
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",950,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:20:55",1163,1151,2,10,0,503,492,1,10,0,488,15,1300,797,88,29,11,90,1,238,1,4,6,20
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",946,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:09:29",1041,1037,0,4,0,452,448,0,4,0,439,13,1200,748,70,16,14,90,5,220,3,1,5,15
48,"Sector 5","LICEUL TEORETIC ”DIMITRIE BOLINTINEANU”",945,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:54:02",875,868,2,5,0,391,385,1,5,0,374,12,1000,614,79,27,11,99,0,139,1,4,1,13
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",972,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:41:18",1256,1243,0,13,0,617,604,0,13,0,597,19,1400,784,108,43,22,197,2,161,8,14,5,37
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",967,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:38:01",1052,1047,2,3,0,563,560,0,3,0,551,12,1200,637,101,38,23,173,3,175,4,3,5,26
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",966,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:05:49",947,934,7,5,1,505,499,0,5,1,499,6,1100,595,104,20,18,202,4,131,2,3,2,13
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",965,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 02:56:46",1284,1273,7,4,0,590,586,0,4,0,566,24,1400,810,112,28,24,174,2,169,3,2,14,38
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",968,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:45:27",1186,1180,3,3,0,567,564,0,3,0,552,15,1300,733,118,37,15,171,1,165,2,3,14,26
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",964,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:56:11",1118,1109,3,6,0,513,507,0,6,0,502,10,1200,688,82,17,11,186,1,167,3,3,4,28
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",969,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:19:02",1859,1838,17,4,0,874,870,0,4,0,853,21,1900,1026,153,53,41,264,10,270,4,3,20,35
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",971,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:15:44",858,836,12,10,0,411,401,0,10,0,406,5,1000,589,68,21,22,141,1,101,16,6,7,23
48,"Sector 5","LICEUL TEORETIC ”ION BARBU”",970,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:39:13",913,898,2,13,0,455,442,0,13,0,447,8,1000,545,76,35,10,178,3,102,4,4,8,27
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",910,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:35:58",1578,1574,2,2,0,666,664,0,2,0,648,16,1700,1034,111,33,8,95,4,353,5,2,10,27
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",908,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:26:10",1521,1515,1,5,0,609,604,0,5,0,601,8,1600,991,83,39,10,90,1,334,5,6,8,25
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",906,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 10:06:11",1299,1288,2,9,0,485,476,0,9,0,459,26,1397,912,38,30,5,54,1,276,2,21,12,20
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",909,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:03:00",1627,1618,1,7,1,647,639,0,7,1,622,25,1800,1153,92,38,11,87,1,337,3,9,13,31
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”GEORGE CĂLINESCU”",907,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:57:19",1243,1237,1,5,0,493,488,0,5,0,479,14,1400,907,69,24,5,87,0,251,3,12,10,18
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",905,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:06:52",1429,1417,6,6,0,552,546,0,6,0,536,15,1600,1049,73,27,11,122,0,268,5,3,7,20
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",895,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 20:32:31",1035,1025,0,10,0,488,478,0,10,0,476,12,1200,712,63,40,15,108,2,231,1,2,6,8
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",900,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:33:18",1113,1101,0,12,0,452,440,0,12,0,440,12,1200,748,60,14,11,100,0,231,4,1,4,15
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",896,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:32:27",1014,1008,1,5,0,458,453,0,5,0,447,10,1100,643,54,21,11,86,3,242,2,1,11,16
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",899,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 08:41:11",1312,1307,0,5,0,529,524,0,5,0,520,9,1402,873,55,39,16,102,1,264,6,5,7,25
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",898,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:08:06",1202,1188,0,14,0,527,513,0,14,0,517,10,1300,773,75,28,7,86,2,274,3,0,10,32
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",902,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:52:26",1619,1614,0,5,0,444,439,0,5,0,421,23,1700,1256,65,25,8,36,0,245,3,10,10,19
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",903,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:21:01",1382,1374,1,7,0,467,460,0,7,0,453,14,1500,1033,60,25,7,76,3,226,4,3,17,32
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",897,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:23:17",1347,1342,1,4,0,583,579,0,4,0,577,6,1500,917,80,29,11,73,1,351,3,3,8,18
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",901,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:52:19",1335,1325,1,8,1,400,391,0,8,1,380,20,1500,1100,49,27,4,18,0,244,0,7,5,26
48,"Sector 5","ȘCOALA GIMNAZIALĂ ION I.C. BRĂTIANU",904,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:00:12",1189,1175,6,7,1,468,460,0,7,1,454,14,1300,832,74,17,7,87,1,238,4,2,3,21
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”LUCEAFĂRUL”",890,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:07:23",1081,1061,15,5,0,467,460,2,5,0,458,9,1200,733,84,25,23,142,4,143,3,4,8,22
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”LUCEAFĂRUL”",885,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:49:13",1271,1232,21,18,0,567,549,0,18,0,552,15,1300,733,87,42,23,139,2,210,3,9,9,28
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”LUCEAFĂRUL”",889,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 11:41:50",1285,1275,5,4,1,572,567,0,4,1,560,1,1400,839,87,46,25,132,3,226,2,2,13,24
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”LUCEAFĂRUL”",884,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:51:36",1092,1076,2,14,0,494,480,0,14,0,482,12,1200,706,114,20,7,138,3,158,2,3,6,31
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”LUCEAFĂRUL”",887,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:49:30",1164,1156,3,5,0,550,545,0,5,0,542,8,1400,850,91,38,17,106,6,241,4,6,13,20
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”LUCEAFĂRUL”",888,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:31:39",1377,1359,10,7,1,619,611,0,7,1,598,21,1500,881,108,37,27,242,4,140,9,6,5,20
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”LUCEAFĂRUL”",886,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:12:51",1013,1003,4,6,0,459,453,0,6,0,447,12,1100,641,75,33,14,84,1,189,3,19,8,21
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”MIRCEA SÂNTIMBREANU”",1016,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 02:46:23",930,922,0,8,0,429,421,0,8,0,423,6,1000,571,70,31,2,76,1,210,1,4,6,22
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”MIRCEA SÂNTIMBREANU”",1018,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:02:11",908,903,0,5,0,459,454,0,5,0,444,10,1000,545,67,29,18,84,0,193,2,20,2,29
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”MIRCEA SÂNTIMBREANU”",1015,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:14:40",964,957,6,1,0,462,461,0,1,0,448,14,1100,638,56,32,19,108,1,200,2,6,8,16
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”MIRCEA SÂNTIMBREANU”",1019,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 04:37:30",886,880,0,4,2,395,389,0,4,2,382,13,1000,605,64,24,4,64,2,194,3,0,11,16
48,"Sector 5","ȘCOALA GIMNAZIALĂ ”MIRCEA SÂNTIMBREANU”",1017,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:24:10",886,882,0,4,0,423,419,0,4,0,409,14,1000,577,75,19,16,104,1,163,5,3,4,19
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.115",976,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:31:00",1101,1085,11,5,0,556,551,0,5,0,548,8,1200,644,81,36,20,177,0,189,9,0,3,33
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.115",977,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:08:03",1164,1137,9,18,0,558,539,1,18,0,548,10,1200,642,112,25,18,213,2,142,0,4,6,26
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.115",974,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 06:33:02",1159,1149,2,7,1,566,558,0,7,1,554,12,1300,734,90,26,11,186,1,187,3,1,13,36
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.115",975,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 09:35:45",1313,1299,5,9,0,611,604,0,7,0,599,10,1400,766,94,39,25,187,3,218,5,4,0,24
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.115",978,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 02:29:41",1136,1130,4,2,0,550,548,0,2,0,537,13,1200,650,81,30,20,175,6,193,7,3,7,15
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.115",973,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:20:02",1346,1335,3,8,0,636,628,0,8,0,623,13,1500,864,106,44,13,209,2,204,5,2,0,38
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.124",1030,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 07:39:05",1163,1158,0,5,0,492,487,0,5,0,486,6,1300,808,87,26,8,82,5,235,2,7,10,24
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.124",1023,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:41:06",1076,1065,6,5,0,468,463,0,5,0,457,11,1200,732,65,27,15,76,4,239,2,4,3,22
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.124",1026,"BUCUREŞTI SECTORUL 5",179187,1,PROV,PRCNCT,P,P_SV_SECTOR,"2024-06-10 05:58:46",1001,974,23,4,0,423,419,0,4,0,416,7,1000,577,85,26,9,82,0,194,2,2,4,12
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.124",1029,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:52:35",1065,1059,1,5,0,474,469,0,5,0,466,8,1200,726,91,28,16,88,1,205,1,6,11,19
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.124",1024,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:57:49",1076,1073,1,2,0,463,461,0,2,0,458,5,1200,737,62,24,10,111,1,223,5,3,6,13
48,"Sector 5","ȘCOALA GIMNAZIALĂ NR.124",1028,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,P,P_SV_SECTOR,"2024-06-10 03:45:12",1026,1022,1,3,0,439,436,0,3,0,429,10,1100,661,67,35,16,107,0,171,3,8,6,16
