precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GIUGEA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","VASILE MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VASILESCU LIA-OLGUŢA-PARTIDUL SOCIAL DEMOCRAT-voturi","MIREA MARIUS-ALEXANDRU-PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","VAVA ŞTEFAN-CLAUDIU-PARTIDUL PRO ROMÂNIA-voturi","MLADIN EMIL-IULIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PORUMBOIU GABRIELA-PARTIDUL OAMENILOR TINERI-voturi","NEAGU FLORENTINA-EMILIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DIACONU RĂZVAN-CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","POTERAŞ COSMIN-MARIAN-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","OANCEA ELENA-voturi","DAN AURELIAN-LEONARD-voturi"
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",107,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:51:39",1514,1508,0,6,0,522,516,0,6,0,511,11,1700,1178,51,75,290,4,1,4,4,54,10,11,6,1
17,DOLJ,"COLEGIUL TEHNIC ”COSTIN D. NENIŢESCU”",105,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:34",1423,1412,1,10,0,532,522,0,10,0,516,16,1600,1068,36,66,321,1,0,0,0,50,24,7,4,7
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",69,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:35",1649,1638,4,7,0,608,601,0,7,0,581,27,1800,1192,46,105,320,1,1,2,6,71,10,5,5,9
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",68,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:27:02",1738,1732,0,6,0,579,573,0,6,0,570,9,2000,1421,35,110,363,5,1,2,2,31,9,5,3,4
17,DOLJ,"COLEGIUL TEHNIC DE INDUSTRIE ALIMENTARĂ",67,"MUNICIPIUL CRAIOVA",69900,4,PART,PRCNCT,P,P_SV,"2024-06-10 10:02:37",1729,1724,1,4,0,656,652,0,4,0,624,32,1900,1244,69,93,345,1,0,1,8,65,13,11,10,8
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",112,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:19",1537,1512,5,9,11,614,594,0,9,11,603,11,1600,986,45,88,342,2,3,0,3,80,8,17,9,6
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",113,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:40:58",1190,1181,2,7,0,516,509,0,7,0,503,13,1300,784,37,87,266,1,0,5,4,75,4,10,8,6
17,DOLJ,"COLEGIUL TEHNIC ENERGETIC",111,"MUNICIPIUL CRAIOVA",69900,3,PART,PRCNCT,P,P_SV,"2024-06-10 13:34:34",1528,1520,3,5,0,668,663,0,5,0,646,22,1600,932,54,84,387,3,1,2,9,78,10,8,9,1
17,DOLJ,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ CRAIOVA CENTRUL DE ZI PENTRU PERSOANE VÂRSTNICE ”CLUBUL SENIORILOR”",40,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:27",874,868,0,6,0,339,333,0,6,0,330,9,1000,661,22,63,192,0,3,1,2,23,8,6,10,0
17,DOLJ,"FACULTATEA DE AGRONOMIE",64,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:06:59",1677,1663,7,6,1,720,713,0,6,1,704,16,1900,1180,84,108,319,4,2,3,7,113,11,25,19,9
17,DOLJ,"FACULTATEA DE AGRONOMIE",63,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 18:56:44",1978,1948,6,24,0,690,666,0,24,0,667,23,2200,1510,46,104,382,0,1,2,6,72,17,16,9,12
17,DOLJ,"FACULTATEA DE MECANICĂ",162,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:50",991,912,4,75,0,486,411,0,75,0,475,11,1000,514,51,65,248,1,2,3,6,69,0,13,13,4
17,DOLJ,"GRĂDINITA CU PROGRAM NORMAL ”CASA CU PITICI” (FOSTA NR. 15) – STRUCTURĂ A ŞCOLII GIMNAZIALE ”ION CREANGA” (FOSTĂ NR.16)",73,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:52:45",1664,1655,0,9,0,606,597,0,9,0,579,27,1900,1294,41,155,311,1,1,2,1,40,19,2,2,4
17,DOLJ,"GRĂDINIȚA CU PROGRAM NORMAL ”ÎNGERAȘII” ( FOSTA NR. 5)",139,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:10:31",1901,1894,1,6,0,807,801,0,6,0,794,13,2000,1193,59,145,431,1,0,0,8,115,13,8,12,2
17,DOLJ,"GRĂDINIȚA CU PROGRAM NORMAL” ÎNGERAȘII” (FOSTĂ NR.5)",136,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:02:44",1642,1632,0,10,0,677,667,0,10,0,663,14,1800,1123,45,103,398,1,3,4,10,66,17,7,5,4
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL NR.14 ”LUCEAFĂRUL” – STRUCTURĂ A ŞCOLII GIMNAZIALE ”NICOLAE BĂLCESCU” (FOSTA NR.39)",161,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:42:45",1314,1305,1,8,0,569,561,0,8,0,553,16,1400,831,50,97,287,0,2,2,11,72,9,8,14,1
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL NR.16-STRUCTURĂ A ŞCOLII GIMNAZIALE ”ION ŢUCULESCU” (FOSTA NR.14)",138,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:36:57",1725,1714,3,6,2,764,756,0,6,2,753,11,1800,1036,69,132,406,5,2,3,4,91,19,9,9,4
17,DOLJ,"GRADINITA CU PROGRAM NORMAL NR.35 – STRUCTURĂ A SCOLII GIMNAZIALE ”ION ŢUCULESCU” (FOSTĂ NR.14)",137,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:44:39",1310,1265,1,26,18,642,598,0,26,18,623,19,1400,758,36,108,365,3,3,0,9,60,25,4,4,6
17,DOLJ,"GRADINIŢA CU PROGRAM NORMAL ”PRICHINDEL”(FOSTA NR. 55) – STRUCTURĂ A ŞCOLII GIMNAZIALE ”MIHAI EMINESCU” (FOSTA NR.37)",19,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:31",1264,1247,2,15,0,451,436,0,15,0,444,7,1400,949,53,84,199,8,0,1,4,62,20,5,5,3
17,DOLJ,"GRADINIŢA CU PROGRAM NORMAL ”PRICHINDEL”(FOSTA NR. 55) – STRUCTURĂ A ŞCOLII GIMNAZIALE ”MIHAI EMINESCU” (FOSTA NR.37))",18,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:14",957,947,1,9,0,356,347,0,9,0,346,10,1326,970,26,48,217,1,0,0,6,32,4,6,5,1
17,DOLJ,"GRĂDINIŢA CU PROGRAM NORMAL ROVINE 2 – STRUCTURĂ A ŞCOLII GIMNAZIALE ”ION CREANGA” (FOSTĂ NR.16)",172,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:47",567,561,0,6,0,241,235,0,6,0,235,6,700,459,8,45,156,0,1,2,1,14,4,2,2,0
17,DOLJ,"GRADINITA CU PROGRAM PRELUNGIT ”CASUTA CU POVESTI” (FOSTA NR. 43)",117,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:19:16",1381,1358,15,8,0,579,571,0,8,0,565,14,1400,821,61,82,306,0,1,3,1,78,8,9,14,2
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”CASUTA CU POVESTI” (FOSTA NR.43)",116,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:52:24",1568,1552,7,9,0,585,576,0,9,0,571,14,1700,1115,39,69,329,1,5,2,5,84,16,11,7,3
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATA” ( FOSTĂ NR.37)",13,"MUNICIPIUL CRAIOVA",69900,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:31:10",1674,1661,4,9,0,723,714,0,9,0,704,19,1900,1177,69,88,364,5,2,1,10,109,13,20,21,2
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATA”(FOSTĂ NR.37)",14,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:26:31",1594,1523,3,23,45,562,494,0,23,45,529,33,1700,1138,52,102,264,2,2,5,4,64,20,5,6,3
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”FLOARE ALBASTRA” (FOSTA NR.40)",92,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:08",1186,1178,1,7,0,418,411,0,7,0,411,7,1400,982,40,61,231,3,0,3,2,49,8,5,7,2
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”FLOARE ALBASTRA” (FOSTA NR.40)",93,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:26",1397,1384,4,8,1,452,443,0,8,1,446,6,1600,1148,40,71,271,4,1,0,5,42,7,2,2,1
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”FLOAREA SOARELUI” (FOSTA NR.51)",85,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:58",1190,1181,2,7,0,493,486,0,7,0,486,7,1300,807,37,61,284,1,0,4,5,58,19,10,3,4
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”FLOAREA SOARELUI” (FOSTA NR.51)",87,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:05",1180,1175,0,5,0,450,445,0,5,0,441,9,1400,950,20,60,277,3,1,1,3,45,11,9,7,4
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”FLOAREA SOARELUI” (FOSTA NR.51)",86,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:24:57",1224,1216,1,7,0,456,449,0,7,0,441,15,1400,944,34,61,251,6,1,1,3,61,9,6,5,3
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”ION CREANGA” (FOSTA NR. 42)",29,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:17",1221,1216,1,4,0,536,532,0,4,0,524,12,1400,864,40,63,300,4,3,1,4,80,5,14,8,2
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PARADISUL COPIILOR” (FOSTA NR. 24)",65,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:48:34",1188,1178,2,8,0,419,411,0,8,0,408,11,1300,881,26,88,185,0,3,6,3,40,8,12,6,31
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PARADISUL COPIILOR”, (FOSTA NR. 24)",66,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:09",903,890,1,12,0,386,374,0,12,0,376,10,1000,614,29,51,195,2,1,1,4,67,5,7,10,4
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PETRACHE POENARU” (FOSTA SCOALA CU CLASELE I VIII NR.9 PETRACHE POENARU)",144,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:06:38",1581,1531,0,7,43,750,700,0,7,43,725,25,2000,1250,80,101,384,2,0,0,6,105,9,17,19,2
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PETRACHE POENARU” (FOSTA SCOALA CU CLASELE I VIII NR.9 PETRACHE POENARU)",145,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:04:03",1166,1092,2,9,63,539,467,0,9,63,511,28,1600,1061,48,67,256,3,3,4,9,90,4,10,12,5
17,DOLJ,"GRADINITA CU PROGRAM PRELUNGIT ”PHOENIX” (FOSTA NR. 52)",102,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:15:56",1078,1069,1,8,0,401,393,0,8,0,395,6,1200,799,43,55,225,1,1,2,3,49,7,5,4,0
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PHOENIX” (FOSTA NR.52)",101,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:54:06",1087,1081,1,5,0,387,382,0,5,0,380,7,1300,913,17,54,253,2,2,2,3,32,7,3,5,0
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PINOCHIO”",148,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:10",1096,1084,6,6,0,482,476,0,6,0,469,13,1100,618,31,59,238,2,2,12,6,79,13,10,12,5
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PITICOT” (FOSTA NR.45)",84,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:01",894,886,1,7,0,357,350,0,7,0,353,4,1100,743,17,62,211,1,0,0,3,39,9,4,7,0
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PITICOT” (FOSTA NR.45)",82,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:24:26",1465,1456,1,8,0,571,563,0,8,0,561,10,1700,1129,40,69,370,0,1,2,6,49,8,8,6,2
17,DOLJ,"GRADINIŢA CU PROGRAM PRELUNGIT ”PITICOT” (FOSTA NR.45)",83,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:56:40",1137,1130,0,7,0,435,428,0,7,0,428,7,1300,865,30,70,263,3,1,1,2,43,4,3,6,2
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SF. LUCIA” (FOSTA NR.50)",143,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:52:17",820,813,0,7,0,402,395,0,7,0,390,12,900,498,31,71,211,1,0,4,5,46,5,10,4,2
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”SF. LUCIA” (FOSTA NR.50)",142,"MUNICIPIUL CRAIOVA",69900,3,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:00",894,883,1,10,0,397,387,0,10,0,392,5,900,503,32,51,229,0,3,1,2,40,5,20,6,3
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”TUDOR VLADIMIRESCU” (FOSTA NR.21)",128,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:23:08",1683,1621,56,6,0,720,711,3,6,0,707,13,1700,980,66,93,361,0,3,5,3,111,16,23,22,4
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEII” (FOSTA NR.32)",119,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:42",1269,1256,7,6,0,503,497,0,6,0,499,4,1300,797,45,69,286,2,0,0,4,65,9,7,10,2
17,DOLJ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICEII” (FOSTA NR.32)",118,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:48:42",1288,1279,2,7,0,544,537,0,7,0,528,16,1400,856,43,59,306,1,1,9,8,58,19,16,5,3
17,DOLJ,"GRADINIŢA DE COPII CU PROGRAM PRELUNGIT ”ELENA FARAGO”(FOSTA NR. 41)",27,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:02",1239,1228,2,9,0,436,427,0,9,0,412,24,1400,964,37,76,224,2,0,2,3,46,10,4,7,1
17,DOLJ,"GRADINIŢA DE COPII CU PROGRAM PRELUNGIT ”ELENA FARAGO”(FOSTA NR.41)",26,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:09:43",762,752,0,10,0,274,264,0,10,0,266,8,900,626,21,49,150,1,0,1,1,28,5,1,7,2
17,DOLJ,"LICEUL CU PROGRAM SPORTIV ”PETRACHE TRIŞCU”",4,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:55:10",1685,1653,14,17,1,758,739,1,17,1,735,23,1700,942,85,133,349,11,6,6,5,101,10,19,8,2
17,DOLJ,"LICEUL CU PROGRAM SPORTIV ”PETRACHE TRIȘCU”",5,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:15:26",1681,1652,13,16,0,733,717,0,16,0,719,14,1900,1167,73,114,340,0,3,3,9,105,18,29,20,5
17,DOLJ,"LICEUL DE ARTE ”MARIN SORESCU”",51,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:17:45",1501,1342,42,13,104,662,553,0,13,96,650,12,1500,838,62,96,366,7,4,3,3,68,10,20,9,2
17,DOLJ,"LICEUL DE ARTE ”MARIN SORESCU”",50,"MUNICIPIUL CRAIOVA",69900,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:59:42",1315,1249,16,9,41,613,563,0,9,41,597,16,1500,887,63,78,326,1,1,1,8,82,12,13,10,2
17,DOLJ,"LICEUL ”MATEI BASARAB”",152,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:51",949,938,2,9,0,394,385,0,9,0,378,16,1000,606,14,45,214,2,2,1,1,62,15,15,5,2
17,DOLJ,"LICEUL ”MATEI BASARAB”",153,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:54",822,813,0,9,0,312,303,0,9,0,305,7,900,588,18,44,167,2,0,2,7,44,13,7,1,0
17,DOLJ,"LICEUL TEHNOLOGIC AUTO",164,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:46:16",1212,1194,10,8,0,464,456,0,8,0,458,6,1300,836,32,48,254,1,1,1,4,76,3,21,12,5
17,DOLJ,"LICEUL TEHNOLOGIC AUTO",163,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:36:00",1487,1472,5,10,0,612,602,0,10,0,602,10,1700,1088,52,79,330,0,1,2,5,91,11,19,8,4
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",36,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:03",1831,1823,2,6,0,704,698,0,6,0,675,29,2100,1396,45,96,386,0,1,1,2,88,19,19,9,9
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",38,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:27",1778,1765,0,7,6,652,639,0,7,6,627,25,2000,1348,42,126,371,1,3,0,2,54,10,10,5,3
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",37,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:45:47",1841,1827,4,10,0,657,646,1,10,0,624,33,2200,1543,40,113,362,0,1,2,8,51,23,16,7,1
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO",35,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:18:34",1875,1868,1,6,0,619,613,0,6,0,588,31,2200,1581,39,112,331,3,2,7,4,57,15,10,5,3
17,DOLJ,"LICEUL TEHNOLOGIC DE TRANSPORTURI AUTO, (FOSTA ȘCOALĂ CU CLASELE I-VIII NR.25 FĂCĂI)",39,"MUNICIPIUL CRAIOVA",69900,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:38:51",1166,1150,0,5,11,361,345,0,5,11,338,23,1300,939,32,57,184,2,0,1,14,27,13,3,3,2
17,DOLJ,"LICEUL TEHNOLOGIC ”GEORGE BIBESCU”",100,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:51:50",1019,1011,0,8,0,348,340,0,8,0,340,8,1200,852,32,54,190,0,2,1,3,46,7,2,3,0
