precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KERESKÉNYI GÁBOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TIŞEA LUCIAN-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROCA RADU-TIBERIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHIARFAŞ ADELIN-CRISTIAN-FORȚA DREPTEI-voturi","PANAIT RADU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","BĂBUŢ DAN-PARTIDUL PATRIOȚILOR-voturi","PALINCAŞ VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi"
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” ( ŞC. CU CLS.I-VIII ” AVRAM IANCU ”)",36,"MUNICIPIUL SATU MARE",136483,3,PART,PRCNCT,P,P_SV,"2024-06-10 15:14:54",1102,1082,0,19,1,493,482,0,10,1,481,12,1200,707,273,34,87,29,52,4,2
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",38,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:13:32",1375,1363,6,3,3,615,609,0,3,3,608,7,1500,885,408,20,85,16,70,7,2
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",37,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:22:23",1271,1263,0,5,3,582,574,0,5,3,577,5,1400,818,366,15,95,16,78,3,4
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”)",39,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:48",1225,1214,0,8,3,530,519,0,8,3,527,3,1300,770,318,24,98,11,74,1,1
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”) (GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICELUL”)",40,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:37:23",1243,1235,1,6,1,541,534,0,6,1,535,6,1400,859,341,33,72,15,68,1,5
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” AVRAM IANCU ” (ŞC. CU CLS.I-VIII” AVRAM IANCU ”) (GRĂDINIŢA CU PROGRAM PRELUNGIT ”VOINICELUL” CORP ” B ”)",35,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:20:54",1127,1120,0,6,1,449,442,0,6,1,440,9,1197,748,295,13,58,13,50,2,9
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",29,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:53",1327,1315,1,7,4,591,580,0,7,4,577,14,1500,909,352,31,92,19,69,2,12
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",31,"MUNICIPIUL SATU MARE",136483,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:31",1318,1278,0,5,35,514,474,0,5,35,502,12,1400,886,349,35,66,4,33,3,12
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” BĂLCESCU-PETOFI ” (ŞC. CU CLS.I-VIII ” BĂLCESCU-PETOFI ”)",30,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:11",1734,1720,0,5,9,749,735,0,5,9,726,23,2000,1251,501,29,85,25,76,1,9
32,"SATU MARE","ȘCOALA GIMNAZIALĂ ” CONSTANTIN BRÂNCOVEANU ”",68,"MUNICIPIUL SATU MARE",136483,2,PART,PRCNCT,P,P_SV,"2024-06-12 13:30:31",1430,1400,14,11,5,644,628,0,11,5,630,14,1595,951,373,29,117,24,75,3,9
