precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CURMEI IRINA-ADRIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MOLDOVAN VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","PETROVAN SORIN-ZAHARIA-UNIUNEA SALVAȚI ROMÂNIA-voturi","OROSZ KRISZTOFER-LEVENTE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ONIŢA-IVAŞCU MARIA-DANIELA-PARTIDUL NAȚIONAL LIBERAL-voturi","TIVADAR VASILE-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","IUGA NICOLAE-PARTIDUL S.O.S. ROMÂNIA-voturi","PLOPIŞAN DANIEL-MIHAI-PARTIDUL MIȘCAREA POPULARĂ-voturi"
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 10",109,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:35:36",911,906,1,4,0,291,287,0,4,0,279,12,1000,709,36,121,8,16,82,0,13,3
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 10",108,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:08:03",791,780,4,7,0,284,277,0,7,0,270,12,800,516,40,113,6,33,53,0,19,6
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 10",107,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:04:30",1313,1301,4,8,0,473,465,0,8,0,459,14,1600,1127,74,198,16,41,91,3,30,6
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 11",89,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:12",1119,1108,7,4,0,465,461,0,4,0,443,22,1200,735,73,211,16,35,94,1,11,2
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 2",100,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:33:11",1394,1374,11,6,3,560,551,0,6,3,535,22,1600,1043,56,218,31,109,90,5,20,6
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 5",116,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:50",1395,1387,0,8,0,535,527,0,8,0,516,19,1600,1065,101,232,21,6,111,4,32,9
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 5",115,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:09:12",1284,1274,0,10,0,547,537,0,10,0,522,25,1200,651,97,242,12,14,126,0,21,10
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 6",106,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:00:44",1840,1834,1,3,2,691,686,0,3,2,659,27,2100,1414,159,241,14,48,153,1,36,7
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 7",117,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:02",800,793,1,6,0,295,289,0,6,0,282,13,861,566,61,83,5,1,122,2,5,3
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 8",87,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:20:31",1068,1059,0,7,2,430,421,0,7,2,402,28,1000,570,44,205,4,3,130,0,15,1
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 9",103,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:01",1085,1080,0,5,0,353,348,0,5,0,339,14,1200,847,41,145,28,39,59,3,20,4
26,MARAMUREŞ,"ȘCOALA GENERALĂ NR. 9",102,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:52:02",1163,1151,5,7,0,475,468,0,7,0,452,19,1597,827,63,167,37,55,82,5,34,9
26,MARAMUREŞ,"UNIVERSITATEA „BABEȘ-BOLYAI”",91,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:00:47",1129,1121,1,7,0,355,348,0,7,0,341,14,1300,945,74,123,10,32,76,2,20,4
26,MARAMUREŞ,"UNIVERSITATEA „BABEȘ-BOLYAI”",92,"MUNICIPIUL SIGHETU MARMAŢIEI",106559,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:43",547,540,0,6,1,191,184,0,6,1,178,13,800,609,27,78,9,29,29,1,3,2
