precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"APOPEI MARIUS-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NIŢĂ VASILE-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CARABELEA ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi","BABĂTĂ VASILE-ROMÂNIA SOCIALISTĂ-voturi","BĂLTOG CONSTANTIN-PARTIDUL PROGRESIST-voturi","PANAITE VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","POPA MARIUS-LOREDAN-PARTIDUL S.O.S. ROMÂNIA-voturi","TATOMIR ALINA-MIHAELA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LEHĂDUŞ ALIN-ŞTEFAN-voturi","LUCA-MOISE FLORENTINA-voturi","ACATRINEI DIANA-NICOLETA-voturi"
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",31,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:10:38",1596,1592,1,3,0,606,603,0,3,0,584,22,1700,1094,40,202,181,2,2,58,15,28,19,15,22
29,NEAMŢ,"COLEGIUL NAȚIONAL DE INFORMATICĂ",33,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:10:22",966,964,0,2,0,308,306,0,2,0,301,5,1100,794,16,102,79,4,0,26,45,7,5,9,8
29,NEAMŢ,"COLEGIUL NAȚIONAL ”GH. ASACHI”",23,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:18",895,885,1,9,0,279,270,0,9,0,273,6,1000,721,31,96,68,1,0,26,16,8,5,4,18
29,NEAMŢ,"COLEGIUL NAȚIONAL ”GH. ASACHI”",24,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:28:00",1079,1070,0,9,0,325,316,0,9,0,306,19,1200,875,25,104,95,1,3,33,13,16,1,8,7
29,NEAMŢ,"COLEGIUL NAȚIONAL ”PETRU RAREȘ”",5,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:09:33",1574,1561,5,8,0,502,494,0,8,0,479,23,1700,1198,26,145,176,7,6,50,16,24,8,9,12
29,NEAMŢ,"COLEGIUL TEHNIC DE TRANSPORTURI",55,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:06:07",1109,1096,5,8,0,422,414,0,8,0,408,6,1200,786,27,133,112,6,4,46,22,30,10,5,13
29,NEAMŢ,"COLEGIUL TEHNIC FORESTIER",56,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:39:01",1216,1210,0,6,0,483,477,0,6,0,470,13,1300,817,37,159,130,6,5,44,8,31,15,18,17
29,NEAMŢ,"COLEGIUL TEHNIC FORESTIER",57,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:09",1322,1309,3,10,0,570,560,0,10,0,545,25,1400,830,47,139,180,5,6,57,17,31,23,24,16
29,NEAMŢ,"COMPLEXUL EXPOZIȚIONAL MUNICIPAL",45,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:52",1254,1244,2,7,1,569,561,0,7,1,560,9,1400,831,35,178,161,4,4,56,10,58,21,11,22
29,NEAMŢ,"DIRECȚIA AGRICOLĂ",43,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:29",1217,1210,0,7,0,543,536,0,7,0,521,22,1300,757,41,174,154,5,4,35,8,40,19,18,23
29,NEAMŢ,"GRĂDINIȚA CUPLATĂ CU CREŞĂ NR.5",18,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:25",991,985,0,6,0,401,395,0,6,0,383,18,1100,699,23,101,126,1,0,47,20,23,7,14,21
29,NEAMŢ,"GRĂDINIȚA CUPLATĂ CU CREŞĂ NR.5",17,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:32:50",1364,1357,1,6,0,532,526,0,6,0,511,21,1500,968,43,160,176,2,7,47,11,15,10,20,20
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM NORMAL NR.1",75,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:55:04",1450,1437,0,13,0,643,630,0,13,0,615,28,1600,957,41,252,151,1,5,58,15,36,13,16,27
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM NORMAL OCOL",20,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:35:36",1922,1864,4,29,25,853,799,0,29,25,814,39,2000,1147,89,256,238,9,8,84,33,49,18,14,16
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”FLOARE DE COLŢ”",73,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:33:41",1444,1434,4,6,0,549,543,0,6,0,528,21,1600,1051,39,194,139,5,8,51,14,34,7,19,18
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”FLOARE DE COLŢ”",74,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:39:40",1189,1188,0,1,0,504,503,0,1,0,485,18,1300,797,23,199,117,4,9,50,14,34,10,11,14
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",27,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:15",1233,1225,0,8,0,506,498,0,8,0,489,17,1400,894,43,151,121,7,11,62,29,22,11,19,13
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",25,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:00:34",1286,1274,2,9,1,493,483,0,9,1,479,14,1400,907,34,169,101,7,6,54,28,22,10,23,25
29,NEAMŢ,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.12",26,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:18",1181,1171,1,9,0,451,442,0,9,0,443,8,1300,849,25,144,128,7,0,53,10,27,8,21,20
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.3 CORP B",10,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:26",945,937,0,7,1,397,389,0,7,1,386,11,1000,603,29,162,91,1,2,32,20,18,6,12,13
29,NEAMŢ,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.8",19,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:12:00",827,818,0,9,0,320,311,0,9,0,313,7,900,580,42,91,83,1,4,36,14,14,9,8,11
29,NEAMŢ,"LICEUL CU PROGRAM SPORTIV",11,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:24",1242,1238,0,4,0,516,512,0,4,0,504,12,1400,884,44,181,157,4,4,40,17,23,16,5,13
29,NEAMŢ,"LICEUL CU PROGRAM SPORTIV",12,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:58",1067,1061,2,4,0,482,478,0,4,0,471,11,1200,718,25,163,151,2,1,50,12,27,12,11,17
29,NEAMŢ,"LICEUL DE ARTE ”VICTOR BRAUNER” - CORPUL B",6,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:36:01",1160,1156,1,3,0,478,475,0,3,0,464,11,1300,822,32,147,135,1,6,55,13,30,5,21,19
29,NEAMŢ,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”",71,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:51:03",1221,1217,1,3,0,612,612,0,0,0,474,39,1300,694,13,226,37,95,30,25,7,4,13,13,11
29,NEAMŢ,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”",70,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:20",1327,1320,2,5,0,541,536,0,5,0,516,25,1500,959,50,142,169,1,2,63,33,24,1,17,14
29,NEAMŢ,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”, CORP A",69,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:18",983,972,3,8,0,403,395,0,8,0,388,14,1100,698,37,143,110,11,0,24,6,40,11,5,1
29,NEAMŢ,"LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA” CORP B",72,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:12:03",1007,1003,0,4,0,459,455,0,4,0,433,18,1100,649,34,88,209,0,6,17,22,38,3,6,10
29,NEAMŢ,"LICEUL TEHNOLOGIC ECONOMIC ADMINISTRATIV",58,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:46",1283,1268,6,8,1,600,591,0,8,1,569,31,1400,800,37,175,171,1,3,55,18,38,13,34,24
29,NEAMŢ,"LICEUL TEHNOLOGIC ”SPIRU HARET”",8,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:43",1181,1174,0,7,0,505,498,0,7,0,487,18,1301,796,21,198,120,3,7,64,7,25,9,18,15
29,NEAMŢ,"LICEUL TEHOLOGIC ”SPIRU HARET”",9,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:07:51",1061,1052,2,7,0,476,469,0,7,0,460,16,1200,724,36,163,137,4,7,51,8,22,12,12,8
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",65,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:03",1167,1160,0,7,0,460,453,0,7,0,455,5,1300,840,28,150,162,2,6,54,10,15,5,10,13
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",62,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:15",1210,1203,1,6,0,410,404,0,6,0,388,22,1300,890,40,144,92,1,1,44,29,16,6,8,7
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",67,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:05:40",1615,1610,1,4,0,514,510,0,4,0,496,18,1800,1286,37,150,140,6,2,41,33,37,16,13,21
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",64,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:41",921,914,1,6,0,371,365,0,6,0,354,17,1000,629,32,115,101,2,2,32,9,27,4,15,15
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",63,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:40:44",1618,1611,1,6,0,540,534,0,6,0,503,37,1800,1260,35,174,134,3,3,34,29,23,6,24,38
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A",66,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:35",871,857,3,10,1,328,317,0,10,1,316,12,1000,672,25,91,92,0,4,27,19,19,6,15,18
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A (CORP DE GRĂDINIȚĂ)",61,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:32:44",1242,1232,1,7,2,567,558,0,7,2,557,10,1400,833,30,149,193,1,7,53,19,45,28,14,18
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A (CORP DE GRĂDINIȚĂ)",60,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:31",886,876,0,9,1,353,343,0,9,1,346,7,1000,647,20,105,111,1,3,40,8,30,4,6,18
29,NEAMŢ,"LICEUL TEOLOGIC ORTODOX „SFINȚII ÎMPĂRAȚI CONSTANTIN ȘI ELENA” - CORP A (CORP DE GRĂDINIȚĂ)",59,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:04:59",1259,1252,3,4,0,552,548,0,4,0,542,10,1400,448,43,150,182,3,7,54,16,49,7,10,21
29,NEAMŢ,"S.C. APA SERV S.A.",44,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:40:32",1058,1052,2,4,0,462,458,0,4,0,449,13,1100,637,24,151,141,7,3,31,12,42,11,14,13
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”ELENA CUZA”",47,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:41",1304,1301,0,3,0,569,566,0,3,0,549,20,1400,831,33,181,144,4,11,58,16,44,14,21,23
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ ”ELENA CUZA”",46,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:01:15",1339,1325,5,9,0,579,565,5,9,0,553,13,1500,934,24,172,185,1,4,49,7,41,12,37,21
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",51,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:33:07",1312,1305,0,7,0,528,521,0,7,0,512,16,1400,872,44,147,158,6,5,49,16,30,12,28,17
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",48,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:25",1111,1099,2,10,0,434,424,0,10,0,418,16,1200,766,33,128,118,2,8,51,9,28,6,17,18
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",53,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:36:14",1294,1287,0,7,0,537,530,0,7,0,514,23,1399,862,39,136,185,5,5,59,23,24,10,13,15
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",50,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:24:52",1102,1096,0,6,0,408,402,0,6,0,392,16,1200,792,35,121,102,3,2,34,18,19,16,29,13
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",52,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:14",1294,1287,1,6,0,504,498,0,6,0,492,12,1400,896,28,160,164,7,9,47,12,35,4,13,13
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ ”NICU ALBU”",49,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:49",1288,1276,2,8,2,538,528,0,8,2,522,16,1400,862,30,143,181,5,7,57,14,39,9,17,20
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.1",68,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:07:07",1851,1840,4,7,0,815,808,0,7,0,790,25,2000,1185,58,236,235,5,18,55,23,66,24,28,42
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.11",22,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:23",1374,1363,1,10,0,528,518,0,10,0,519,9,1500,972,27,169,145,4,3,68,29,17,18,14,25
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.2",41,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:06",1067,1060,0,7,0,445,438,0,7,0,431,14,1200,755,39,121,146,5,5,38,14,30,7,12,14
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.2",42,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:30:52",1279,1269,3,7,0,495,487,1,7,0,481,14,1400,905,27,145,132,2,6,47,29,44,11,16,22
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.2",39,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:03",854,833,14,7,0,366,359,0,7,0,352,14,1000,634,22,113,123,1,3,28,14,21,5,11,11
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.2",40,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:31:05",842,830,3,9,0,410,401,0,9,0,398,12,900,410,25,145,106,3,6,29,11,16,9,23,25
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.2",38,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:26:27",987,978,0,9,0,420,411,0,9,0,407,13,1100,680,30,129,127,3,9,43,12,21,10,8,15
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.3",1,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:34:34",1085,1075,0,10,0,377,367,0,10,0,363,14,1100,723,33,128,102,0,9,36,15,22,3,7,8
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.3",2,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:14:02",871,854,2,15,0,369,354,0,15,0,359,10,900,531,32,119,106,4,8,36,5,20,9,9,11
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.3",4,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:03:06",1074,1059,7,8,0,422,414,0,8,0,409,13,1100,678,16,137,141,2,4,26,5,41,11,13,13
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.3",3,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:40:17",888,880,2,6,0,369,363,0,6,0,360,9,1000,631,32,130,84,0,2,40,9,30,6,12,15
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.5",15,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:52:14",1393,1386,0,6,1,480,473,0,6,1,456,24,1500,1020,37,160,133,5,4,42,12,15,14,22,12
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.5",16,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:22",1266,1258,3,5,0,535,530,0,5,0,515,20,1400,865,42,154,142,7,4,74,14,42,8,14,14
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.5",13,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:49:13",1233,1221,2,10,0,458,448,0,10,0,447,11,1300,830,30,154,154,2,0,37,15,21,7,8,19
29,NEAMŢ,"ȘCOALA GIMNAZIALĂ NR.5",14,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:32:05",1357,1352,0,5,0,550,545,0,5,0,530,20,1500,950,40,189,149,5,0,68,22,21,8,17,11
29,NEAMŢ,"ŞCOALA GIMNAZIALĂ NR.7",35,"MUNICIPIUL PIATRA-NEAMŢ",120726,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:11:36",1527,1519,3,5,0,606,601,0,5,0,569,37,1600,994,77,163,168,7,3,28,78,15,5,11,14
