precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MINA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ALEXANDRU IONUŢ-CIPRIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","PETCU TOMA-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BUDURU CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","COBZARU SILE-PARTIDUL MIȘCAREA POPULARĂ-voturi","CÂNDEA IOSIF-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
19,GIURGIU,"FOSTA ŞCOALA CU CLASELE I-IV PODU POPA NAE",130,GĂISENI,103087,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 21:10:01",124,118,0,3,3,89,83,0,3,3,88,1,132,43,13,2,62,0,0,11
19,GIURGIU,"FOSTA ŞCOALA RĂLEŞTI",142,GOGOŞARI,103309,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:08:14",129,120,0,6,3,86,77,0,6,3,85,1,131,45,22,1,55,0,0,7
19,GIURGIU,"GALERIILE DE ARTĂ",2,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:09:34",905,896,1,7,1,433,425,0,7,1,415,18,995,562,113,35,195,37,12,23
19,GIURGIU,"GRADINITA BRĂNIŞTARI",91,CĂLUGĂRENI,101662,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:57:53",563,538,2,23,0,343,320,0,23,0,326,17,590,247,106,6,168,3,8,35
19,GIURGIU,"GRĂDINIŢA CĂSUŢA FERMECATĂ",38,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:16:48",929,919,1,8,1,352,343,0,8,1,331,21,1022,670,120,10,134,17,5,45
19,GIURGIU,"GRĂDINIŢA CRIVINA",54,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:17",738,724,0,6,8,368,354,0,6,8,352,16,793,425,72,11,234,0,3,32
19,GIURGIU,"GRĂDINIŢA CU PN NR.3 NEAJLOV",95,CLEJANI,101984,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:59:26",1251,1142,1,60,48,1020,912,0,60,48,981,39,1294,274,42,2,903,0,2,32
19,GIURGIU,"GRĂDINIŢA CU PN NR.8 CĂRĂMIDARI",16,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:59:01",1699,1692,0,6,1,804,797,0,6,1,778,26,1851,1047,211,31,407,45,15,69
19,GIURGIU,"GRĂDINIŢA CU PN NR.9",36,"MUNICIPIUL GIURGIU",100521,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:14:08",887,877,1,8,1,287,278,0,8,1,274,13,971,684,97,19,94,17,12,35
19,GIURGIU,"GRĂDINIŢA CU PP NR.9",37,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 15:13:07",966,953,0,11,2,337,324,0,11,2,319,18,1058,721,115,13,114,22,13,42
19,GIURGIU,"GRĂDINIŢĂ CU PROGRAM NORMAL",219,STOENEŞTI,105348,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:10:47",377,295,2,55,25,326,246,0,55,25,315,11,354,28,28,0,272,1,4,10
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL CARTOJANI",198,"ROATA DE JOS",104831,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 18:45:43",743,737,0,6,0,403,397,0,6,0,387,16,810,407,88,8,253,8,1,29
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL CU 3 SĂLI DE GRUPĂ GHIMPAȚI",137,GHIMPAŢI,103238,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:16:44",1238,1089,1,35,113,828,680,0,35,113,826,2,1321,493,38,6,774,0,0,8
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL GRĂDIŞTEA",103,COMANA,102106,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:06:23",1110,1043,0,19,48,693,626,0,19,48,671,22,1200,507,553,12,32,18,2,54
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 BUDENI",101,COMANA,102106,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:57:39",623,577,0,28,18,380,334,0,28,18,354,26,649,269,286,0,17,5,1,45
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 PIETRIŞU",133,GĂUJANI,103194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:59:47",853,766,0,54,33,611,524,0,54,33,568,43,846,235,222,198,102,3,3,40
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 ROATA MICA",201,"ROATA DE JOS",104831,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:10:20",427,419,0,8,0,302,294,0,8,0,294,8,461,159,58,6,195,5,3,27
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2",155,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:39:29",567,515,0,49,3,435,383,0,49,3,423,12,569,134,155,12,193,19,3,41
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 2 GORNENI",159,IEPUREŞTI,103693,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:51:53",563,492,1,65,5,458,388,0,65,5,427,31,466,8,182,6,187,8,18,26
19,GIURGIU,"GRADINIŢA CU PROGRAM NORMAL NR.2 PLOPŞORU",112,DAIA,102446,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:31:19",577,559,0,14,4,381,363,0,14,4,361,20,622,241,99,18,204,7,16,17
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 3",157,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:11:54",600,552,0,46,2,464,416,0,46,2,451,13,611,147,164,10,236,2,2,37
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR 3",60,"ORAŞ MIHĂILEŞTI",104136,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:19:51",1201,1137,0,64,0,906,842,0,64,0,881,25,1245,339,406,10,397,9,5,54
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 3 CETATEA",122,FRĂTEŞTI,102909,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:23:46",439,391,1,24,23,247,200,0,24,23,238,9,427,180,51,5,152,2,5,23
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 ONCEŞTI",217,STĂNEŞTI,105295,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:49:15",332,279,2,29,22,219,168,0,29,22,202,17,303,84,38,7,130,8,2,17
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.3 PLOPŞORU",113,DAIA,102446,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 10:44:26",684,661,0,15,8,447,424,0,15,8,424,23,725,278,141,4,241,5,5,28
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 STEJARU",211,SINGURENI,105106,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 18:42:27",570,525,0,28,17,468,423,0,28,17,450,18,600,132,286,3,108,2,0,51
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR.3 VALEA BUJORULUI",168,IZVOARELE,103899,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:28:24",416,325,1,47,43,318,228,0,47,43,309,9,404,86,19,0,281,3,2,4
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 3 VARLAAM",68,ADUNAŢII-COPĂCENI,100781,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:33:47",478,465,0,13,0,236,223,0,13,0,228,8,511,275,23,10,173,0,3,19
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 BĂLANU",215,STĂNEŞTI,105295,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:13:43",475,443,0,23,9,296,264,0,23,9,292,4,489,193,49,15,206,4,0,18
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR 4 CETATEA (BĂLĂNOAIA)",123,FRĂTEŞTI,102909,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:04:48",248,220,0,21,7,154,126,0,21,7,148,6,240,86,33,0,95,4,2,14
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 4 MOGOŞEŞTI",67,ADUNAŢII-COPĂCENI,100781,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:46:25",375,366,0,9,0,220,211,0,9,0,211,9,401,181,36,9,133,2,3,28
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4 POŞTA",89,BUTURUGENI,101617,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 13:45:41",359,343,0,12,4,237,221,0,12,4,231,6,389,152,42,3,165,3,1,17
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.5 COPACIU",136,GHIMPAŢI,103238,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:10:17",669,608,1,9,51,441,380,1,9,51,438,3,724,283,10,3,419,0,0,6
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.6",25,"MUNICIPIUL GIURGIU",100521,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:32:18",1195,1187,2,5,1,498,492,0,5,1,480,18,1009,511,135,53,186,31,15,60
19,GIURGIU,"GRĂDINIȚA CU PROGRAM NORMAL NR. 6",81,BUCŞANI,101378,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:22:24",391,357,0,30,4,311,277,0,30,4,301,10,397,86,54,7,232,2,0,6
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL NR.8 GORNENI",14,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:11:36",1210,1201,0,8,1,406,397,0,8,1,371,35,1327,921,110,19,162,24,12,44
19,GIURGIU,"GRĂDINIŢA CU PROGRAM PRELUNGIT",65,ADUNAŢII-COPĂCENI,100781,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 13:24:47",1158,1124,1,29,4,609,576,0,29,4,593,16,1230,621,57,19,470,4,6,37
19,GIURGIU,"GRĂDINIŢA DE COPII BOLINTIN - DEAL",77,BOLINTIN-DEAL,101163,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:24:13",965,947,5,8,5,488,473,2,8,5,456,32,1048,560,79,26,291,5,13,42
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",105,COSOBA,179748,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 19:51:37",1106,1078,0,15,13,753,725,0,15,13,725,28,1191,438,218,186,224,7,4,86
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",106,COSOBA,179748,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 20:03:47",1110,1100,0,2,8,758,748,0,2,8,738,20,1214,456,244,200,224,3,7,60
19,GIURGIU,"GRĂDINIŢA DE COPII SLOBOZIA",213,SLOBOZIA,100549,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 16:33:45",1105,1101,0,3,1,618,614,0,3,1,585,33,1206,588,420,10,95,23,2,35
19,GIURGIU,"GRĂDINIŢA ” IRIS” OGREZENI",182,OGREZENI,104485,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 09:27:08",808,770,0,24,14,564,526,0,24,14,550,14,860,296,140,58,315,5,3,29
19,GIURGIU,"GRĂDINIŢA ”MARIN MOGESCU”",225,ULMI,105623,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 17:42:17",669,653,0,16,0,458,442,0,16,0,441,17,715,257,230,41,32,87,7,44
19,GIURGIU,"GRADINITA NR. 2 BRANISTEA",185,OINACU,104519,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:43:44",787,703,3,18,63,593,512,0,18,63,584,9,847,254,33,4,530,2,1,14
19,GIURGIU,"GRADINITA NR. 3 COMASCA",186,OINACU,104519,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:41:02",549,510,0,4,35,345,306,0,4,35,330,15,560,215,27,1,289,1,2,10
19,GIURGIU,"GRADINITA NR.4 GHIONEA",226,ULMI,105623,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 15:40:48",466,458,2,6,0,308,302,0,6,0,296,12,505,197,106,38,29,95,8,20
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",10,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:22:07",1360,1349,1,10,0,522,512,0,10,0,505,17,1488,966,163,20,214,33,10,65
19,GIURGIU,"LICEUL ”NICOLAE CARTOJAN”",9,"MUNICIPIUL GIURGIU",100521,5,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 13:48:41",1169,1157,3,6,3,441,432,0,6,3,422,19,1280,839,149,17,185,23,9,39
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",57,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 17:27:42",1106,1048,3,52,3,872,817,0,52,3,867,5,1138,266,283,23,500,11,4,46
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",59,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:41:46",956,913,2,39,2,724,683,0,39,2,699,25,1009,285,268,17,346,7,11,50
19,GIURGIU,"LICEUL TEHNOLOGIC TIU DUMITRESCU",58,"ORAŞ MIHĂILEŞTI",104136,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 16:57:09",894,841,0,52,1,700,647,0,52,1,683,17,927,227,245,14,350,47,7,20
19,GIURGIU,"LICEUL ”TUDOR VIANU”",4,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:48:27",1067,1058,0,7,2,430,421,0,7,2,410,20,1195,765,129,14,161,28,11,67
19,GIURGIU,"LICEUL ”UDRIŞTE NĂSTUREL”",156,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:15:32",621,552,0,63,6,424,355,0,63,6,404,20,610,186,143,14,205,9,3,30
19,GIURGIU,"LICEUL ”UDRISTE NASTUREL HOTARELE",154,HOTARELE,103639,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:44:40",1088,987,0,96,5,812,711,0,96,5,772,40,1089,277,392,20,298,10,6,46
19,GIURGIU,"LICEU TEHNOLOGIC ”DIMITRIE BOLINTINEANU”",52,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:15:03",898,886,0,9,3,507,495,0,9,3,484,23,980,473,85,23,343,3,6,24
19,GIURGIU,"PRIMĂRIA COMUNEI DAIA",111,DAIA,102446,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:14:59",250,223,0,10,17,180,153,0,10,17,173,7,264,84,37,1,122,3,1,9
19,GIURGIU,"PRIMARIA COMUNEI PRUNDU",187,PRUNDU,104680,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:49:27",1630,1622,0,8,0,1010,1002,0,8,0,985,25,1786,776,79,11,767,16,1,111
19,GIURGIU,"PRIMĂRIA MUNICIPIULUI GIURGIU",3,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:33:06",1022,1014,1,7,0,394,387,0,7,0,372,22,1123,729,109,16,192,19,7,29
19,GIURGIU,"PRIMARIA SINGURENI",209,SINGURENI,105106,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 18:50:27",1104,1021,4,47,32,783,705,0,46,32,770,13,1152,369,443,11,252,7,5,52
19,GIURGIU,PRIMĂRIE,53,"ORAŞ BOLINTIN-VALE",101190,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:01",1757,1727,1,10,19,828,799,0,10,19,789,39,1923,1095,161,53,509,10,5,51
19,GIURGIU,"PUNCTUL TERMIC NR. 35",34,"MUNICIPIUL GIURGIU",100521,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:52:10",1115,1108,1,5,1,440,434,0,5,1,425,15,1232,792,144,36,162,31,12,40
19,GIURGIU,"PUNCTUL TERMIC NR.35",35,"MUNICIPIUL GIURGIU",100521,4,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-12 14:30:32",780,770,1,9,0,332,323,0,9,0,322,10,847,515,119,10,140,17,6,30
19,GIURGIU,"ŞCOALA CU CLASELE I-IV IANCULEŞTI",220,STOENEŞTI,105348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:05:56",222,209,0,5,8,188,175,0,5,8,185,3,230,42,63,0,104,2,0,16
19,GIURGIU,"ŞCOALA CU CLASELE I-IV MIRĂU",221,STOENEŞTI,105348,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:14:06",138,117,0,17,4,108,87,0,17,4,100,8,129,21,40,2,35,1,10,12
19,GIURGIU,"ŞCOALA DIN CETĂTUIA",132,GĂUJANI,103194,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:58:28",177,132,2,30,13,138,94,1,30,13,130,8,158,20,53,35,22,2,3,15
