precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MURAD MOHAMMAD-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MITROI FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GRASA CĂTĂLIN-NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","STANCOVICI CRISTIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","PANĂ MIHAI-SIMION-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PALAZ CLAUDIU-IORGA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BĂDRĂGAN DUMITRU-PARTIDUL ECOLOGIST ROMÂN-voturi","LUPU MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
14,CONSTANŢA,"ȘCOALA PRIMARĂ NR. 4 RUNCU",516,PANTELIMON,62609,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:40:57",383,377,0,2,4,266,260,0,2,4,255,11,400,134,11,167,69,5,0,3,0,0
14,CONSTANŢA,"ŞCOALA PRIMARĂ NR.4 STUPINA",422,CRUCEA,61559,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:42:54",555,533,0,5,17,299,277,0,5,17,283,16,599,300,34,156,58,17,0,4,1,13
14,CONSTANŢA,"SCOALA PRIMARA VADU",415,CORBU,61513,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:07:23",554,544,0,7,3,261,251,0,7,3,255,5,601,322,82,43,107,8,1,8,0,6
14,CONSTANŢA,"ŞCOALA PRIMARĂ VADU OII",301,"ORAŞ HÂRŞOVA",60801,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:01:52",296,284,0,6,6,189,177,0,6,6,178,11,301,112,39,78,58,2,1,0,0,0
14,CONSTANŢA,"ȘCOALA PROFESIONALĂ CIOBANU",394,CIOBANU,61256,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:07",1262,1261,0,1,0,772,771,0,1,0,741,31,1300,528,49,264,359,28,2,28,3,8
14,CONSTANŢA,"ȘCOALA PROFESIONALĂ CIOBANU",395,CIOBANU,61256,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:02:17",1292,1289,0,3,0,804,801,0,3,0,766,34,1400,600,55,253,381,24,5,40,4,4
14,CONSTANŢA,"ȘCOALA SIBIOARA",481,LUMINA,63152,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:58:53",374,366,1,7,0,217,210,0,7,0,207,10,400,183,33,56,86,8,1,20,1,2
14,CONSTANŢA,"ȘCOALA TĂTARĂ COBADIN",400,COBADIN,61318,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:48:01",1816,1807,0,1,8,865,856,0,1,8,831,34,1900,1035,98,387,273,20,11,26,11,5
14,CONSTANŢA,"ȘCOALA VECHE LUMINA",475,LUMINA,63152,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 16:44:31",1666,1597,1,66,2,837,769,0,66,2,813,24,1800,962,141,267,242,44,19,63,16,21
14,CONSTANŢA,"ȘCOALA VECHE TOPRAISAR",544,TOPRAISAR,63072,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:55:04",1631,1619,0,6,6,919,907,0,6,6,888,26,1800,882,181,317,280,62,4,23,9,12
14,CONSTANŢA,"ŞCOALA ZORILE",360,ADAMCLISI,60883,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:40:04",460,439,0,8,13,345,324,0,8,13,317,28,500,155,19,135,96,13,1,49,3,1
14,CONSTANŢA,"S.C.U.G S.A. MURFATLAR",307,"ORAŞ MURFATLAR",62360,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:36:17",1003,989,1,6,7,599,586,0,6,7,585,14,1000,401,53,433,65,19,1,6,4,4
14,CONSTANŢA,"SEDIU ADMINISTRATIV",338,"ORAŞ NEGRU VODĂ",62397,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:16:35",142,134,0,8,0,96,88,0,8,0,92,4,200,104,42,27,19,1,0,2,1,0
14,CONSTANŢA,"SEDIU ADMINISTRATIV AL PRIMARIEI",339,"ORAŞ NEGRU VODĂ",62397,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:12:56",579,571,0,8,0,296,288,0,8,0,289,7,600,304,150,84,41,6,2,3,0,3
14,CONSTANŢA,"SEDIUL POLITIEI LOCALE EFORIE SUD",288,"ORAŞ EFORIE",60455,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:48:01",1451,1434,8,4,5,723,714,0,4,5,671,48,1700,977,128,315,87,26,6,74,14,21
14,CONSTANŢA,"SEDIU S.C. ECO GOLD S.A.",224,"MUNICIPIUL MANGALIA",60482,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:00:00",1535,1520,1,11,3,837,822,1,11,3,805,32,1700,863,175,286,195,26,13,53,28,29
14,CONSTANŢA,"SPAŢIU DESTINAT ACTIVITĂŢILOR CULTURALE (FOSTA BIBLIOTECĂ FRANCEZĂ ARTHUR RIMBAUD)",231,"MUNICIPIUL MANGALIA",60482,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:24:47",1170,1155,3,9,3,624,612,0,9,3,598,26,1300,676,139,199,134,34,4,58,20,10
14,CONSTANŢA,"TOMIS PLUS SRL",209,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:40:55",2106,2050,43,13,0,992,978,1,13,0,948,41,2100,1111,118,395,127,27,9,205,32,35
14,CONSTANŢA,"UNITATEA AGRICOLĂ SIBIOARA, CENTRUL PENTRU TINERET",493,"MIHAIL KOGĂLNICEANU",62191,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:59",364,351,0,10,3,220,207,0,10,3,210,10,400,180,23,148,24,10,2,2,1,0
14,CONSTANŢA,"UNIVERSITATEA ”ANDREI ŞAGUNA”",207,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:51:57",718,711,0,6,1,323,316,0,6,1,312,11,800,477,46,101,53,9,6,68,16,13
14,CONSTANŢA,"UNIVERSITATEA ”OVIDIUS”",192,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:05:08",978,970,0,8,0,407,399,0,8,0,389,10,1100,701,42,123,73,15,7,97,15,17
14,CONSTANŢA,"UNIVERSITATEA ”OVIDIUS”",191,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:31:39",1594,1578,8,8,0,726,718,0,8,0,701,25,1700,974,92,254,148,9,11,142,19,26
14,CONSTANŢA,"UNIVERSITATEA ”OVIDIUS”",193,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 15:41:28",1071,1040,14,7,10,491,474,0,7,10,468,21,1200,711,65,168,106,9,18,74,18,10
14,CONSTANŢA,"UNIVERSITATEA ”OVIDIUS”",194,"MUNICIPIUL CONSTANŢA",60419,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:08:41",963,953,0,10,0,398,388,0,10,0,380,18,1200,802,49,154,53,11,10,78,12,13
