precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DRULĂ  CĂTĂLIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","BĂLUȚĂ  DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BURCEA  GEORGE-VALENTIN-PARTIDUL OAMENILOR TINERI-voturi","CIUCU  CIPRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CICEALĂ  ANA-MARIA-SĂNĂTATE EDUCAȚIE NATURĂ SUSTENABILITATE-voturi","FLOAREA  LIVIU-GHEORGHE-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","MACOVEI  GHEORGHE-PARTIDUL ROMÂNIA MARE-voturi","CREȚU  OANA-PARTIDUL SOCIAL DEMOCRAT UNIT-voturi","LASCA  MIHAI-IOAN-PATRIOȚII POPORULUI ROMÂN-voturi","LAZĂR  RAREȘ-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","ALEXANDRESCU  ANCA-NICOLETA-DREPTATE PENTRU BUCUREȘTI-voturi","TRIFU DĂNUȚ-ANGELO-CANDIDAT INDEPENDENT-voturi","TEODOROVICI  EUGEN-ORLANDO-CANDIDAT INDEPENDENT-voturi","NEȚOIU  GHEORGHE-CANDIDAT INDEPENDENT-voturi","GHEORGHE  VLAD-DAN-CANDIDAT INDEPENDENT-voturi","NEGROTĂ  ANGELA-CANDIDAT INDEPENDENT-voturi","FILIP  CONSTANTIN-TITIAN-CANDIDAT INDEPENDENT-voturi"
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",350,"BUCUREŞTI SECTORUL 2",179150,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 00:56:16",1129,1099,18,12,0,420,408,0,12,0,415,5,1200,780,71,58,1,181,19,0,0,0,0,0,82,0,0,0,0,3,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL ECONOMIC ”A.D. XENOPOL”",353,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:39:34",1418,1381,26,11,0,499,488,0,11,0,496,3,1600,1101,72,97,0,165,26,0,0,2,0,1,128,2,1,0,0,1,1
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL ECONOMIC ”V. MADGEARU”",72,"BUCUREŞTI SECTORUL 1",179141,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 00:19:18",1038,971,56,10,1,382,368,3,10,1,381,1,1139,757,53,79,1,168,18,0,1,0,0,0,58,0,1,1,0,0,1
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL ECONOMIC ”V. MADGEARU”",71,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:25:42",1027,974,42,11,0,364,349,4,11,0,361,3,1120,756,56,49,0,164,25,1,0,0,0,0,65,0,1,0,0,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL GERMAN ”GOETHE”",100,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:15:04",1286,1194,79,13,0,441,427,1,13,0,440,1,1400,959,66,81,1,192,18,0,0,3,0,0,75,1,0,2,0,1,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL GERMAN ”GOETHE”",101,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:27:26",1318,1253,56,9,0,409,400,0,9,0,407,2,1430,1021,48,79,0,184,27,1,0,0,0,0,67,1,0,0,0,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL GERMAN ”GOETHE”",102,"BUCUREŞTI SECTORUL 1",179141,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 03:38:15",1211,1160,43,8,0,462,453,1,8,0,458,4,1330,868,52,65,0,219,27,0,0,0,0,1,91,0,2,1,0,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",138,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:07:39",1228,1215,7,6,0,490,484,0,6,0,486,4,1350,860,79,84,1,222,26,0,0,1,0,0,72,0,0,0,1,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",137,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:14:07",1283,1267,7,9,0,561,550,2,9,0,556,5,1400,839,71,97,0,249,29,1,0,2,0,1,105,0,0,0,1,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”AUREL VLAICU”",136,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:52:49",1349,1316,25,8,0,659,650,1,8,0,655,4,1480,821,101,83,0,370,28,0,0,1,0,0,69,0,2,1,0,0,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",355,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:16:42",1579,1534,32,13,0,547,534,0,13,0,544,3,1800,1253,81,90,1,231,42,1,2,0,0,0,94,0,1,0,0,0,1
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAȚIONAL BILINGV ”GEORGE COȘBUC”",354,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:47:05",1305,1278,20,7,0,505,498,0,7,0,498,7,1400,895,65,93,2,208,32,2,1,0,0,0,92,0,1,1,0,0,1
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",333,"BUCUREŞTI SECTORUL 2",179150,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 02:03:52",934,876,20,15,23,368,329,1,15,23,364,4,1000,632,69,59,0,158,27,0,0,0,0,0,47,2,1,0,0,1,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",334,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:20:57",1184,1134,39,11,0,466,454,1,11,0,463,3,1400,934,79,59,0,214,24,0,1,1,0,0,78,0,2,1,2,1,1
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",336,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:19:50",1449,1403,38,8,0,513,504,1,8,0,510,3,1598,1085,86,126,2,177,34,1,0,2,0,0,80,0,0,0,1,1,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAŢIONAL ”CANTEMIR VODĂ”",335,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:08:39",1113,1084,18,11,0,385,374,0,11,0,376,9,1200,815,48,93,0,129,22,2,1,1,0,0,78,1,0,0,0,1,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",64,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:16:38",1117,1057,54,6,0,449,443,0,6,0,448,1,1230,781,58,79,1,227,18,0,0,0,0,0,62,0,2,0,1,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",62,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:30:29",1197,1066,108,13,10,472,448,1,13,10,469,3,1300,828,78,79,1,205,25,2,0,1,0,0,73,0,1,0,2,1,1
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",63,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 00:06:35",1313,1255,14,14,30,648,604,0,14,30,640,8,1400,752,129,125,1,286,20,0,1,0,1,0,73,1,1,1,0,1,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",77,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:28:18",1058,999,34,8,17,402,377,3,8,14,400,2,1140,738,54,59,0,181,21,0,0,2,1,0,77,1,2,0,0,0,2
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL DE MUZICĂ ”GEORGE ENESCU”",78,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:41:23",1228,1148,54,8,18,371,344,1,8,18,370,1,1340,969,76,65,0,144,17,0,0,0,1,0,64,1,1,1,0,0,0
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1111,"BUCUREŞTI SECTORUL 6",179196,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 03:17:50",1138,1130,2,6,0,484,478,0,6,0,482,2,1200,716,32,69,0,236,27,0,3,0,1,0,107,1,4,0,0,0,2
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1113,"BUCUREŞTI SECTORUL 6",179196,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 03:07:00",1049,1041,0,8,0,433,425,0,8,0,430,3,1000,567,40,68,2,218,24,0,0,1,2,0,75,0,0,0,0,0,0
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1114,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:22:54",895,880,3,10,2,334,322,0,10,2,331,3,1000,666,26,48,0,195,22,0,0,0,0,0,38,0,2,0,0,0,0
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","COLEGIUL NAŢIONAL ”ELENA CUZA”",1112,"BUCUREŞTI SECTORUL 6",179196,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 03:23:15",1009,993,3,13,0,430,417,0,13,0,426,4,1000,570,29,75,0,251,8,0,1,0,0,0,59,0,0,0,0,2,1
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",317,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:37:28",1359,1315,37,7,0,513,506,0,7,0,510,3,1400,887,87,94,1,198,41,0,1,1,0,0,81,0,3,1,0,2,0
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",318,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:01:01",1078,1037,31,10,0,452,440,2,10,0,450,2,1200,748,64,73,0,188,35,0,0,0,0,0,84,2,1,1,0,1,1
45,"MUNICIPIUL BUCUREŞTI - SECTOR 2","COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",319,"BUCUREŞTI SECTORUL 2",179150,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:31:31",1714,1681,14,8,11,602,583,0,8,11,598,4,1800,1198,108,125,1,190,39,1,1,0,0,0,130,0,1,0,1,1,0
48,"MUNICIPIUL BUCUREŞTI - SECTOR 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",959,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:25:43",726,681,35,9,1,246,235,1,9,1,245,1,804,558,34,46,0,101,21,0,0,1,0,0,41,0,1,0,0,0,0
48,"MUNICIPIUL BUCUREŞTI - SECTOR 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",957,"BUCUREŞTI SECTORUL 5",179187,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 05:00:57",846,784,55,7,0,262,255,0,7,0,262,0,1001,739,37,38,0,112,19,0,1,0,0,0,54,0,1,0,0,0,0
48,"MUNICIPIUL BUCUREŞTI - SECTOR 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",956,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 21:52:03",671,633,29,9,0,265,256,0,9,0,265,0,800,535,51,63,0,91,15,0,0,5,0,0,36,1,2,1,0,0,0
48,"MUNICIPIUL BUCUREŞTI - SECTOR 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",960,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:02:59",655,567,18,10,60,249,182,1,10,56,249,0,800,551,26,50,0,106,5,0,1,1,0,0,56,0,1,1,0,2,0
48,"MUNICIPIUL BUCUREŞTI - SECTOR 5","COLEGIUL NAȚIONAL ”GHEORGHE LAZĂR”",958,"BUCUREŞTI SECTORUL 5",179187,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:10:55",471,390,27,8,46,176,125,0,8,43,175,1,600,424,15,45,2,45,8,0,0,0,0,0,59,0,0,0,0,1,0
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1085,"BUCUREŞTI SECTORUL 6",179196,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 05:11:22",1973,1911,37,24,1,851,826,0,24,1,851,0,2000,1149,109,79,1,516,58,1,0,0,0,0,80,0,5,0,0,0,2
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1086,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:15:19",1742,1713,21,8,0,677,669,0,8,0,671,6,1995,1318,58,104,0,354,28,0,0,1,0,0,118,2,2,0,1,0,3
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1084,"BUCUREŞTI SECTORUL 6",179196,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 04:40:15",1647,1575,55,17,0,707,690,0,17,0,704,3,1797,1090,75,54,0,450,66,0,0,0,0,0,57,0,0,0,2,0,0
49,"MUNICIPIUL BUCUREŞTI - SECTOR 6","COLEGIUL NAŢIONAL ”GRIGORE MOISIL”",1083,"BUCUREŞTI SECTORUL 6",179196,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:39:15",1845,1823,7,15,0,801,786,0,15,0,798,3,2000,1199,90,84,2,446,46,1,0,1,0,0,124,2,2,0,0,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",66,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:44:11",1033,1012,9,12,0,447,435,0,12,0,446,1,1120,673,79,98,1,177,24,0,0,1,2,0,61,0,1,1,1,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”I.L. CARAGIALE”",65,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:48:15",1003,940,47,12,4,396,379,1,12,4,391,5,1090,694,64,76,0,174,17,0,0,0,1,0,56,0,3,0,0,0,0
47,"MUNICIPIUL BUCUREŞTI - SECTOR 4","COLEGIUL NAŢIONAL ION CREANGĂ",675,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:34:56",1408,1368,26,14,0,530,516,0,14,0,527,3,1500,970,95,67,0,213,37,2,0,0,0,0,109,1,1,0,0,2,0
47,"MUNICIPIUL BUCUREŞTI - SECTOR 4","COLEGIUL NAŢIONAL ION CREANGĂ",676,"BUCUREŞTI SECTORUL 4",179178,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:36:40",935,911,11,13,0,322,309,0,13,0,322,0,1000,678,46,73,2,120,15,0,0,0,0,0,64,0,2,0,0,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”ION NECULCE”",121,"BUCUREŞTI SECTORUL 1",179141,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 00:03:07",1476,1442,21,13,0,612,598,1,13,0,609,3,1617,1005,102,112,1,262,34,0,1,1,0,0,92,1,0,1,0,1,1
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”ION NECULCE”",125,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:35:52",1500,1421,72,7,0,483,476,0,7,0,478,5,1650,1167,74,81,0,203,32,0,0,1,1,0,84,1,0,1,0,0,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”ION NECULCE”",122,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 23:13:25",1413,1389,17,7,0,522,515,0,7,0,519,3,1550,1028,91,82,0,227,31,1,1,0,0,0,84,0,0,0,0,2,0
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”ION NECULCE”",124,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,PCJ,PG_SV,"2025-12-07 22:42:11",1450,1424,16,9,1,603,593,0,9,1,599,4,1590,987,77,92,0,303,29,0,0,1,0,0,93,1,0,1,0,1,1
44,"MUNICIPIUL BUCUREŞTI - SECTOR 1","COLEGIUL NAŢIONAL ”ION NECULCE”",123,"BUCUREŞTI SECTORUL 1",179141,2,PART,PRCNCT,PCJ,PG_SV,"2025-12-08 03:19:39",1494,1451,30,12,1,609,595,1,12,1,601,8,1639,1030,92,105,2,255,40,0,0,1,0,0,105,0,0,1,0,0,0
